species	detected_samples
Prevotella melaninogenica	127
Rothia mucilaginosa	107
Streptococcus mitis	79
Prevotella jejuni	76
Cutibacterium acnes	70
Prevotella intermedia	69
Veillonella parvula	68
Haemophilus parainfluenzae	66
Streptococcus oralis	65
Streptococcus pneumoniae	60
Prevotella nigrescens	60
Veillonella atypica	58
Porphyromonas endodontalis	56
Fusobacterium nucleatum	54
Parvimonas micra	53
Schaalia odontolytica	53
Staphylococcus epidermidis	50
Campylobacter concisus	50
Porphyromonas gingivalis	49
Gemella haemolysans	48
Granulicatella adiacens	48
Prevotella veroralis	46
Fusobacterium pseudoperiodonticum	45
Gemella sanguinis	45
Streptococcus sanguinis	44
Campylobacter rectus	44
Streptococcus salivarius	43
Streptococcus sp. oral taxon 431	43
Veillonella rogosae	42
Capnocytophaga gingivalis	40
