sample_id	group	input	filtered	denoised	merged	non_chimeric	final_reads	final_fraction
CH1	healthy_control	60057	0	0	0	0	0	0.0
CH10	healthy_control	45180	0	0	0	0	0	0.0
CH11	healthy_control	59629	0	0	0	0	0	0.0
CH12	healthy_control	48653	0	0	0	0	0	0.0
CH13	healthy_control	34399	0	0	0	0	0	0.0
CH14	healthy_control	34695	0	0	0	0	0	0.0
CH15	healthy_control	47201	0	0	0	0	0	0.0
CH16	healthy_control	59915	0	0	0	0	0	0.0
CH17	healthy_control	58640	0	0	0	0	0	0.0
CH18	healthy_control	58001	0	0	0	0	0	0.0
CH19	healthy_control	58133	0	0	0	0	0	0.0
CH2	healthy_control	60337	0	0	0	0	0	0.0
CH20	healthy_control	57572	52311	51595	0	50570	50570	0.8783783783783784
CH21	healthy_control	58615	0	0	0	0	0	0.0
CH22	healthy_control	57891	0	0	0	0	0	0.0
CH23	healthy_control	58673	0	0	0	0	0	0.0
CH3	healthy_control	32824	0	0	0	0	0	0.0
CH4	healthy_control	54907	0	0	0	0	0	0.0
CH5	healthy_control	53269	0	0	0	0	0	0.0
CH6	healthy_control	60202	0	0	0	0	0	0.0
CH7	healthy_control	58529	0	0	0	0	0	0.0
CH8	healthy_control	59446	0	0	0	0	0	0.0
CH9	healthy_control	58490	0	0	0	0	0	0.0
CP1	idiopathic_central_precocious_puberty	34865	0	0	0	0	0	0.0
CP10	idiopathic_central_precocious_puberty	42848	0	0	0	0	0	0.0
CP11	idiopathic_central_precocious_puberty	57946	0	0	0	0	0	0.0
CP12	idiopathic_central_precocious_puberty	35283	0	0	0	0	0	0.0
CP13	idiopathic_central_precocious_puberty	60234	0	0	0	0	0	0.0
CP14	idiopathic_central_precocious_puberty	32544	0	0	0	0	0	0.0
CP15	idiopathic_central_precocious_puberty	58566	0	0	0	0	0	0.0
CP16	idiopathic_central_precocious_puberty	13091	0	0	0	0	0	0.0
CP17	idiopathic_central_precocious_puberty	58408	0	0	0	0	0	0.0
CP18	idiopathic_central_precocious_puberty	59152	0	0	0	0	0	0.0
CP19	idiopathic_central_precocious_puberty	57330	0	0	0	0	0	0.0
CP2	idiopathic_central_precocious_puberty	42389	0	0	0	0	0	0.0
CP20	idiopathic_central_precocious_puberty	58203	0	0	0	0	0	0.0
CP21	idiopathic_central_precocious_puberty	57220	52150	50535	0	46406	46406	0.8110101363159734
CP22	idiopathic_central_precocious_puberty	57559	0	0	0	0	0	0.0
CP23	idiopathic_central_precocious_puberty	39958	0	0	0	0	0	0.0
CP24	idiopathic_central_precocious_puberty	40549	0	0	0	0	0	0.0
CP25	idiopathic_central_precocious_puberty	44816	0	0	0	0	0	0.0
CP3	idiopathic_central_precocious_puberty	44755	0	0	0	0	0	0.0
CP4	idiopathic_central_precocious_puberty	56185	0	0	0	0	0	0.0
CP5	idiopathic_central_precocious_puberty	19648	0	0	0	0	0	0.0
CP6	idiopathic_central_precocious_puberty	25493	0	0	0	0	0	0.0
CP7	idiopathic_central_precocious_puberty	28589	0	0	0	0	0	0.0
CP8	idiopathic_central_precocious_puberty	39773	0	0	0	0	0	0.0
CP9	idiopathic_central_precocious_puberty	25295	0	0	0	0	0	0.0
