sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
CH1	60057	0	0	0	0	0
CH10	45180	0	0	0	0	0
CH11	59629	0	0	0	0	0
CH12	48653	0	0	0	0	0
CH13	34399	0	0	0	0	0
CH14	34695	0	0	0	0	0
CH15	47201	0	0	0	0	0
CH16	59915	0	0	0	0	0
CH17	58640	0	0	0	0	0
CH18	58001	0	0	0	0	0
CH19	58133	0	0	0	0	0
CH2	60337	0	0	0	0	0
CH20	57572	52311	90.86	51595	50570	87.84
CH21	58615	0	0	0	0	0
CH22	57891	0	0	0	0	0
CH23	58673	0	0	0	0	0
CH3	32824	0	0	0	0	0
CH4	54907	0	0	0	0	0
CH5	53269	0	0	0	0	0
CH6	60202	0	0	0	0	0
CH7	58529	0	0	0	0	0
CH8	59446	0	0	0	0	0
CH9	58490	0	0	0	0	0
CP1	34865	0	0	0	0	0
CP10	42848	0	0	0	0	0
CP11	57946	0	0	0	0	0
CP12	35283	0	0	0	0	0
CP13	60234	0	0	0	0	0
CP14	32544	0	0	0	0	0
CP15	58566	0	0	0	0	0
CP16	13091	0	0	0	0	0
CP17	58408	0	0	0	0	0
CP18	59152	0	0	0	0	0
CP19	57330	0	0	0	0	0
CP2	42389	0	0	0	0	0
CP20	58203	0	0	0	0	0
CP21	57220	52150	91.14	50535	46406	81.1
CP22	57559	0	0	0	0	0
CP23	39958	0	0	0	0	0
CP24	40549	0	0	0	0	0
CP25	44816	0	0	0	0	0
CP3	44755	0	0	0	0	0
CP4	56185	0	0	0	0	0
CP5	19648	0	0	0	0	0
CP6	25493	0	0	0	0	0
CP7	28589	0	0	0	0	0
CP8	39773	0	0	0	0	0
CP9	25295	0	0	0	0	0
