sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
CH1	60057	48187	80.24	47656	38196	63.6
CH10	45180	19567	43.31	19454	19246	42.6
CH11	59629	45524	76.35	45295	44937	75.36
CH12	48653	43427	89.26	43362	43025	88.43
CH13	34399	31485	91.53	31088	30196	87.78
CH14	34695	29224	84.23	29039	28662	82.61
CH15	47201	40720	86.27	40496	40186	85.14
CH16	59915	43628	72.82	43496	43163	72.04
CH17	58640	50610	86.31	50478	50328	85.83
CH18	58001	56456	97.34	55922	55460	95.62
CH19	58133	52864	90.94	52695	52409	90.15
CH2	60337	46041	76.31	45420	39440	65.37
CH20	57572	51721	89.84	51481	50977	88.54
CH21	58615	51230	87.4	51148	51038	87.07
CH22	57891	54701	94.49	54527	52599	90.86
CH23	58673	54267	92.49	53754	52471	89.43
CH3	32824	26071	79.43	25519	21412	65.23
CH4	54907	45993	83.77	45453	34863	63.49
CH5	53269	43497	81.66	43088	35960	67.51
CH6	60202	50062	83.16	49613	38078	63.25
CH7	58529	49173	84.01	48525	36074	61.63
CH8	59446	51062	85.9	50862	40958	68.9
CH9	58490	50799	86.85	50647	49913	85.34
CP1	34865	21257	60.97	20502	20085	57.61
CP10	42848	25886	60.41	24895	24301	56.71
CP11	57946	51234	88.42	50986	49841	86.01
CP12	35283	29749	84.32	27938	27166	76.99
CP13	60234	47757	79.29	47497	46501	77.2
CP14	32544	20589	63.27	20381	19590	60.2
CP15	58566	50266	85.83	49856	49019	83.7
CP16	13091	6867	52.46	6667	6513	49.75
CP17	58408	50113	85.8	49907	49765	85.2
CP18	59152	48512	82.01	48150	47265	79.9
CP19	57330	50614	88.29	50403	49850	86.95
CP2	42389	25586	60.36	24694	24116	56.89
CP20	58203	56861	97.69	56254	55466	95.3
CP21	57220	53349	93.23	52778	51346	89.73
CP22	57559	52677	91.52	52491	51927	90.22
CP23	39958	35368	88.51	35298	35298	88.34
CP24	40549	35525	87.61	35341	35088	86.53
CP25	44816	40338	90.01	40271	40271	89.86
CP3	44755	37742	84.33	36354	35516	79.36
CP4	56185	33310	59.29	32476	31521	56.1
CP5	19648	11750	59.8	11313	11092	56.45
CP6	25493	16009	62.8	15623	15207	59.65
CP7	28589	17400	60.86	16408	15926	55.71
CP8	39773	33626	84.54	31681	30106	75.69
CP9	25295	15888	62.81	15336	14866	58.77
