	pielou_evenness
CH1	0.6119815536025619
CH10	0.6511383551444687
CH11	0.7753200800197122
CH12	0.7351629149335536
CH13	0.7903215685111461
CH14	0.7289623151167667
CH15	0.7723623262321677
CH16	0.7195581443960036
CH17	0.78260909155383
CH18	0.862802146706677
CH19	0.729553686500839
CH2	0.6899595605163998
CH20	0.6966221837868827
CH21	0.4015339741610403
CH22	0.7150621467772692
CH23	0.7546414722278679
CH3	0.7656838496568131
CH4	0.7116157165881101
CH5	0.6420213706067388
CH6	0.607403894763496
CH7	0.6458286159534462
CH8	0.4127460901248659
CH9	0.6891312868196569
CP1	0.8231006669935337
CP10	0.8419305163276511
CP11	0.7209475836390555
CP12	0.766345482787755
CP13	0.6975748633999066
CP14	0.7631571057733556
CP15	0.8702398471577857
CP16	0.6070645176569176
CP17	0.8193892674148376
CP18	0.8423483039851393
CP19	0.8441394816336162
CP2	0.8503354877207876
CP20	0.834097030374091
CP21	0.7613979541437863
CP22	0.6863808561729947
CP23	0.76066549516254
CP24	0.7410914352895148
CP25	0.7015140503829604
CP3	0.8139499996525976
CP4	0.8326496151856455
CP5	0.8294142357758666
CP6	0.7627580147408675
CP7	0.8000047821820099
CP8	0.7651581722444525
CP9	0.7972818638155386
