	shannon_entropy
CH1	3.3803180272877764
CH10	3.674931236081843
CH11	4.48240427571268
CH12	3.9891886142679986
CH13	4.7770150411109205
CH14	4.340384727079327
CH15	5.026375406945098
CH16	4.453938673724517
CH17	4.564872755118875
CH18	5.959280032959188
CH19	4.30939380978333
CH2	4.297633006230875
CH20	4.576707161040003
CH21	2.0427891730438668
CH22	4.115102211758686
CH23	4.510703321388054
CH3	4.945882468353146
CH4	3.99551576915436
CH5	3.505071770531284
CH6	3.3923279750461046
CH7	4.022749353907911
CH8	2.0448251568232196
CH9	3.9283513584004535
CP1	5.743003758833374
CP10	6.1492758964567065
CP11	4.490651783838792
CP12	5.265072967957104
CP13	4.68368889981938
CP14	5.28017964340015
CP15	6.28240810985329
CP16	3.4605346879256578
CP17	5.659432025250095
CP18	5.987853520003974
CP19	5.396007515701996
CP2	6.256387572277977
CP20	6.165910009922418
CP21	5.240430336886057
CP22	4.163647492168153
CP23	5.031581538930423
CP24	4.630285568522757
CP25	4.640311894853301
CP3	5.561630824655629
CP4	6.042861194471018
CP5	5.613628429325054
CP6	4.926983237786173
CP7	5.695186902250733
CP8	5.27562615773129
CP9	5.308471260646372
