taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	0.02276286	0.00297527	-0.01978758	22	18	0.000229776	0.0390868
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0.01050430	0.02810022	0.01759592	10	24	0.000342781	0.0390868
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	0.00063613	0.00775473	0.00711860	7	20	0.000385725	0.0390868
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	0.00800311	0.02609785	0.01809474	14	25	0.000567951	0.0431643
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.45886713	0.29650503	-0.16236210	23	25	0.00170738	0.0857052
genus	d__Bacteria;__;__;__;__;__	0.00003054	0.03210101	0.03207047	2	14	0.00203335	0.0857052
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.00323078	0.00946641	0.00623563	9	21	0.00210504	0.0857052
genus	d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	0.00001543	0.00307648	0.00306104	1	14	0.0022554	0.0857052
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0.00052345	0.00007096	-0.00045249	14	4	0.00349788	0.118151
genus	Unassigned;__;__;__;__;__	0.00000000	0.03366896	0.03366896	0	12	0.00454446	0.138152
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	0.00665220	0.01635290	0.00970070	11	24	0.00500503	0.138321
genus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria	0.00027789	0.09703346	0.09675557	1	12	0.00686088	0.15367
