cohort	scope	run_or_stratum	layout	nominal_or_metadata_length_nt	observed_min_nt	observed_max_nt	distinct_lengths	modal_length_nt	trimming	host_state	status	evidence
PRJNA1056765	cohort	398 runs	SINGLE	50	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NOT_PERFORMED	locally unfiltered	PARTIAL	reports_public/production_planning/prjna1056765/candidate_dna_wgs_runs.tsv
PRJNA1056765	cohort	2 runs	SINGLE	49 avgLength (49.950/49.961 bases per spot)	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NOT_PERFORMED	locally unfiltered	PARTIAL	reports_public/production_planning/prjna1056765/candidate_dna_wgs_runs.tsv
PRJCA046985	cohort	81 runs	SINGLE_FILE_PAIRING_UNDECLARED	50	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NOT_PERFORMED	upstream host-depleted	PARTIAL	reports_public/prjna1056765_external_cohort_pilot_package/manifests/PRJCA046985_exact_manifest.tsv
PRJCA046985	cohort	49 runs	SINGLE_FILE_PAIRING_UNDECLARED	75	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NOT_PERFORMED	upstream host-depleted	PARTIAL	reports_public/prjna1056765_external_cohort_pilot_package/manifests/PRJCA046985_exact_manifest.tsv
PRJCA046985	pilot_observed	CRR2423961	SINGLE_FILE_PAIRING_UNDECLARED	50	15	50	28	50	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2424000	SINGLE_FILE_PAIRING_UNDECLARED	50	15	50	28	50	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2423957	SINGLE_FILE_PAIRING_UNDECLARED	50	50	50	1	50	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2423986	SINGLE_FILE_PAIRING_UNDECLARED	50	15	50	28	50	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2423912	SINGLE_FILE_PAIRING_UNDECLARED	75	15	75	51	75	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2423921	SINGLE_FILE_PAIRING_UNDECLARED	75	15	75	47	75	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2423991	SINGLE_FILE_PAIRING_UNDECLARED	75	15	75	57	75	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
PRJCA046985	pilot_observed	CRR2424010	SINGLE_FILE_PAIRING_UNDECLARED	75	15	75	57	75	NOT_PERFORMED	upstream host-depleted	CONFIRMED	reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json
