metric	sample_set	independent_variable	kruskal_H	epsilon_squared	raw_p	BH_q
observed_species	full	diagnosis	17.944215522267967	0.03773791798552517	0.0004516567135811893	0.0054198805629742716
observed_species	QC-sensitivity	diagnosis	2.6669109276479546	0	0.4458797540926843	0.4747624609749856
observed_species	full	study_cohort	7.203643259223705	0.01558704336488368	0.007275573023000897	0.02182671906900269
shannon	full	diagnosis	7.879243538944992	0.01232132206804291	0.04857442883181341	0.07286164324772013
shannon	QC-sensitivity	diagnosis	8.668723310695952	0.049293246179964806	0.03403558807399248	0.058346722412558526
shannon	full	study_cohort	5.709219017651383	0.011832208587063775	0.01687604563204183	0.03375209126408366
simpson	full	diagnosis	13.532940949986747	0.026598335732289764	0.0036150247103082767	0.014460098841233107
simpson	QC-sensitivity	diagnosis	10.9546224071766	0.06917062962762262	0.011973797088064264	0.02873711301135423
simpson	full	study_cohort	0.8843635326135937	0	0.347009321796081	0.4164111861552972
pielou	full	diagnosis	2.502926336319142	0	0.47476246097498553	0.4747624609749856
pielou	QC-sensitivity	diagnosis	13.598302606529046	0.09215915310025258	0.0035061988773801333	0.014460098841233107
pielou	full	study_cohort	1.0663869720555432	0.00016680143732548548	0.30176297162714394	0.40235062883619194
