genus	prevalence	kruskal_H	epsilon_squared	median_abundance_range	highest_median_diagnosis	cohort_stratified_permutation_p	BH_q	CLR_group_mean_range	QC_sensitivity_H	QC_sensitivity_epsilon_squared	QC_sensitivity_cohort_stratified_permutation_p	QC_sensitivity_BH_q	group_medians_json	group_CLR_means_json
Porphyromonas	0.185	34.70380732237427	0.08006011950094512	0.0	Bacterial infection	0.0001	0.0021000000000000003	1.8599500373915663	13.21476352882342	0.08882403068542105	0.0036	0.0378	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": 1.2547458355186256, ""Fungal infection"": -0.5256377985561344, ""Lung cancer"": -0.07848182464789767, ""Pulmonary tuberculosis"": -0.6052042018729407}"
Parvimonas	0.1325	24.675558243547492	0.054736258190776495	0.0	Bacterial infection	0.0002	0.0021000000000000003	1.1328182079772806	8.064306551469762	0.04403744827365011	0.036	0.09240000000000001	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": 0.13945165495951795, ""Fungal infection"": -0.9933665530177626, ""Lung cancer"": -0.5253863535598634, ""Pulmonary tuberculosis"": -0.6471130138070482}"
Campylobacter	0.185	16.65323159249557	0.03447785755680699	0.0	Bacterial infection	0.0008	0.005600000000000001	0.9476525963875417	6.2920467540086635	0.028626493513118814	0.0874	0.13499999999999998	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": 0.4417851653716029, ""Fungal infection"": -0.5058674310159389, ""Lung cancer"": -0.3938503876760598, ""Pulmonary tuberculosis"": -0.16927432759662103}"
Treponema	0.1025	16.31839055982645	0.03363229939350114	0.0	Bacterial infection	0.0011	0.005775000000000001	0.6730836317577016	6.514769188322611	0.030563210333240096	0.0779	0.13499999999999998	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": -0.15111548383679, ""Fungal infection"": -0.7619514151152287, ""Lung cancer"": -0.646656498339146, ""Pulmonary tuberculosis"": -0.8241991155944915}"
Tannerella	0.115	9.97852919704776	0.01762254847739333	0.0	Bacterial infection	0.0162	0.06804	0.5292638179947486	2.8190041174526463	0	0.4353	0.481121052631579	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": -0.23565006667038485, ""Fungal infection"": -0.704055459544133, ""Lung cancer"": -0.7649138846651334, ""Pulmonary tuberculosis"": -0.5898082547758479}"
Fusobacterium	0.175	8.406470423001828	0.013652703088388455	0.0	Bacterial infection	0.0345	0.12075000000000001	0.8448398648234905	6.38427448465409	0.02942847377960078	0.09	0.13499999999999998	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": 0.44704293423660535, ""Fungal infection"": -0.1022455410049516, ""Lung cancer"": -0.3977969305868851, ""Pulmonary tuberculosis"": 0.10027270147291367}"
Haemophilus	0.205	7.042973813785946	0.010209529832792793	0.0	Bacterial infection	0.0671	0.20130000000000003	0.5960509639148331	3.9818496513778805	0.008537823055459831	0.2596	0.3206823529411765	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": 0.42384004945023535, ""Fungal infection"": 0.2918146505648837, ""Lung cancer"": 0.5255404041266901, ""Pulmonary tuberculosis"": -0.07051055978814301}"
Streptococcus	0.29	4.783297525559003	0.004503276579694451	0.0	Bacterial infection	0.1822	0.478275	0.7291874198613628	1.8890078493580114	0	0.6073	0.6376649999999999	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": 1.3704835516799927, ""Fungal infection"": 1.1971962500745479, ""Lung cancer"": 1.6901955966059914, ""Pulmonary tuberculosis"": 0.9610081767446286}"
Veillonella	0.2225	4.065240082566607	0.002690000208501533	0.0	Bacterial infection	0.2476	0.5086846153846154	0.9333467558376376	8.572434960669995	0.048455956179739086	0.0325	0.09240000000000001	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": -0.23441780778474458, ""Fungal infection"": 0.5667765139798772, ""Lung cancer"": 0.6989289480528931, ""Pulmonary tuberculosis"": 0.4490311280855103}"
Corynebacterium	0.11	3.728566701739767	0.00183981490338325	0.0	Bacterial infection	0.2821	0.5086846153846154	0.38566845181265785	1.3183450134766903	0	0.7387	0.7387	"{""Bacterial infection"": 0.0, ""Fungal infection"": 0.0, ""Lung cancer"": 0.0, ""Pulmonary tuberculosis"": 0.0}"	"{""Bacterial infection"": -0.5669824397687464, ""Fungal infection"": -0.2912181850450577, ""Lung cancer"": -0.6114196637435239, ""Pulmonary tuberculosis"": -0.6768866368577156}"
