community_state	samples	rank	species	state_mean_abundance	difference_from_cohort_mean
1	138	1	Prevotella melaninogenica	0.17418145840190843	0.11094231896049195
1	138	2	Rothia mucilaginosa	0.10986704237164639	0.0717056761840029
1	138	3	Streptococcus mitis	0.060538763987016575	0.039048726709615005
1	138	4	Prevotella jejuni	0.039839776116113564	0.02509672989826061
1	138	5	Streptococcus pneumoniae	0.03721315150830969	0.024328129103709836
1	138	6	Veillonella parvula	0.021113718672439746	0.013591603022824632
1	138	7	Streptococcus salivarius	0.019395305580775932	0.012690940699532149
1	138	8	Streptococcus oralis	0.019052522768297726	0.0122793621211227
1	138	9	Haemophilus parainfluenzae	0.01853878092658366	0.009484648158939407
1	138	10	Streptococcus pseudopneumoniae	0.017817254252931344	0.009155118925535171
1	138	11	Neisseria mucosa	0.00936914046987788	0.005955554308157142
1	138	12	Streptococcus sanguinis	0.008760529771203979	0.005700855284357261
1	138	13	Streptococcus sp. oral taxon 431	0.007972058803452559	0.005219143377045789
1	138	14	Veillonella atypica	0.007938461149861584	0.0051663877708043975
1	138	15	Fusobacterium pseudoperiodonticum	0.008709480332787553	0.004086975961114242
2	170	1	Aspergillus fumigatus	0.03555939499864359	0.019606932534592787
2	170	2	Pseudomonas aeruginosa	0.07522646354264238	0.019473092157665677
2	170	3	Haemophilus influenzae	0.043352101030907114	0.015092677036723214
2	170	4	Cryptococcus neoformans	0.02060602010892883	0.011586193889731426
2	170	5	Staphylococcus aureus	0.0273755907924166	0.00883504506337789
2	170	6	Stenotrophomonas maltophilia	0.01992459445144559	0.008809851155202842
2	170	7	Ralstonia pickettii	0.01764705882352941	0.006562330719372475
2	170	8	Corynebacterium striatum	0.01080156796361192	0.00620863059533817
2	170	9	Klebsiella pneumoniae	0.02359412405888938	0.006107241852788384
2	170	10	Human betaherpesvirus 5	0.009425053723329748	0.005363109890368089
2	170	11	Burkholderia multivorans	0.00899688942602976	0.005148023691433143
2	170	12	Salmonella enterica	0.008518217768852846	0.004747965446141988
2	170	13	Mycobacterium tuberculosis	0.023529411764705882	0.004342177214419096
2	170	14	Burkholderia cenocepacia	0.007525398718565049	0.004286063059273583
2	170	15	Legionella longbeachae	0.0058823529411764705	0.0033823529411764705
3	30	1	Porphyromonas endodontalis	0.23489396902628168	0.21525664536952327
3	30	2	Bacteroides heparinolyticus	0.1142414955217981	0.10152530114952088
3	30	3	Parvimonas micra	0.1081733383857709	0.0987385945388422
3	30	4	Porphyromonas gingivalis	0.08100249573159041	0.07249157161838474
3	30	5	Tannerella forsythia	0.07903116465117346	0.06966835472775636
3	30	6	Prevotella intermedia	0.06307739229164185	0.054125462469238536
3	30	7	Treponema denticola	0.061145916329016545	0.052543712440260085
3	30	8	Campylobacter rectus	0.0351290947064247	0.03221057448525663
3	30	9	Pyramidobacter piscolens	0.03429125360374649	0.03171681332537196
3	30	10	Filifactor alocis	0.01836847112998217	0.015754141905125654
3	30	11	Prevotella oris	0.017911582218599235	0.015396881503866325
3	30	12	Eikenella corrodens	0.014671320535194881	0.0130081616829835
3	30	13	Olsenella uli	0.008749038146359956	0.008032716046340182
3	30	14	Brassica napus	0.005240501590866554	0.004847463971551563
3	30	15	Streptococcus constellatus	0.004708558237430831	0.0042497607417718245
4	41	1	Cutibacterium acnes	0.1949303653720485	0.17275918528571338
4	41	2	Staphylococcus epidermidis	0.05964563845064323	0.051943172402611475
4	41	3	Acinetobacter johnsonii	0.04474025599866899	0.0396279314141307
4	41	4	Cupriavidus sp. EM10	0.053933157388332695	0.03564071451373897
4	41	5	Moraxella osloensis	0.041376101670453205	0.034583695839464204
4	41	6	Staphylococcus haemolyticus	0.023817067092306233	0.018050819646895436
4	41	7	Staphylococcus hominis	0.019699040761857668	0.01658430123324638
4	41	8	Klebsiella aerogenes	0.01739841726338477	0.015481317141562274
4	41	9	Acinetobacter nosocomialis	0.019157117448275782	0.015271147825284444
4	41	10	Ralstonia insidiosa	0.020112663195218757	0.015141452746093149
4	41	11	Candida albicans	0.021753792644515997	0.013438199659256017
4	41	12	Neisseria sicca	0.017901328081603798	0.013023476560748534
4	41	13	Bradyrhizobium sp. SK17	0.014530921556704211	0.012954246543778122
4	41	14	Mycobacterium tuberculosis	0.03198736210075864	0.012800127550471857
4	41	15	Ralstonia pickettii	0.022360951556319113	0.011276223452162176
5	10	1	Fusobacterium nucleatum	0.33033553533319865	0.3190261755816752
5	10	2	Prevotella nigrescens	0.3025498913610941	0.29145709580840157
5	10	3	Prevotella denticola	0.04495142632181078	0.04305409623136992
5	10	4	Neisseria elongata	0.03544649285200041	0.03414391998001413
5	10	5	Prevotella enoeca	0.03383971286600279	0.032898810480371174
5	10	6	Filifactor alocis	0.021115808010432467	0.01850147878557595
5	10	7	Treponema denticola	0.024775611265861964	0.016173407377105507
5	10	8	Acinetobacter junii	0.011198386583165269	0.010776942272835469
5	10	9	Gemella morbillorum	0.009001167604288292	0.008077313068318385
5	10	10	Fusobacterium pseudoperiodonticum	0.009056404343230516	0.004433899971557204
5	10	11	Prevotella sp. oral taxon 475	0.0026616700297876425	0.002420038367843001
5	10	12	Acinetobacter baumannii	0.014231366459627328	0.0021951406545245456
5	10	13	Acinetobacter nosocomialis	0.005888975155279503	0.002003005532288165
5	10	14	Asticcacaulis excentricus	0.0019293478260869565	0.0018221736637936917
5	10	15	Ralstonia sp. 56D2	0.0014673913043478262	0.0014251996599349355
6	1	1	Haemophilus parainfluenzae	1.0	0.9909458672323558
6	1	2	Trichlorobacter lovleyi	0.0	-2.5024273545338983e-08
6	1	3	Treponema phagedenis	0.0	-2.5024273545338983e-08
6	1	4	Thiomicrorhabdus immobilis	0.0	-2.5024273545338983e-08
6	1	5	Rodentibacter haemolyticus	0.0	-2.5024273545338983e-08
6	1	6	Paraprevotella xylaniphila	0.0	-2.5024273545338983e-08
6	1	7	Panicum virgatum	0.0	-2.5024273545338983e-08
6	1	8	Lupinus angustifolius	0.0	-2.5024273545338983e-08
6	1	9	Iodobacter ciconiae	0.0	-2.5024273545338983e-08
6	1	10	Gemella sp. zg-570	0.0	-2.5024273545338983e-08
6	1	11	Fusobacterium gastrosuis	0.0	-2.5024273545338983e-08
6	1	12	Campylobacter gracilis	0.0	-2.5024273545338983e-08
6	1	13	Campylobacter geochelonis	0.0	-2.5024273545338983e-08
6	1	14	Bacteroides salyersiae	0.0	-2.5024273545338983e-08
6	1	15	Avibacterium volantium	0.0	-2.5024273545338983e-08
7	7	1	Pseudomonas aeruginosa	0.42069291936159336	0.36493954797661665
7	7	2	Staphylococcus aureus	0.2796910534508638	0.26115050772182513
7	7	3	Haemophilus influenzae	0.14193468052494346	0.11367525653075955
7	7	4	Escherichia coli	0.07309844854971208	0.06944223434829172
7	7	5	Corynebacterium resistens	0.023394442167005345	0.0229704730916587
7	7	6	Metamycoplasma salivarium	0.005913995083670174	0.005353466986836301
7	7	7	Neisseria sp. KEM232	0.005067669327597126	0.004977441134742871
7	7	8	Salmonella enterica	0.008571986911337093	0.004801734588626235
7	7	9	Neisseria flavescens	0.0025041575600805188	0.0015961660954754518
7	7	10	Neisseria subflava	0.003542915199021845	0.00156456433988892
7	7	11	Pseudomonas putida	0.0011058610636372776	0.0008921333801093542
7	7	12	Neisseria mucosa	0.003932218855077774	0.0005186326933570365
7	7	13	Salmonella bongori	0.00045548782010875876	0.0004475167832568555
7	7	14	Neisseria meningitidis	0.0008616172261779591	0.00044333487086281565
7	7	15	Escherichia fergusonii	0.00042169356248778633	0.0004127770871372216
8	1	1	Acinetobacter baumannii	0.867104732115831	0.8550685063107282
8	1	2	Klebsiella pneumoniae	0.11533901725355666	0.09785213504745567
8	1	3	Acinetobacter lwoffii	0.010720411663807891	0.01039172115187447
8	1	4	Trichlorobacter lovleyi	0.0	-2.5024273545338983e-08
8	1	5	Treponema phagedenis	0.0	-2.5024273545338983e-08
8	1	6	Thiomicrorhabdus immobilis	0.0	-2.5024273545338983e-08
8	1	7	Rodentibacter haemolyticus	0.0	-2.5024273545338983e-08
8	1	8	Paraprevotella xylaniphila	0.0	-2.5024273545338983e-08
8	1	9	Panicum virgatum	0.0	-2.5024273545338983e-08
8	1	10	Lupinus angustifolius	0.0	-2.5024273545338983e-08
8	1	11	Iodobacter ciconiae	0.0	-2.5024273545338983e-08
8	1	12	Gemella sp. zg-570	0.0	-2.5024273545338983e-08
8	1	13	Fusobacterium gastrosuis	0.0	-2.5024273545338983e-08
8	1	14	Campylobacter gracilis	0.0	-2.5024273545338983e-08
8	1	15	Campylobacter geochelonis	0.0	-2.5024273545338983e-08
9	1	1	Lautropia mirabilis	0.4912414318354913	0.48806978953485597
9	1	2	Abiotrophia defectiva	0.2079207920792079	0.2069751086869786
9	1	3	Aspergillus fumigatus	0.13023610053313023	0.11428363806907943
9	1	4	Ralstonia pickettii	0.06321401370906322	0.05212928560490629
9	1	5	Candida albicans	0.05788271134805789	0.04956711836279791
9	1	6	Veillonella parvula	0.04950495049504951	0.04198283484543439
9	1	7	Trichlorobacter lovleyi	0.0	-2.5024273545338983e-08
9	1	8	Treponema phagedenis	0.0	-2.5024273545338983e-08
9	1	9	Thiomicrorhabdus immobilis	0.0	-2.5024273545338983e-08
9	1	10	Rodentibacter haemolyticus	0.0	-2.5024273545338983e-08
9	1	11	Paraprevotella xylaniphila	0.0	-2.5024273545338983e-08
9	1	12	Panicum virgatum	0.0	-2.5024273545338983e-08
9	1	13	Lupinus angustifolius	0.0	-2.5024273545338983e-08
9	1	14	Iodobacter ciconiae	0.0	-2.5024273545338983e-08
9	1	15	Gemella sp. zg-570	0.0	-2.5024273545338983e-08
10	1	1	Klebsiella pneumoniae	0.9366735765894499	0.919186694383349
10	1	2	Klebsiella aerogenes	0.0535049409302232	0.0515878408084007
