species	prevalence	mean_relative_abundance
Prevotella melaninogenica	0.3175	0.06323913944141649
Rothia mucilaginosa	0.2675	0.038161366187643486
Streptococcus mitis	0.1975	0.02149003727740157
Prevotella jejuni	0.19	0.014743046217852955
Cutibacterium acnes	0.175	0.022171180086335122
Prevotella intermedia	0.1725	0.008951929822403306
Veillonella parvula	0.17	0.007522115649615115
Haemophilus parainfluenzae	0.165	0.009054132767644255
Streptococcus oralis	0.1625	0.0067731606471750265
Streptococcus pneumoniae	0.15	0.012885022404599858
Prevotella nigrescens	0.15	0.011092795552692563
Veillonella atypica	0.145	0.002772073379057186
Porphyromonas endodontalis	0.14	0.019637323656758406
Fusobacterium nucleatum	0.135	0.011309359751523487
Parvimonas micra	0.1325	0.009434743846928682
Schaalia odontolytica	0.1325	0.0016818686509606213
Staphylococcus epidermidis	0.125	0.0077024660480317555
Campylobacter concisus	0.125	0.0012685944364075725
Porphyromonas gingivalis	0.1225	0.008510924113205663
Gemella haemolysans	0.12	0.0018525460476047759
Granulicatella adiacens	0.12	0.001804903464941231
Prevotella veroralis	0.115	0.0015868399407294956
Fusobacterium pseudoperiodonticum	0.1125	0.004622504371673311
Gemella sanguinis	0.1125	0.0012071859627225804
Streptococcus sanguinis	0.11	0.003059674486846717
