k	community_state	full_n	full_fraction	selected30_n	selected30_fraction	major_state_ge_5pct	covered_by_selected30
2	1	230	0.575	19	0.6333333333333333	True	True
2	2	170	0.425	11	0.36666666666666664	True	True
3	1	229	0.5725	18	0.6	True	True
3	2	170	0.425	11	0.36666666666666664	True	True
3	3	1	0.0025	1	0.03333333333333333	False	True
4	1	228	0.57	18	0.6	True	True
4	2	170	0.425	11	0.36666666666666664	True	True
4	3	1	0.0025	0	0.0	False	False
4	4	1	0.0025	1	0.03333333333333333	False	True
5	1	220	0.55	10	0.3333333333333333	True	True
5	2	170	0.425	11	0.36666666666666664	True	True
5	3	1	0.0025	0	0.0	False	False
5	4	8	0.02	8	0.26666666666666666	False	True
5	5	1	0.0025	1	0.03333333333333333	False	True
6	1	219	0.5475	10	0.3333333333333333	True	True
6	2	170	0.425	11	0.36666666666666664	True	True
6	3	1	0.0025	0	0.0	False	False
6	4	8	0.02	8	0.26666666666666666	False	True
6	5	1	0.0025	1	0.03333333333333333	False	True
6	6	1	0.0025	0	0.0	False	False
7	1	178	0.445	9	0.3	True	True
7	2	170	0.425	11	0.36666666666666664	True	True
7	3	41	0.1025	1	0.03333333333333333	True	True
7	4	1	0.0025	0	0.0	False	False
7	5	8	0.02	8	0.26666666666666666	False	True
7	6	1	0.0025	1	0.03333333333333333	False	True
7	7	1	0.0025	0	0.0	False	False
8	1	178	0.445	9	0.3	True	True
8	2	170	0.425	11	0.36666666666666664	True	True
8	3	41	0.1025	1	0.03333333333333333	True	True
8	4	1	0.0025	0	0.0	False	False
8	5	7	0.0175	7	0.23333333333333334	False	True
8	6	1	0.0025	1	0.03333333333333333	False	True
8	7	1	0.0025	0	0.0	False	False
8	8	1	0.0025	1	0.03333333333333333	False	True
9	1	148	0.37	9	0.3	True	True
9	2	170	0.425	11	0.36666666666666664	True	True
9	3	30	0.075	0	0.0	True	False
9	4	41	0.1025	1	0.03333333333333333	True	True
9	5	1	0.0025	0	0.0	False	False
9	6	7	0.0175	7	0.23333333333333334	False	True
9	7	1	0.0025	1	0.03333333333333333	False	True
9	8	1	0.0025	0	0.0	False	False
9	9	1	0.0025	1	0.03333333333333333	False	True
10	1	138	0.345	9	0.3	True	True
10	2	170	0.425	11	0.36666666666666664	True	True
10	3	30	0.075	0	0.0	True	False
10	4	41	0.1025	1	0.03333333333333333	True	True
10	5	10	0.025	0	0.0	False	False
10	6	1	0.0025	0	0.0	False	False
10	7	7	0.0175	7	0.23333333333333334	False	True
10	8	1	0.0025	1	0.03333333333333333	False	True
10	9	1	0.0025	0	0.0	False	False
10	10	1	0.0025	1	0.03333333333333333	False	True
