pathogen_group	UniRef90	spearman_rho	raw_p	BH_q_within_pathogen	matched_species_features
Acinetobacter	UniRef90_A0A016EN64	-0.03530291987362871	0.8530696106638618	0.918557764492043	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A044RXA6	-0.2874699845546727	0.12347396285429701	0.44793917465975913	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A062EPR5	0.5276775398439758	0.002728924080205868	0.08408087411470258	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A062F4L7	0.4436621437269971	0.014057582065078992	0.18593507900478579	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A062F5H3	0.3091613093322019	0.09643177726219333	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A062FHT9	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A069WXI4	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A075MBV5	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A077LYK9	-0.1598596029548556	0.39876538369510217	0.7572798014303701	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A077M4D3	-0.20592307594440798	0.27495876551857834	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A077M4E9	-0.24155701920267494	0.19844765006622267	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A077W3E7	0.6179579859054602	0.0002739006247758727	0.017045046572590847	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A080KAY6	-0.2640846093613078	0.1584901619872212	0.5276483170685677	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A081QF88	-0.08641728676400859	0.6497815697126487	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A081QXJ7	-0.006931867922246679	0.9709997242439357	0.9893435477498034	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A097H008	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A097H020	0.327646290458193	0.07714545451197088	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0A0FIN6	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0B0HFJ5	-0.20345412320913348	0.2808813505416803	0.6127287990241179	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0B7LRQ9	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0B7M1W5	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0B7M4B6	-0.07440204903211435	0.6959871167091137	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0C5B3M4	0.4454227077894058	0.013636604880295342	0.18593507900478579	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0C5EX27	0.5000001937240761	0.004899914408607722	0.13213435855212158	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0D0ZIG5	-0.08641728676400859	0.6497815697126487	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0D3AH13	0.15230612451391404	0.42170215275623224	0.795237859160354	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E1PQD0	0.7207679474199196	7.0432419011867945e-06	0.0011395965396120233	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E1X896	-0.02634109810453738	0.890106589222278	0.9462499746134335	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0E1X9E3	-0.06382044726231605	0.7375892602752163	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
