UniRef90	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
UniRef90_A0A062F4L7	28.787077826725394	0.9898608488916855	1.5218405384866903e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 2.125522816255192e-06, ""Candida"": 0.0, ""Enterobacterales"": 1.5218405384866903e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A0C5B3M4	28.787077826725394	0.9898608488916855	3.261858784985802e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 2.0310404723982147e-06, ""Candida"": 0.0, ""Enterobacterales"": 3.261858784985802e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A142EAZ3	28.787077826725394	0.9898608488916855	1.8342388182062633e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 1.8327328390316677e-06, ""Candida"": 0.0, ""Enterobacterales"": 1.8342388182062633e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A1Q1PSK0	28.787077826725394	0.9898608488916855	2.1891423755307192e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 2.2140583229845004e-06, ""Candida"": 0.0, ""Enterobacterales"": 2.1891423755307192e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A271R0A6	28.787077826725394	0.9898608488916855	2.7661532638800224e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 1.7943558145177656e-06, ""Candida"": 0.0, ""Enterobacterales"": 2.7661532638800224e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A2I6IJV4	28.787077826725394	0.9898608488916855	1.446212223734556e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 2.7133141583349438e-06, ""Candida"": 0.0, ""Enterobacterales"": 1.446212223734556e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A2L0MU38	28.787077826725394	0.9898608488916855	0.00014491077413573758	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 2.5645544915100353e-05, ""Candida"": 0.0, ""Enterobacterales"": 0.00014491077413573758, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A2L1KJ42	28.787077826725394	0.9898608488916855	2.3780647189177005e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 1.7531894236671099e-06, ""Candida"": 0.0, ""Enterobacterales"": 2.3780647189177005e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A2S1JJB9	28.787077826725394	0.9898608488916855	1.7161608852038397e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 1.689942890223545e-06, ""Candida"": 0.0, ""Enterobacterales"": 1.7161608852038397e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A2X8RKL6	28.787077826725394	0.9898608488916855	1.9682504427380527e-05	Enterobacterales	0.00034556401826612594	0.006746538214584894	"{""Acinetobacter"": 1.9729531619022208e-06, ""Candida"": 0.0, ""Enterobacterales"": 1.9682504427380527e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
