run	pathogen_group	biological_pathways_detected	annotation_status
SRR27343266	Stenotrophomonas	284	retained_n23
SRR27343272	Enterobacterales	1309	retained_n23
SRR27343276	Pseudomonas	173	retained_n23
SRR27343296	Staphylococcus	7	extreme_sparse
SRR27343346	Enterobacterales	1578	retained_n23
SRR27343475	Candida	114	retained_n23
SRR27343490	Staphylococcus	348	retained_n23
SRR27343494	Enterobacterales	736	retained_n23
SRR27343495	Pseudomonas	703	retained_n23
SRR27343518	Mycobacteria	0	zero_biological_pathway
SRR27343520	Mycobacteria	0	zero_biological_pathway
SRR27343522	Mycobacteria	0	zero_biological_pathway
SRR27343523	Streptococcus	336	retained_n23
SRR27343532	Acinetobacter	376	retained_n23
SRR27343566	Enterobacterales	1146	retained_n23
SRR27343601	Haemophilus	0	zero_biological_pathway
SRR27343719	Haemophilus	253	retained_n23
SRR27343725	Staphylococcus	277	retained_n23
SRR27343734	Streptococcus	231	retained_n23
SRR27343738	Acinetobacter	334	retained_n23
SRR27343742	Mycobacteria	0	zero_biological_pathway
SRR27343835	Streptococcus	770	retained_n23
SRR27343839	Streptococcus	400	retained_n23
SRR27343853	Acinetobacter	356	retained_n23
SRR27343867	Pseudomonas	326	retained_n23
SRR27343868	Acinetobacter	309	retained_n23
SRR27343993	Staphylococcus	194	retained_n23
SRR27344035	Haemophilus	177	retained_n23
SRR27344040	Pseudomonas	61	retained_n23
SRR27344041	Haemophilus	0	zero_biological_pathway
