MetaCyc_pathway	n30_BH_q	n24_BH_q	n23_BH_q	n30_effect	n24_effect	n23_effect	n30_top_group	n24_top_group	n23_top_group	stable_direction_and_n23_FDR
1CMET2-PWY: folate transformations III (E. coli)	0.23455016582559285	0.4006709875404723	0.39211068809939065	0.12109195635145695	0.02572616683217438	0.02926829268292632	Stenotrophomonas	Stenotrophomonas	Stenotrophomonas	False
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.013956922345885286	0.04276734401714633	0.03390199960613317	0.8102657493592335	0.7801128706199467	0.7698784722222217	Acinetobacter	Acinetobacter	Acinetobacter	True
ANAEROFRUCAT-PWY: homolactic fermentation	0.037576089195493455	0.10031826104911189	0.04692772036894202	0.4551455653351385	0.3496189024390248	0.587978580990628	Staphylococcus	Staphylococcus	Staphylococcus	True
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.01924346261251769	0.04753439972531807	0.03390199960613317	0.6221993554149027	0.605378605769231	0.7671597633136097	Streptococcus	Streptococcus	Streptococcus	True
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.021314485205256486	0.051690507830900095	0.053685034041443785	0.5846132986224106	0.5396435950413222	0.5398454746136865	Enterobacterales	Enterobacterales	Enterobacterales	False
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.019300667790329195	0.05087195451394653	0.04248879117078768	0.614715852308025	0.5569373758689179	0.622086720867209	Acinetobacter	Acinetobacter	Acinetobacter	True
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.01706545916225153	0.04888141177733664	0.03390199960613317	0.6518528585666394	0.5818810096153846	0.7853385930309005	Acinetobacter	Acinetobacter	Acinetobacter	True
ARO-PWY: chorismate biosynthesis I	0.03946911750119927	0.04276734401714633	0.03390199960613317	0.4431999999999999	0.7289035278745641	0.7648596693579386	Candida	Candida	Candida	True
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.022561220922123777	0.04276734401714633	0.03390199960613317	0.565759797963428	0.8606395854021847	0.8626016260162601	Streptococcus	Haemophilus	Haemophilus	False
AST-PWY: L-arginine degradation II (AST pathway)	0.013956922345885286	0.04276734401714633	0.037617456525515555	0.7595877529526815	0.7062669376693771	0.6894377510040156	Acinetobacter	Acinetobacter	Acinetobacter	True
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.013956922345885286	0.04276734401714633	0.03390199960613317	0.8536692244038212	0.8298568766937668	0.8219678714859439	Stenotrophomonas	Stenotrophomonas	Stenotrophomonas	True
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.05598234897616276	0.0443135922921725	0.03618814854156454	0.38004646431320777	0.644155977074236	0.7129592959295924	Streptococcus	Haemophilus	Haemophilus	False
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.3166648768093932	0.590338038306883	0.494737273801245	0.06337510442773608	0	0	Pseudomonas	Haemophilus	Haemophilus	False
CITRULBIO-PWY: L-citrulline biosynthesis	0.022561220922123777	0.05472177799789609	0.03390199960613317	0.5660538019307959	0.517503287002254	0.8081677704194251	Staphylococcus	Staphylococcus	Staphylococcus	True
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.2633650119865964	0.23444376965543315	0.11896985217250773	0.09894640106654252	0.15615985576923097	0.31725838264299827	Pseudomonas	Pseudomonas	Pseudomonas	False
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.04266241509898341	0.06131507914606895	0.03804078292882153	0.42418531198487586	0.47887422014260295	0.6717082844533823	Pseudomonas	Pseudomonas	Pseudomonas	True
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.013956922345885286	0.04276734401714633	0.03390199960613317	0.8595681250503583	0.8372485632183915	0.8295198640322925	Acinetobacter	Acinetobacter	Acinetobacter	True
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.02213907254596123	0.05087195451394653	0.05326002478799453	0.5755269320843093	0.552804221854305	0.5507540474606344	Candida	Candida	Candida	False
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.024654657558111706	0.04276734401714633	0.03390199960613317	0.5411214227468643	0.8261868990384613	0.8199211045364886	Acinetobacter	Haemophilus	Haemophilus	False
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.013956922345885286	0.04276734401714633	0.03390199960613317	0.8270537124802525	0.7893419715447156	0.7773493975903613	Pseudomonas	Pseudomonas	Pseudomonas	True
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.013956922345885286	0.04276734401714633	0.03804078292882153	0.7672139615914427	0.6913907336146969	0.6682926829268296	Pseudomonas	Pseudomonas	Pseudomonas	True
