MetaCyc_pathway	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	22.809917355371905	0.988119834710744	0.010503284453595826	Haemophilus	0.00183948358672368	0.04276734401714633	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.0014550538336231369, ""Haemophilus"": 0.010503284453595826, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	22.71604938271605	0.9822530864197532	0.007357541762326905	Acinetobacter	0.0019098740245485392	0.04276734401714633	"{""Acinetobacter"": 0.007357541762326905, ""Candida"": 0.0, ""Enterobacterales"": 0.005029148186433887, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
TCA: TCA cycle I (prokaryotic)	22.71604938271605	0.9822530864197532	0.00735157002904747	Acinetobacter	0.0019098740245485392	0.04276734401714633	"{""Acinetobacter"": 0.00735157002904747, ""Candida"": 0.0, ""Enterobacterales"": 0.005089692413824665, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
GLYOXYLATE-BYPASS: glyoxylate cycle	22.40162601626016	0.96260162601626	0.0197458939427489	Candida	0.0021653194813055347	0.04276734401714633	"{""Acinetobacter"": 0.006774500687703085, ""Candida"": 0.0197458939427489, ""Enterobacterales"": 0.0052422171242383, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.010100926842723037, ""Streptococcus"": 0.0}"
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	22.31851851851852	0.9574074074074075	0.005445015380239703	Acinetobacter	0.0022382202703919306	0.04276734401714633	"{""Acinetobacter"": 0.005445015380239703, ""Candida"": 0.0, ""Enterobacterales"": 0.004197799111734426, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-7118: chitin deacetylation	22.01033653846154	0.9381460336538463	0.023760372713825827	Candida	0.002530011310894395	0.04276734401714633	"{""Acinetobacter"": 0.009999342445994227, ""Candida"": 0.023760372713825827, ""Enterobacterales"": 0.004170651760044497, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.016020051864168987, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-6317: D-galactose degradation I (Leloir pathway)	21.663481404958677	0.9164675878099173	0.014211043728558572	Streptococcus	0.0029027739646817537	0.04276734401714633	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.002929609669536238, ""Haemophilus"": 0.011786974847183255, ""Pseudomonas"": 6.609856400021375e-05, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.014211043728558572}"
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	21.46666666666666	0.9041666666666663	0.006476175991735524	Acinetobacter	0.0031374977519622632	0.04276734401714633	"{""Acinetobacter"": 0.006476175991735524, ""Candida"": 0.0, ""Enterobacterales"": 0.004761319430353796, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.00018005779055776136, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	20.770233366434955	0.8606395854021847	0.01558656878472241	Haemophilus	0.004125523719892741	0.04276734401714633	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.006488535088732689, ""Haemophilus"": 0.01558656878472241, ""Pseudomonas"": 0.0005091391549803813, ""Staphylococcus"": 3.400165483975369e-05, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.011137430820356434}"
PWY-3841: folate transformations II (plants)	20.66735807860262	0.8542098799126638	0.018483444245479208	Candida	0.004294972425775086	0.04276734401714633	"{""Acinetobacter"": 0.007281916769531753, ""Candida"": 0.019758715954329608, ""Enterobacterales"": 0.003102825053959997, ""Haemophilus"": 0.014591573281224696, ""Pseudomonas"": 0.0012752717088504, ""Staphylococcus"": 0.003937191586599172, ""Stenotrophomonas"": 0.006296437849468302, ""Streptococcus"": 0.010994870995927575}"
