MetaCyc_pathway	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	21.799668874172184	0.9866445916114789	0.010503284453595826	Haemophilus	0.0027504457519561755	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.0014550538336231369, ""Haemophilus"": 0.010503284453595826, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	21.77083333333334	0.9847222222222226	0.00810849212787117	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.0034408634962409005, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.00810849212787117, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	21.77083333333334	0.9847222222222226	0.005795256953422716	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.0021118781405052665, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.005795256953422716, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-5840: superpathway of menaquinol-7 biosynthesis	21.77083333333334	0.9847222222222226	0.007360607187575893	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.002798826824257707, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.007360607187575893, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-5897: superpathway of menaquinol-11 biosynthesis	21.77083333333334	0.9847222222222226	0.007188904720562195	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.003038588950518637, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.007188904720562195, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-5898: superpathway of menaquinol-12 biosynthesis	21.77083333333334	0.9847222222222226	0.007188904720562195	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.003038588950518637, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.007188904720562195, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-5899: superpathway of menaquinol-13 biosynthesis	21.77083333333334	0.9847222222222226	0.007188904720562195	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.003038588950518637, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.007188904720562195, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-6859: all-trans-farnesol biosynthesis	21.77083333333334	0.9847222222222226	0.00829517387893698	Staphylococcus	0.002782035656724936	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.001070970480854019, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.00829517387893698, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	21.699453551912573	0.9799635701275048	0.007357541762326905	Acinetobacter	0.0028617592828091842	0.03390199960613317	"{""Acinetobacter"": 0.007357541762326905, ""Candida"": 0.0, ""Enterobacterales"": 0.005029148186433887, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
TCA: TCA cycle I (prokaryotic)	21.699453551912573	0.9799635701275048	0.00735157002904747	Acinetobacter	0.0028617592828091842	0.03390199960613317	"{""Acinetobacter"": 0.00735157002904747, ""Candida"": 0.0, ""Enterobacterales"": 0.005089692413824665, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
LACTOSECAT-PWY: lactose and galactose degradation I	21.388888888888875	0.9592592592592584	0.016056603669950636	Streptococcus	0.0032352551956939357	0.03390199960613317	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.0, ""Haemophilus"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.009700573009074539, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.016056603669950636}"
