MetaCyc_pathway	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	28.787077826725394	0.9898608488916855	0.007357541762326905	Acinetobacter	0.00034556401826612594	0.013956922345885286	"{""Acinetobacter"": 0.007357541762326905, ""Candida"": 0.0, ""Enterobacterales"": 0.005029148186433887, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
TCA: TCA cycle I (prokaryotic)	28.787077826725394	0.9898608488916855	0.00735157002904747	Acinetobacter	0.00034556401826612594	0.013956922345885286	"{""Acinetobacter"": 0.00735157002904747, ""Candida"": 0.0, ""Enterobacterales"": 0.005089692413824665, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
GLYOXYLATE-BYPASS: glyoxylate cycle	28.560189573459716	0.9790566463552246	0.0197458939427489	Candida	0.0003786566067673934	0.013956922345885286	"{""Acinetobacter"": 0.006774500687703085, ""Candida"": 0.0197458939427489, ""Enterobacterales"": 0.0052422171242383, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.010100926842723037, ""Streptococcus"": 0.0}"
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	28.48898678414097	0.9756660373400462	0.005445015380239703	Acinetobacter	0.0003896685068997487	0.013956922345885286	"{""Acinetobacter"": 0.005445015380239703, ""Candida"": 0.0, ""Enterobacterales"": 0.004197799111734426, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-7118: chitin deacetylation	28.294509377548245	0.9664052084546784	0.023760372713825827	Candida	0.0004213706360122072	0.013956922345885286	"{""Acinetobacter"": 0.009999342445994227, ""Candida"": 0.023760372713825827, ""Enterobacterales"": 0.004170651760044497, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.016020051864168987, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	27.022504230118443	0.9058335347675449	0.006476175991735524	Acinetobacter	0.0007006883638341738	0.013956922345885286	"{""Acinetobacter"": 0.006476175991735524, ""Candida"": 0.0, ""Enterobacterales"": 0.004761319430353796, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 0.00018005779055776136, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
LIPASYN-PWY: phospholipases	26.311773472429213	0.8719892129728196	0.02218355369144271	Pseudomonas	0.0009287228460561367	0.013956922345885286	"{""Acinetobacter"": 0.017001898786090604, ""Candida"": 0.021759443620291207, ""Enterobacterales"": 0.002077127668579193, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.02218355369144271, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.009955528626192603, ""Streptococcus"": 0.0}"
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	26.050930626057525	0.8595681250503583	0.00371613342899808	Acinetobacter	0.001029428308907353	0.013956922345885286	"{""Acinetobacter"": 0.00371613342899808, ""Candida"": 0.0, ""Enterobacterales"": 0.0023629608125531366, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0006263336946561833, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	25.927053712480244	0.8536692244038212	0.013089777460090716	Stenotrophomonas	0.0010809143319144327	0.013956922345885286	"{""Acinetobacter"": 0.008380799948960203, ""Candida"": 0.0, ""Enterobacterales"": 0.003652671170467931, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0017296231402060894, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.013089777460090716, ""Streptococcus"": 0.0}"
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	25.927053712480244	0.8536692244038212	0.014827790362990456	Stenotrophomonas	0.0010809143319144327	0.013956922345885286	"{""Acinetobacter"": 0.00916269214118493, ""Candida"": 0.0, ""Enterobacterales"": 0.003809714177231002, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0017494930183531749, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.014827790362990456, ""Streptococcus"": 0.0}"
