claim	analysis	N	effect_size	P	FDR	sensitivity_supported	dispersion_issue	evidence_class	allowed_wording	forbidden_wording
Published diagnosis is associated with modest Aitchison compositional differences	Aitchison PERMANOVA + PERMDISP	400	0.019409536625522597	0.0001	NA	yes; n=119	no; PERMDISP p=0.487	Primary formal	associated with; modest compositional differences	caused; drives; diagnostic signature
Bray-Curtis composition differs by diagnosis but dispersion also differs	Bray-Curtis PERMANOVA + PERMDISP	400	0.015338956240491902	0.0115	NA	qualified	yes; PERMDISP p=0.0013	Secondary/qualified	qualified association; dispersion differs	unambiguous centroid separation; distinct subtype
Parvimonas micra is a diagnosis-associated candidate taxon	frozen prevalence-filtered species differential + CLR sensitivity	400	0.054736258190776495	0.0001	0.0015	no; full-cohort only	not a PERMANOVA claim	Secondary formal; not strict-QC stable	associated with; candidate taxon	biomarker; diagnostic signature; caused; drives
Porphyromonas endodontalis is a diagnosis-associated candidate taxon	frozen prevalence-filtered species differential + CLR sensitivity	400	0.05454085757233522	0.0002	0.0015	no; full-cohort only	not a PERMANOVA claim	Secondary formal; not strict-QC stable	associated with; candidate taxon	biomarker; diagnostic signature; caused; drives
Porphyromonas gingivalis is a diagnosis-associated candidate taxon	frozen prevalence-filtered species differential + CLR sensitivity	400	0.05408932361051804	0.0002	0.0015	yes	not a PERMANOVA claim	Secondary formal	associated with; candidate taxon	biomarker; diagnostic signature; caused; drives
Campylobacter rectus is a diagnosis-associated candidate taxon	frozen prevalence-filtered species differential + CLR sensitivity	400	0.050812257251176135	0.0002	0.0015	yes	not a PERMANOVA claim	Secondary formal	associated with; candidate taxon	biomarker; diagnostic signature; caused; drives
Fusobacterium nucleatum is a diagnosis-associated candidate taxon	frozen prevalence-filtered species differential + CLR sensitivity	400	0.029428177531785674	0.002	0.012	yes	not a PERMANOVA claim	Secondary formal	associated with; candidate taxon	biomarker; diagnostic signature; caused; drives
No stable diagnosis-linked ecotype was identified	hierarchical clustering k=2–10; silhouette; cross-metric ARI	400	ARI approximately zero	NA	NA	cross-metric check failed stability	NA	Exploratory/negative	metric-dependent community states; substantial heterogeneity	distinct microbiome subtype; stable clinical subtype
The fixed 30 are enriched for classified microbial signal	prespecified selection-bias comparison	30 vs 370	median 0.0459 vs 0.0175	2.6285818668433082e-08	NA	supported by dominance and state coverage	NA	Descriptive selection-bias	selected; enriched; not representative	representative functional cohort
The fixed 30 are enriched for dominant-species abundance	prespecified selection-bias comparison	30 vs 370	median 0.956 vs 0.390	1.1923681187925213e-06	NA	supported by classified fraction and state coverage	NA	Descriptive selection-bias	selected; enriched; not representative	pathogen-specific functional state
HUMAnN candidates are hypothesis-generating only	fixed-30 n=30→24→23 annotation-dropout review	30/24/23	101 stable pathway candidates	see supplement	see supplement	direction and FDR across three sets	functional PERMANOVA dispersion significant	Supplementary exploratory	exploratory; selected functional supplement	functional reprogramming; cohort-wide functional landscape; pathogen-specific functional state
