section	k	category	value1	value2	value3
cluster_diagnostics	2		0.48635301344961074	0.4484846294492977	-0.0013040810064436944
cluster_diagnostics	3		0.48450950095696216	0.43668570034095416	-0.0038104754198500556
cluster_diagnostics	4		0.47774021789357674	0.4106940796270249	-0.005037575221701753
cluster_diagnostics	5		0.47662117184231206	0.40299333491142475	-0.006169228845640954
cluster_diagnostics	6		0.4698160792511907	0.39821397887874477	-0.008439316595975544
cluster_diagnostics	7		0.49817298784179903	0.3904159076376465	-0.007313431047339257
cluster_diagnostics	8		0.4974241879602693	0.38422216433648315	-0.008035086390574714
cluster_diagnostics	9		0.5128639737702054	0.38105268423431954	-0.00014122611140709182
cluster_diagnostics	10		0.5166679449934424	0.3828972862592059	0.00022314231934259413
k10_state_size	10	1	138	0.345	
k10_state_size	10	2	170	0.425	
k10_state_size	10	3	30	0.075	
k10_state_size	10	4	41	0.1025	
k10_state_size	10	5	10	0.025	
k10_state_size	10	6	1	0.0025	
k10_state_size	10	7	7	0.0175	
k10_state_size	10	8	1	0.0025	
k10_state_size	10	9	1	0.0025	
k10_state_size	10	10	1	0.0025	
dominant_species		None	87	0.2175	
dominant_species		Prevotella melaninogenica	36	0.09	
dominant_species		Pseudomonas aeruginosa	24	0.06	
dominant_species		Rothia mucilaginosa	19	0.0475	
dominant_species		Cupriavidus sp. EM10	12	0.03	
dominant_species		Streptococcus mitis	12	0.03	
dominant_species		Haemophilus influenzae	11	0.0275	
dominant_species		Klebsiella pneumoniae	10	0.025	
dominant_species		Cutibacterium acnes	10	0.025	
dominant_species		Staphylococcus aureus	9	0.0225	
dominant_species		Mycobacterium tuberculosis	9	0.0225	
dominant_species		Porphyromonas endodontalis	8	0.02	
dominant_species		Prevotella jejuni	6	0.015	
dominant_species		Bacteroides heparinolyticus	6	0.015	
dominant_species		Aspergillus fumigatus	6	0.015	
dominant_species		Prevotella nigrescens	5	0.0125	
dominant_species		Streptococcus salivarius	5	0.0125	
dominant_species		Fusobacterium nucleatum	5	0.0125	
dominant_species		Acinetobacter baumannii	5	0.0125	
dominant_species		Prevotella intermedia	4	0.01	
dominant_species		Streptococcus pseudopneumoniae	4	0.01	
dominant_species		Treponema denticola	4	0.01	
dominant_species		Tannerella forsythia	4	0.01	
dominant_species		Ralstonia pickettii	4	0.01	
dominant_species		Stenotrophomonas maltophilia	4	0.01	
dominant_species		Parvimonas micra	4	0.01	
dominant_species		Streptococcus pneumoniae	4	0.01	
dominant_species		Staphylococcus epidermidis	3	0.0075	
dominant_species		Cryptococcus neoformans	3	0.0075	
dominant_species		Staphylococcus haemolyticus	3	0.0075	
dominant_species		Haemophilus parainfluenzae	3	0.0075	
dominant_species		Ralstonia insidiosa	3	0.0075	
dominant_species		Acinetobacter johnsonii	3	0.0075	
dominant_species		Streptococcus sanguinis	2	0.005	
dominant_species		Acinetobacter nosocomialis	2	0.005	
dominant_species		Burkholderia cenocepacia	2	0.005	
dominant_species		Pyramidobacter piscolens	2	0.005	
dominant_species		Enterococcus faecium	2	0.005	
dominant_species		Porphyromonas gingivalis	2	0.005	
dominant_species		Streptococcus oralis	2	0.005	
dominant_species		Corynebacterium accolens	2	0.005	
dominant_species		Burkholderia multivorans	2	0.005	
dominant_species		Corynebacterium propinquum	2	0.005	
dominant_species		Human betaherpesvirus 5	2	0.005	
dominant_species		Corynebacterium striatum	2	0.005	
dominant_species		Aspergillus oryzae	2	0.005	
dominant_species		Tropheryma whipplei	2	0.005	
dominant_species		Candida albicans	2	0.005	
dominant_species		Methylobacterium brachiatum	2	0.005	
dominant_species		Escherichia coli	2	0.005	
dominant_species		Candida orthopsilosis	1	0.0025	
dominant_species		Salmonella enterica	1	0.0025	
dominant_species		Human gammaherpesvirus 4	1	0.0025	
dominant_species		Veillonella parvula	1	0.0025	
dominant_species		Glycine soja	1	0.0025	
dominant_species		Moraxella catarrhalis	1	0.0025	
dominant_species		Triticum aestivum	1	0.0025	
dominant_species		Fusobacterium pseudoperiodonticum	1	0.0025	
dominant_species		Neisseria sicca	1	0.0025	
dominant_species		Klebsiella aerogenes	1	0.0025	
dominant_species		Morococcus cerebrosus	1	0.0025	
dominant_species		Corynebacterium kefirresidentii	1	0.0025	
dominant_species		Haemophilus parahaemolyticus	1	0.0025	
dominant_species		Acinetobacter sp. C32I	1	0.0025	
dominant_species		Neisseria subflava	1	0.0025	
dominant_species		Malassezia restricta	1	0.0025	
dominant_species		Legionella longbeachae	1	0.0025	
dominant_species		Streptococcus sp. oral taxon 431	1	0.0025	
dominant_species		Prevotella histicola	1	0.0025	
dominant_species		Morganella morganii	1	0.0025	
dominant_species		Bacillus cereus	1	0.0025	
dominant_species		Carnobacterium maltaromaticum	1	0.0025	
dominant_species		Lautropia mirabilis	1	0.0025	
dominant_species		Moraxella osloensis	1	0.0025	
dominant_species		Neisseria elongata	1	0.0025	
dominant_species		Bradyrhizobium quebecense	1	0.0025	
dominant_species		Streptococcus intermedius	1	0.0025	
dominant_species		Olea europaea	1	0.0025	
dominant_species		Bradyrhizobium sp. SK17	1	0.0025	
dominant_species		Nocardia wallacei	1	0.0025	
dominant_species		Neisseria mucosa	1	0.0025	
