metric	continuous_variable	axis	spearman_rho	permutation_p	BH_q	permutations	permutation_constraint	evidence_class
Bray-Curtis	collection_date_ordinal	1	-0.15285903052706956	0.0051	0.017	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	collection_date_ordinal	2	-0.07203444272424857	0.2536	0.3510666666666667	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	collection_date_ordinal	3	0.05207151591448381	0.1429	0.21984615384615386	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	collection_date_ordinal	4	-0.030062689136865505	0.7581	0.7888	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	collection_date_ordinal	5	0.07889192987068168	0.0565	0.10272727272727274	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	log10_total_reads	1	0.3573942662334114	0.0001	0.001	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	log10_total_reads	2	0.013457956509420749	0.7888	0.7888	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	log10_total_reads	3	-0.22959602458274958	0.0001	0.001	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	log10_total_reads	4	-0.11887250308499782	0.0182	0.04044444444444444	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Bray-Curtis	log10_total_reads	5	-0.1942915905743797	0.0002	0.0013333333333333333	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	collection_date_ordinal	1	-0.07048888839909331	0.3529	0.441125	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	collection_date_ordinal	2	0.0751935596677809	0.0402	0.0804	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	collection_date_ordinal	3	-0.019075204160661476	0.5968	0.7021176470588235	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	collection_date_ordinal	4	0.12205439602956691	0.0096	0.023999999999999997	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	collection_date_ordinal	5	-0.04340822021307272	0.2633	0.3510666666666667	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	log10_total_reads	1	0.16449480808549585	0.0016	0.0064	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	log10_total_reads	2	0.18002185344968913	0.0005	0.0025	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	log10_total_reads	3	-0.018558768880909897	0.7141	0.7888	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	log10_total_reads	4	-0.1363779922266779	0.0069	0.019714285714285715	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
Aitchison	log10_total_reads	5	-0.07452369029457315	0.1356	0.21984615384615386	9999	within published Training/Test cohort	temporal/technical sensitivity diagnostic
