dominant_species	samples	fraction
None	87	0.2175
Prevotella melaninogenica	36	0.09
Pseudomonas aeruginosa	24	0.06
Rothia mucilaginosa	19	0.0475
Cupriavidus sp. EM10	12	0.03
Streptococcus mitis	12	0.03
Haemophilus influenzae	11	0.0275
Klebsiella pneumoniae	10	0.025
Cutibacterium acnes	10	0.025
Staphylococcus aureus	9	0.0225
Mycobacterium tuberculosis	9	0.0225
Porphyromonas endodontalis	8	0.02
Prevotella jejuni	6	0.015
Bacteroides heparinolyticus	6	0.015
Aspergillus fumigatus	6	0.015
Prevotella nigrescens	5	0.0125
Streptococcus salivarius	5	0.0125
Fusobacterium nucleatum	5	0.0125
Acinetobacter baumannii	5	0.0125
Prevotella intermedia	4	0.01
Streptococcus pseudopneumoniae	4	0.01
Treponema denticola	4	0.01
Tannerella forsythia	4	0.01
Ralstonia pickettii	4	0.01
Stenotrophomonas maltophilia	4	0.01
Parvimonas micra	4	0.01
Streptococcus pneumoniae	4	0.01
Staphylococcus epidermidis	3	0.0075
Cryptococcus neoformans	3	0.0075
Staphylococcus haemolyticus	3	0.0075
Haemophilus parainfluenzae	3	0.0075
Ralstonia insidiosa	3	0.0075
Acinetobacter johnsonii	3	0.0075
Streptococcus sanguinis	2	0.005
Acinetobacter nosocomialis	2	0.005
Burkholderia cenocepacia	2	0.005
Pyramidobacter piscolens	2	0.005
Enterococcus faecium	2	0.005
Porphyromonas gingivalis	2	0.005
Streptococcus oralis	2	0.005
Corynebacterium accolens	2	0.005
Burkholderia multivorans	2	0.005
Corynebacterium propinquum	2	0.005
Human betaherpesvirus 5	2	0.005
Corynebacterium striatum	2	0.005
Aspergillus oryzae	2	0.005
Tropheryma whipplei	2	0.005
Candida albicans	2	0.005
Methylobacterium brachiatum	2	0.005
Escherichia coli	2	0.005
Candida orthopsilosis	1	0.0025
Salmonella enterica	1	0.0025
Human gammaherpesvirus 4	1	0.0025
Veillonella parvula	1	0.0025
Glycine soja	1	0.0025
Moraxella catarrhalis	1	0.0025
Triticum aestivum	1	0.0025
Fusobacterium pseudoperiodonticum	1	0.0025
Neisseria sicca	1	0.0025
Klebsiella aerogenes	1	0.0025
Morococcus cerebrosus	1	0.0025
Corynebacterium kefirresidentii	1	0.0025
Haemophilus parahaemolyticus	1	0.0025
Acinetobacter sp. C32I	1	0.0025
Neisseria subflava	1	0.0025
Malassezia restricta	1	0.0025
Legionella longbeachae	1	0.0025
Streptococcus sp. oral taxon 431	1	0.0025
Prevotella histicola	1	0.0025
Morganella morganii	1	0.0025
Bacillus cereus	1	0.0025
Carnobacterium maltaromaticum	1	0.0025
Lautropia mirabilis	1	0.0025
Moraxella osloensis	1	0.0025
Neisseria elongata	1	0.0025
Bradyrhizobium quebecense	1	0.0025
Streptococcus intermedius	1	0.0025
Olea europaea	1	0.0025
Bradyrhizobium sp. SK17	1	0.0025
Nocardia wallacei	1	0.0025
Neisseria mucosa	1	0.0025
