genus	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Prevotella	156	0.39	0.10850701962154362	0.0	1.0
Streptococcus	116	0.29	0.07977766521501078	0.0	1.0
Rothia	110	0.275	0.03955617760831465	0.0	1.0
Veillonella	89	0.2225	0.013782123800622943	0.0	0.4226878612716763
Haemophilus	82	0.205	0.040895009419281064	0.0	1.0
Porphyromonas	74	0.185	0.028232723697679176	0.0	0.9210348173387186
Campylobacter	74	0.185	0.0043615750052886666	0.0	0.26447515875980576
Cutibacterium	70	0.175	0.022214361265586693	0.0	1.0
Fusobacterium	70	0.175	0.01614986064924793	0.0	0.8206645283841435
Staphylococcus	69	0.1725	0.036428182676013394	0.0	1.0
Gemella	61	0.1525	0.003984062767519564	0.0	0.16102103661930028
Schaalia	57	0.1425	0.0017427617218751467	0.0	0.16293482606957216
Parvimonas	53	0.1325	0.009434743846928682	0.0	0.9613685647739137
Capnocytophaga	53	0.1325	0.005723678329435291	0.0	0.2506665858683796
Neisseria	50	0.125	0.013603113308561832	0.0	0.7339544513457557
Granulicatella	48	0.12	0.0018340771708828436	0.0	0.12318328226883496
Tannerella	46	0.115	0.009962181927509002	0.0	1.0
Acinetobacter	44	0.11	0.025709828050147356	0.0	0.9987213316749393
Corynebacterium	44	0.11	0.016353191794501877	0.0	1.0
Moraxella	43	0.1075	0.008925311844522762	0.0	0.5727272727272728
Treponema	41	0.1025	0.009774657664647139	0.0	0.5702127659574469
Pseudomonas	39	0.0975	0.056725439221270116	0.0	1.0
Mogibacterium	35	0.0875	0.0010047566004707225	0.0	0.07690366007572572
Actinomyces	35	0.0875	0.0009062228007977905	0.0	0.07977439735350743
Leptotrichia	33	0.0825	0.0008242329742888578	0.0	0.13678105364910584
Lautropia	31	0.0775	0.0031716423006353254	0.0	0.4912414318354913
Bacteroides	30	0.075	0.013101900686654329	0.0	0.8630051294883023
Malassezia	30	0.075	0.0023613432623579033	0.0	0.3919239904988123
Candidatus	29	0.0725	0.00038671996128927284	0.0	0.025593534265027786
Ralstonia	28	0.07	0.017545259409819908	0.0	1.0
Cupriavidus	27	0.0675	0.018426684951164053	0.0	1.0
Filifactor	24	0.06	0.002614329224856516	0.0	0.3595442659693687
Xanthomonas	22	0.055	0.0019719943454162966	0.0	0.28622327790973867
Candida	21	0.0525	0.010470351302621805	0.0	1.0
Stenotrophomonas	20	0.05	0.011387245898138719	0.0	0.998854130858256
Metamycoplasma	20	0.05	0.0005902407588198222	0.0	0.045905502831874105
Abiotrophia	19	0.0475	0.0009456833922292987	0.0	0.2079207920792079
Human	18	0.045	0.006541000119665943	0.0	0.7623715415019763
Selenomonas	18	0.045	0.00011827461639744391	0.0	0.011389315737141824
Lancefieldella	18	0.045	5.3407772297323334e-05	0.0	0.0029113776639105625
Methylobacterium	17	0.0425	0.004052249806483644	0.0	1.0
Klebsiella	16	0.04	0.020373720956659232	0.0	1.0
Sphingomonas	16	0.04	0.003050237713965487	0.0	0.2437897692534136
Chryseobacterium	16	0.04	0.0011863720731302091	0.0	0.34119232064668237
Aggregatibacter	16	0.04	0.0003105314805201694	0.0	0.043175735950044605
Mycobacterium	15	0.0375	0.019236911584442812	0.0	1.0
Aspergillus	14	0.035	0.018712922342276193	0.0	1.0
Enterococcus	14	0.035	0.004623329364576698	0.0	0.853386167146974
Olsenella	14	0.035	0.0007761130249184212	0.0	0.14615929431459662
Lachnoanaerobaculum	14	0.035	5.1278067821729934e-05	0.0	0.004966476285075739
Morococcus	13	0.0325	0.0018381210212328716	0.0	0.6623711340206186
Burkholderia	12	0.03	0.007551691291509417	0.0	1.0
Propionibacterium	12	0.03	0.00010773884942864849	0.0	0.02295383001049318
Bradyrhizobium	11	0.0275	0.004802336578269811	0.0	0.9086326402016384
Dolosigranulum	11	0.0275	0.00026940149717748495	0.0	0.04033149171270718
Dialister	11	0.0275	0.00016679131452296706	0.0	0.03916431083224161
Arachnia	10	0.025	0.00040279746086804266	0.0	0.14094537486304587
Paraburkholderia	10	0.025	0.00018484225383014286	0.0	0.05045115731659473
Eikenella	9	0.0225	0.0016663167747558117	0.0	0.44013961605584645
Sphingobium	9	0.0225	0.00032738832574519944	0.0	0.052334304121436775
Kocuria	9	0.0225	8.770379648664722e-05	0.0	0.015163792105567776
Cryptococcus	8	0.02	0.009019826219197405	0.0	1.0
Kingella	8	0.02	1.933706802301524e-05	0.0	0.004664524588851186
Acidovorax	7	0.0175	0.00013402023252916963	0.0	0.03211009174311926
Flavobacterium	7	0.0175	5.4356704268806684e-05	0.0	0.013652412710867005
Rhodococcus	7	0.0175	4.1574029730767936e-05	0.0	0.004766949152542373
Methylotenera	7	0.0175	2.478078746214568e-05	0.0	0.004668497449980384
Ottowia	7	0.0175	1.728871487305232e-05	0.0	0.005240153582381493
Cardiobacterium	7	0.0175	1.5227774415442487e-05	0.0	0.0020265594622203183
Pyramidobacter	6	0.015	0.0025744402783745273	0.0	0.5527365491651205
Brevundimonas	6	0.015	0.0001164773182683487	0.0	0.03295409964692036
Bifidobacterium	6	0.015	7.545784099519836e-05	0.0	0.014223171830159828
Lactuca	6	0.015	5.71818948117195e-05	0.0	0.018772196854388638
Atopobium	6	0.015	5.339582422100021e-05	0.0	0.011189735804706056
Paracoccus	6	0.015	3.858900767875965e-05	0.0	0.00823852491173009
Deinococcus	6	0.015	3.468518209579108e-05	0.0	0.006551588858375834
Mycolicibacterium	6	0.015	3.248254015999157e-05	0.0	0.005471714764804519
Comamonas	6	0.015	3.0043329735485566e-05	0.0	0.006708513142408788
Ligilactobacillus	6	0.015	2.1791141045439124e-05	0.0	0.006880733944954128
Neomicrococcus	6	0.015	1.0149997153650133e-05	0.0	0.0010590415673815197
Pauljensenia	6	0.015	8.813128305046589e-06	0.0	0.00232910213112845
Fretibacterium	6	0.015	6.495252446006834e-06	0.0	0.00116981617174444
Escherichia	5	0.0125	0.0036680805423297746	0.0	0.9452168478427917
Triticum	5	0.0125	0.0028086677489546122	0.0	1.0
