species	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Prevotella melaninogenica	127	0.3175	0.06323913944141649	0.0	1.0
Rothia mucilaginosa	107	0.2675	0.038161366187643486	0.0	1.0
Streptococcus mitis	79	0.1975	0.02149003727740157	0.0	0.5055019088255108
Prevotella jejuni	76	0.19	0.014743046217852955	0.0	0.3773584905660377
Cutibacterium acnes	70	0.175	0.022171180086335122	0.0	1.0
Prevotella intermedia	69	0.1725	0.008951929822403306	0.0	0.6099591342515513
Veillonella parvula	68	0.17	0.007522115649615115	0.0	0.4226878612716763
Haemophilus parainfluenzae	66	0.165	0.009054132767644255	0.0	1.0
Streptococcus oralis	65	0.1625	0.0067731606471750265	0.0	0.3101354042214257
Streptococcus pneumoniae	60	0.15	0.012885022404599858	0.0	0.7238519796759659
Prevotella nigrescens	60	0.15	0.011092795552692563	0.0	1.0
Veillonella atypica	58	0.145	0.002772073379057186	0.0	0.15271068169618893
Porphyromonas endodontalis	56	0.14	0.019637323656758406	0.0	0.8925301204819277
Fusobacterium nucleatum	54	0.135	0.011309359751523487	0.0	0.8159001027621212
Parvimonas micra	53	0.1325	0.009434743846928682	0.0	0.9613685647739137
Schaalia odontolytica	53	0.1325	0.0016818686509606213	0.0	0.16293482606957216
Staphylococcus epidermidis	50	0.125	0.0077024660480317555	0.0	0.4711177794448612
Campylobacter concisus	50	0.125	0.0012685944364075725	0.0	0.104389834068473
Porphyromonas gingivalis	49	0.1225	0.008510924113205663	0.0	0.7139119729147431
Gemella haemolysans	48	0.12	0.0018525460476047759	0.0	0.15456535450599193
Granulicatella adiacens	48	0.12	0.001804903464941231	0.0	0.12318328226883496
Prevotella veroralis	46	0.115	0.0015868399407294956	0.0	0.09891409525857435
Fusobacterium pseudoperiodonticum	45	0.1125	0.004622504371673311	0.0	0.5322411258139047
Gemella sanguinis	45	0.1125	0.0012071859627225804	0.0	0.08085407812183769
Streptococcus sanguinis	44	0.11	0.003059674486846717	0.0	0.47891682785299805
Campylobacter rectus	44	0.11	0.0029185202211680686	0.0	0.26447515875980576
Streptococcus salivarius	43	0.1075	0.006704364881243783	0.0	0.6784615384615384
Streptococcus sp. oral taxon 431	43	0.1075	0.002752915426406769	0.0	0.6337078651685394
Veillonella rogosae	42	0.105	0.0014582147857331409	0.0	0.14741420976317063
Capnocytophaga gingivalis	40	0.1	0.0014086887943765135	0.0	0.1605351170568562
Tannerella forsythia	39	0.0975	0.009362809923417106	0.0	1.0
Prevotella oris	39	0.0975	0.002514700714732909	0.0	0.17371708196510205
Moraxella osloensis	38	0.095	0.006792405830989001	0.0	0.5727272727272728
Neisseria mucosa	38	0.095	0.003413586161720737	0.0	0.18457922805748891
Streptococcus pseudopneumoniae	37	0.0925	0.008662135327396172	0.0	1.0
Treponema denticola	37	0.0925	0.008602203888756457	0.0	0.5084461637653127
Neisseria sicca	37	0.0925	0.004877851520855263	0.0	0.7339544513457557
Capnocytophaga sputigena	37	0.0925	0.0017837329858587084	0.0	0.1538862353452019
Prevotella histicola	37	0.0925	0.0017498372174640758	0.0	0.10780851481263488
Streptococcus parasanguinis	37	0.0925	0.001073416347099753	0.0	0.06358195667227223
Prevotella sp. oral taxon 299	37	0.0925	0.0006899127321610807	0.0	0.04708333333333333
Streptococcus sp. Marseille-Q3533	36	0.09	0.0011487532869702154	0.0	0.06200780418588152
Rothia aeria	36	0.09	0.0010015130751362827	0.0	0.07160510099845124
Haemophilus influenzae	35	0.0875	0.0282594239941839	0.0	1.0
Prevotella denticola	35	0.0875	0.0018973300904408606	0.0	0.4091233071988596
Streptococcus infantis	35	0.0875	0.0017661965224956525	0.0	0.30960376091336467
Veillonella dispar	35	0.0875	0.0010626077171083253	0.0	0.07188789128852219
Streptococcus toyakuensis	34	0.085	0.0013719952106366474	0.0	0.057062564004858415
Streptococcus sp. Marseille-Q6470	34	0.085	0.0007740631036982624	0.0	0.08761972330613693
Staphylococcus hominis	33	0.0825	0.0031147395286112893	0.0	0.17731380492365223
Streptococcus gwangjuense	33	0.0825	0.001367596867651849	0.0	0.08168060489304128
Capnocytophaga sp. FDAARGOS_737	33	0.0825	0.0012930864359751275	0.0	0.10870036884356693
Capnocytophaga leadbetteri	33	0.0825	0.0009878786012976098	0.0	0.08652636146669558
Gemella morbillorum	33	0.0825	0.000923854535969907	0.0	0.09001167604288292
Streptococcus sp. oral taxon 061	32	0.08	0.0008712267498597127	0.0	0.11677899964526428
Mogibacterium diversum	32	0.08	0.0008695722048050467	0.0	0.07690366007572572
