run	pathogen_group	top_pathogen	status	fastp_json	kreport	bracken
SRR27343490	Staphylococcus	Staphylococcus aureus	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343490.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343490.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343490.bracken
SRR27343272	Enterobacterales	Klebsiella pneumoniae	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343272.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343272.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343272.bracken
SRR27343566	Enterobacterales	Escherichia coli	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343566.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343566.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343566.bracken
SRR27343725	Staphylococcus	Staphylococcus aureus	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343725.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343725.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343725.bracken
SRR27343495	Pseudomonas	Pseudomonas aeruginosa	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343495.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343495.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343495.bracken
SRR27343276	Pseudomonas	Pseudomonas aeruginosa	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343276.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343276.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343276.bracken
SRR27343266	Stenotrophomonas	Stenotrophomonas maltophilia	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343266.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343266.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343266.bracken
SRR27344040	Pseudomonas	Pseudomonas aeruginosa	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27344040.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27344040.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27344040.bracken
SRR27343867	Pseudomonas	Pseudomonas aeruginosa	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343867.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343867.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343867.bracken
SRR27343532	Acinetobacter	Acinetobacter baumannii	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343532.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343532.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343532.bracken
SRR27343868	Acinetobacter	Acinetobacter baumannii	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343868.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343868.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343868.bracken
SRR27343475	Candida	Candida albicans	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343475.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343475.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343475.bracken
SRR27343853	Acinetobacter	Acinetobacter baumannii	bracken_done	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/qc/SRR27343853.fastp.json	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343853.kreport	results/20260731T000000Z-prjna1056765-metagenome-deep-review-plan/kraken2_confirm/SRR27343853.bracken
