run	pathogen_group	baseline_top_pathogen	baseline_top_fraction	confirm_top_pathogen	confirm_top_fraction	confirm_top_reads	consistency	status	before_total_reads	after_total_reads	after_q30_rate	after_gc_content
SRR27343490	Staphylococcus	Staphylococcus aureus	0.94962	Staphylococcus aureus	0.94991	444243.0	stable_same_top	bracken_done	4985677	4985466	0.959937	0.354283
SRR27343272	Enterobacterales	Klebsiella pneumoniae	0.93081	Klebsiella pneumoniae	0.93079	190112.0	stable_same_top	bracken_done	1966006	1965954	0.922994	0.543017
SRR27343566	Enterobacterales	Escherichia coli	0.92124	Escherichia coli	0.91866	127389.0	stable_same_top	bracken_done	1844926	1844577	0.923559	0.502003
SRR27343725	Staphylococcus	Staphylococcus aureus	0.91836	Staphylococcus aureus	0.91849	38616.0	stable_same_top	bracken_done	714512	714267	0.838359	0.361213
SRR27343495	Pseudomonas	Pseudomonas aeruginosa	0.91284	Pseudomonas aeruginosa	0.91308	531731.0	stable_same_top	bracken_done	5878104	5877759	0.943544	0.615056
SRR27343276	Pseudomonas	Pseudomonas aeruginosa	0.91283	Pseudomonas aeruginosa	0.91311	17151.0	stable_same_top	bracken_done	329376	329259	0.868751	0.543528
SRR27343266	Stenotrophomonas	Stenotrophomonas maltophilia	0.91228	Stenotrophomonas maltophilia	0.91244	72124.0	stable_same_top	bracken_done	1185032	1184661	0.909728	0.557486
SRR27344040	Pseudomonas	Pseudomonas aeruginosa	0.87347	Pseudomonas aeruginosa	0.87343	11987.0	stable_same_top	bracken_done	268773	268649	0.888047	0.516993
SRR27343867	Pseudomonas	Pseudomonas aeruginosa	0.87305	Pseudomonas aeruginosa	0.8736	18266.0	stable_same_top	bracken_done	450392	450208	0.841396	0.506018
SRR27343532	Acinetobacter	Acinetobacter baumannii	0.85917	Acinetobacter baumannii	0.8612	36408.0	stable_same_top	bracken_done	1081041	1080435	0.879249	0.40177
SRR27343868	Acinetobacter	Acinetobacter baumannii	0.80919	Acinetobacter baumannii	0.80913	16401.0	stable_same_top	bracken_done	455408	455238	0.842588	0.402627
SRR27343475	Candida	Candida albicans	0.78161	Candida albicans	0.78191	38018.0	stable_same_top	bracken_done	755148	755062	0.93476	0.379937
SRR27343853	Acinetobacter	Acinetobacter baumannii	0.75056	Acinetobacter baumannii	0.7557	26349.0	stable_same_top	bracken_done	904111	903949	0.941442	0.380368
SRR27343738	Acinetobacter	Acinetobacter baumannii	0.68751	Acinetobacter baumannii	0.68441	22524.0	stable_same_top	bracken_done	656518	656391	0.933402	0.440058
SRR27344035	Haemophilus	Haemophilus influenzae	0.68527	Haemophilus influenzae	0.68541	4826.0	stable_same_top	bracken_done	335884	335676	0.778004	0.400846
SRR27343494	Enterobacterales	Klebsiella pneumoniae	0.63548	Klebsiella pneumoniae	0.63497	49008.0	stable_same_top	bracken_done	998992	998685	0.904928	0.447571
SRR27343523	Streptococcus	Streptococcus pneumoniae	0.60404	Streptococcus pneumoniae	0.60475	16462.0	stable_same_top	bracken_done	516671	516495	0.873611	0.394232
SRR27343719	Haemophilus	Haemophilus influenzae	0.54664	Haemophilus influenzae	0.54705	7424.0	stable_same_top	bracken_done	403293	403055	0.839671	0.401388
SRR27343346	Enterobacterales	Escherichia coli	0.4975	Escherichia coli	0.49688	94799.0	stable_same_top	bracken_done	2545835	2545598	0.922127	0.479813
SRR27343993	Staphylococcus	Staphylococcus aureus	0.46253	Staphylococcus aureus	0.46235	13342.0	stable_same_top	bracken_done	664745	664610	0.898716	0.411405
SRR27343296	Staphylococcus	Staphylococcus haemolyticus	0.45383	Staphylococcus haemolyticus	0.45509	3040.0	stable_same_top	bracken_done	368961	368772	0.84892	0.403298
SRR27343601	Haemophilus	Haemophilus influenzae	0.41463	Haemophilus influenzae	0.41477	1893.0	stable_same_top	bracken_done	357014	356710	0.759214	0.408473
SRR27344041	Haemophilus	Haemophilus influenzae	0.40441	Haemophilus influenzae	0.40324	1667.0	stable_same_top	bracken_done	335357	335184	0.759539	0.40974
SRR27343839	Streptococcus	Streptococcus mitis	0.35363	Streptococcus mitis	0.35359	8572.0	stable_same_top	bracken_done	469700	469632	0.925704	0.431692
SRR27343734	Streptococcus	Streptococcus pneumoniae	0.23604	Streptococcus pneumoniae	0.23131	3521.0	stable_same_top	bracken_done	508725	508414	0.872024	0.401739
SRR27343742	Mycobacteria	Mycobacterium tuberculosis	0.23003	Mycobacterium tuberculosis	0.22965	965.0	stable_same_top	bracken_done	263953	263806	0.884692	0.437988
SRR27343518	Mycobacteria	Mycobacterium tuberculosis	0.22821	Mycobacterium tuberculosis	0.22836	1554.0	stable_same_top	bracken_done	631832	631532	0.853655	0.435729
SRR27343522	Mycobacteria	Mycobacterium tuberculosis	0.22456	Mycobacterium tuberculosis	0.22436	1295.0	stable_same_top	bracken_done	276255	276078	0.893312	0.417096
SRR27343520	Mycobacteria	Mycobacterium tuberculosis	0.18737	Mycobacterium tuberculosis	0.18652	971.0	stable_same_top	bracken_done	299746	299546	0.89763	0.393388
SRR27343835	Streptococcus	Streptococcus intermedius	0.18214	Streptococcus intermedius	0.18227	11211.0	stable_same_top	bracken_done	1486054	1485901	0.91044	0.429033
