run	pathogen_group	status	error	host_removed_fastq	sample_dir	genefamilies	pathabundance	pathcoverage
SRR27343490	Staphylococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-01/host_removed/SRR27343490.fastq.gz				
SRR27343272	Enterobacterales	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-02/host_removed/SRR27343272.fastq.gz				
SRR27343566	Enterobacterales	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-03/host_removed/SRR27343566.fastq.gz				
SRR27343725	Staphylococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-04/host_removed/SRR27343725.fastq.gz				
SRR27343495	Pseudomonas	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-05/host_removed/SRR27343495.fastq.gz				
SRR27343276	Pseudomonas	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-06/host_removed/SRR27343276.fastq.gz				
SRR27343266	Stenotrophomonas	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-07/host_removed/SRR27343266.fastq.gz				
SRR27344040	Pseudomonas	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-08/host_removed/SRR27344040.fastq.gz				
SRR27343867	Pseudomonas	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-09/host_removed/SRR27343867.fastq.gz				
SRR27343532	Acinetobacter	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-10/host_removed/SRR27343532.fastq.gz				
SRR27343868	Acinetobacter	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-11/host_removed/SRR27343868.fastq.gz				
SRR27343475	Candida	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-12/host_removed/SRR27343475.fastq.gz				
SRR27343853	Acinetobacter	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-13/host_removed/SRR27343853.fastq.gz				
SRR27343738	Acinetobacter	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-14/host_removed/SRR27343738.fastq.gz				
SRR27344035	Haemophilus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-15/host_removed/SRR27344035.fastq.gz				
SRR27343494	Enterobacterales	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-16/host_removed/SRR27343494.fastq.gz				
SRR27343523	Streptococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-17/host_removed/SRR27343523.fastq.gz				
SRR27343719	Haemophilus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-18/host_removed/SRR27343719.fastq.gz				
SRR27343346	Enterobacterales	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-19/host_removed/SRR27343346.fastq.gz				
SRR27343993	Staphylococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-20/host_removed/SRR27343993.fastq.gz				
SRR27343296	Staphylococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-21/host_removed/SRR27343296.fastq.gz				
SRR27343601	Haemophilus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-22/host_removed/SRR27343601.fastq.gz				
SRR27344041	Haemophilus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-23/host_removed/SRR27344041.fastq.gz				
SRR27343839	Streptococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-24/host_removed/SRR27343839.fastq.gz				
SRR27343734	Streptococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-25/host_removed/SRR27343734.fastq.gz				
SRR27343742	Mycobacteria	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-26/host_removed/SRR27343742.fastq.gz				
SRR27343518	Mycobacteria	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-27/host_removed/SRR27343518.fastq.gz				
SRR27343522	Mycobacteria	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-28/host_removed/SRR27343522.fastq.gz				
SRR27343520	Mycobacteria	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-29/host_removed/SRR27343520.fastq.gz				
SRR27343835	Streptococcus	queued		/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-30/host_removed/SRR27343835.fastq.gz				
