job_id	run	pathogen_group	status	error	amr_status	amr_records	amr_subset_reads	host_removed_fastq	kreport	bracken
20260807T000000Z-prjna1056765-host-amr-screen-01	SRR27343490	Staphylococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-01/host_removed/SRR27343490.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-01/kraken2_confirm/SRR27343490.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-01/kraken2_confirm/SRR27343490.bracken
20260807T000000Z-prjna1056765-host-amr-screen-02	SRR27343272	Enterobacterales	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-02/host_removed/SRR27343272.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-02/kraken2_confirm/SRR27343272.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-02/kraken2_confirm/SRR27343272.bracken
20260807T000000Z-prjna1056765-host-amr-screen-03	SRR27343566	Enterobacterales	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-03/host_removed/SRR27343566.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-03/kraken2_confirm/SRR27343566.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-03/kraken2_confirm/SRR27343566.bracken
20260807T000000Z-prjna1056765-host-amr-screen-04	SRR27343725	Staphylococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-04/host_removed/SRR27343725.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-04/kraken2_confirm/SRR27343725.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-04/kraken2_confirm/SRR27343725.bracken
20260807T000000Z-prjna1056765-host-amr-screen-05	SRR27343495	Pseudomonas	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-05/host_removed/SRR27343495.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-05/kraken2_confirm/SRR27343495.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-05/kraken2_confirm/SRR27343495.bracken
20260807T000000Z-prjna1056765-host-amr-screen-06	SRR27343276	Pseudomonas	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-06/host_removed/SRR27343276.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-06/kraken2_confirm/SRR27343276.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-06/kraken2_confirm/SRR27343276.bracken
20260807T000000Z-prjna1056765-host-amr-screen-07	SRR27343266	Stenotrophomonas	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-07/host_removed/SRR27343266.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-07/kraken2_confirm/SRR27343266.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-07/kraken2_confirm/SRR27343266.bracken
20260807T000000Z-prjna1056765-host-amr-screen-08	SRR27344040	Pseudomonas	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-08/host_removed/SRR27344040.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-08/kraken2_confirm/SRR27344040.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-08/kraken2_confirm/SRR27344040.bracken
20260807T000000Z-prjna1056765-host-amr-screen-09	SRR27343867	Pseudomonas	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-09/host_removed/SRR27343867.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-09/kraken2_confirm/SRR27343867.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-09/kraken2_confirm/SRR27343867.bracken
20260807T000000Z-prjna1056765-host-amr-screen-10	SRR27343532	Acinetobacter	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-10/host_removed/SRR27343532.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-10/kraken2_confirm/SRR27343532.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-10/kraken2_confirm/SRR27343532.bracken
