run	pathogen_group	genefamilies_features	genefamilies_detected	genefamilies_unstratified_total	genefamilies_stratified_total	genefamilies_unmapped	genefamilies_unintegrated	genefamilies_analysis_total	pathabundance_features	pathabundance_detected	pathabundance_unstratified_total	pathabundance_stratified_total	pathabundance_unmapped	pathabundance_unintegrated	pathabundance_analysis_total	pathcoverage_features	pathcoverage_detected	pathcoverage_unstratified_total	pathcoverage_stratified_total	pathcoverage_unmapped	pathcoverage_unintegrated	pathcoverage_analysis_total
SRR27343266	Stenotrophomonas	15051	15051	1336079.3248720611	829799.3248720581	506280.0	0	1.6101234175841954	284	284	496588.2244090283	234681.8838282951	188171.9757005278	295059.2478708143	37.1781233260034	284	273	16.6243803795	41.2502087221	1.0	1.0	16.6243803795
SRR27343272	Enterobacterales	124971	124971	3890007.0337119554	3512194.0337119326	377813.0	0	1.1075717902751228	1309	1309	1726518.1502240351	1357292.2169132805	167686.3296743549	1418260.575901403	12.282157382499884	1309	940	32.7141214411	197.7734268433	1.0	1.0	32.7141214411
SRR27343276	Pseudomonas	14062	14062	394452.8254184363	194957.82541843218	199495.0	0	2.023272595351459	173	173	206282.1639786621	59228.4898836239	104327.45730562	100630.9754819603	155.83387727691223	173	173	24.6750145964	56.3992062775	1.0	1.0	24.6750145964
SRR27343296	Staphylococcus	2244	2244	415128.8291788597	154678.8291788599	260450.0	0	2.6838115557419555	7	7	126052.21111960291	2334.4838752342	79084.6023655837	46928.9089609275	3257.180492436212	7	7	3.2847594436	2.3382424952	1.0	1.0	3.2847594436
SRR27343346	Enterobacterales	176942	176942	4046313.194720095	3036415.194720089	1009898.0	0	1.3325954901543346	1582	1578	1992135.2061574068	1042475.8841580028	497206.5343466546	1369283.7921809112	15.855283653630636	1582	1162	58.5909990399	293.4295907645	1.0	1.0	58.5909990399
SRR27343475	Candida	13229	13229	772268.2680328522	339252.2680328532	433016.0	0	2.2763835080921786	114	114	311735.7258620728	71153.763570434	174792.3133158554	135388.7594502846	200.51786902018148	114	114	19.7658021837	31.4448744335	1.0	1.0	19.7658021837
SRR27343490	Staphylococcus	39191	39191	8486032.765966501	6940969.765966501	1545063.0	0	1.2226004509594426	348	348	3230569.8913773554	2387313.938534658	588194.0531857808	2395316.197584759	13.076072981578807	348	118	17.5455581073	41.4097491973	1.0	1.0	17.5455581073
SRR27343494	Enterobacterales	85758	85758	1605700.9630309218	1201989.9630309176	403711.0	0	1.335868861152557	736	736	642353.2825351031	344721.64894011087	161502.7281020151	457162.6584540718	27.117363361614128	736	632	49.7332042622	124.3227206871	1.0	1.0	49.7332042622
SRR27343495	Pseudomonas	57442	57442	7584065.930946645	5972425.930946657	1611640.0	0	1.269846795696393	703	703	3196706.2220617556	2391658.764526456	679311.0269125189	2355253.5868221684	19.715520618331553	703	451	29.5667860944	122.2032613885	1.0	1.0	29.5667860944
SRR27343518	Mycobacteria	821	821	732246.8604531051	253017.8604531049	479229.0	0	2.8940520607588547	2	0	0.0	0	0.0	0.0	0.0	2	2	2.0	0	1.0	1.0	2.0
SRR27343520	Mycobacteria	510	510	330857.9270261665	122935.92702616651	207922.0	0	2.6913037956409966	2	0	0.0	0	0.0	0.0	0.0	2	2	2.0	0	1.0	1.0	2.0
SRR27343522	Mycobacteria	579	579	342150.4261010852	152647.4261010854	189503.0	0	2.2414424850800203	2	0	0.0	0	0.0	0.0	0.0	2	2	2.0	0	1.0	1.0	2.0
SRR27343523	Streptococcus	32874	32874	769164.5406670478	482457.5406670455	286707.0	0	1.5942636933471859	336	336	292096.10864433687	118710.66715362309	108879.1729120328	173277.3289035342	29.38708881309805	336	313	31.2884985684	59.9779599123	1.0	1.0	31.2884985684
SRR27343532	Acinetobacter	22461	22461	1316637.8272281643	773190.8272281638	543447.0	0	1.702862709776602	376	376	552848.1198449983	180891.7633104495	228190.0504240485	311527.6596396144	42.104407177821685	376	349	23.8337870481	53.3908473831	1.0	1.0	23.8337870481
SRR27343566	Enterobacterales	153834	153834	3538853.8654203266	2924414.8654203187	614439.0	0	1.210106646380929	1146	1146	1613565.7450362141	1073836.6010069542	280157.859159452	1200224.4025337382	12.115359236252715	1146	724	44.4001866362	185.7667603801	1.0	1.0	44.4001866362
SRR27343601	Haemophilus	1051	1051	364228.8208251029	100146.8208251022	264082.0	0	3.6369484105860397	2	0	0.0	0	0.0	0.0	0.0	2	2	2.0	0	1.0	1.0	2.0
SRR27343719	Haemophilus	7456	7456	494519.8785653586	244317.8785653615	250202.0	0	2.0240838757654296	253	253	186886.5191177853	49736.5185788252	94555.1086681499	88860.8318535223	53.84880761008848	253	253	23.173947041	44.0267101776	1.0	1.0	23.173947041
SRR27343725	Staphylococcus	24149	24149	1033417.0245382374	686414.024538236	347003.0	0	1.5055301721631271	277	277	399198.41538967344	194241.2588769334	134043.7059253593	243936.3022733913	18.81377861201805	277	196	21.5320816833	26.8581199204	1.0	1.0	21.5320816833
SRR27343734	Streptococcus	14580	14580	632020.4385617202	323088.4385617159	308932.0	0	1.956184013811389	231	231	219325.2696307388	62876.5769469152	107206.3339466621	108591.183290369	62.17138992576119	231	231	16.6357768326	59.2056769058	1.0	1.0	16.6357768326
SRR27343738	Acinetobacter	20053	20053	838500.0426442215	490623.0426442224	347877.0	0	1.7090514911919155	334	334	309367.4644544761	103938.47703227239	128350.4113996731	173085.0201257689	39.00229200033697	334	329	26.1576941689	44.8986204051	1.0	1.0	26.1576941689
SRR27343742	Mycobacteria	388	388	316986.8050638517	169449.8050638517	147537.0	0	1.87068261863391	2	0	0.0	0	0.0	0.0	0.0	2	2	2.0	0	1.0	1.0	2.0
SRR27343835	Streptococcus	53221	53221	1773453.6451805723	757095.6451805703	1016358.0	0	2.342443331261788	770	770	719035.6275953329	180304.1966416144	412075.959457694	286849.0678203222	35.75406085596512	770	691	32.1437144832	212.7699987957	1.0	1.0	32.1437144832
SRR27343839	Streptococcus	20731	20731	643419.4953170929	410166.4953170966	233253.0	0	1.568678823509648	400	400	250969.74422521138	96794.4437112382	90981.7718857174	149678.8286759412	24.34438324033605	400	380	31.948422378	89.2329352156	1.0	1.0	31.948422378
SRR27343853	Acinetobacter	19612	19612	1521393.4953412593	1141273.495341253	380120.0	0	1.3330665274815112	356	356	649692.9409558452	124364.0265709173	162325.7109172409	479238.6590537266	79.92707970005141	356	348	26.5573897172	51.9661103574	1.0	1.0	26.5573897172
SRR27343867	Pseudomonas	20023	20023	529826.6000957566	270647.6000957538	259179.0	0	1.9576253397713523	326	326	213491.7224661057	53859.7470604817	104435.2456578095	105703.5362671836	63.67298192387962	326	326	26.0485076645	76.3646334537	1.0	1.0	26.0485076645
SRR27343868	Acinetobacter	15968	15968	587234.08594867	322287.0859486678	264947.0	0	1.8220838238681318	309	309	231878.1179118895	67870.69781222461	104618.2658269111	122198.4653547615	45.81315956900859	309	307	25.0846651007	54.950321679	1.0	1.0	25.0846651007
SRR27343993	Staphylococcus	18068	18068	808006.2356767672	323050.2356767681	484956.0	0	2.5011782888319267	194	194	285941.2274701913	50991.7128029518	171618.6185034659	109160.3551705112	55.39077285969351	194	192	19.585142286	19.2553393133	1.0	1.0	19.585142286
SRR27344035	Haemophilus	5356	5356	359433.1161500412	122584.1161500422	236849.0	0	2.932134500281425	177	177	131256.8930282563	22441.3634069703	86491.9298194884	42954.5628112523	72.50158208558683	177	177	30.1027821091	42.0048993278	1.0	1.0	30.1027821091
SRR27344040	Pseudomonas	10722	10722	327019.0514019986	157885.0514020015	169134.0	0	2.071247711535147	61	61	134531.7974443639	34870.6493112706	69579.741398564	64476.69111058	283.00740647210455	61	61	13.2278245115	17.3833623246	1.0	1.0	13.2278245115
SRR27344041	Haemophilus	834	834	384016.3852887602	122596.3852887601	261420.0	0	3.132363033251416	2	0	0.0	0	0.0	0.0	0.0	2	2	2.0	0	1.0	1.0	2.0
