run	SRR27343266	SRR27343272	SRR27343276	SRR27343296	SRR27343346	SRR27343475	SRR27343490	SRR27343494	SRR27343495	SRR27343518	SRR27343520	SRR27343522	SRR27343523	SRR27343532	SRR27343566	SRR27343601	SRR27343719	SRR27343725	SRR27343734	SRR27343738	SRR27343742	SRR27343835	SRR27343839	SRR27343853	SRR27343867	SRR27343868	SRR27343993	SRR27344035	SRR27344040	SRR27344041
SRR27343266	0	0.5427708034	0.5855589372	0.9913983058	0.4941384251	0.6310799243	0.4701858599	0.5375434677	0.3104580902	1	1	1	0.4871550981	0.2915557098	0.5383271877	1	0.5016577162	0.4820806718	0.5772501789	0.3402882494	1	0.4941208094	0.5142585419	0.3006989644	0.3372143423	0.2871203195	0.4801726531	0.5408637275	0.7962317551	1
SRR27343272	0.5427708034	0	0.7699893683	0.9922530682	0.1660653098	0.7951131576	0.475472861	0.0995513208	0.3731699829	1	1	1	0.4492867984	0.4655718999	0.1440885813	1	0.5315088711	0.4973849522	0.6329832465	0.4532600788	1	0.4583224202	0.5978545545	0.4545094943	0.5682338228	0.4655486755	0.5462977369	0.6589462459	0.9003706555	1
SRR27343276	0.5855589372	0.7699893683	0	0.9781446275	0.7724625899	0.5295206653	0.7826262052	0.7635219526	0.6088769026	1	1	1	0.7501107731	0.6698279576	0.778005767	1	0.7192252274	0.7733403273	0.6941412577	0.6939368777	1	0.755382559	0.6820286756	0.6620418343	0.4724759202	0.6634416629	0.7372304801	0.6957265459	0.6766993306	1
SRR27343296	0.9913983058	0.9922530682	0.9781446275	0	0.9922895364	1	0.9973878799	0.9898725837	0.9946755642	1	1	1	0.9920634386	0.995436606	0.9947397875	1	0.9927629497	1	0.9887373646	0.9886385008	1	0.993738731	0.9940632236	0.9973197913	0.9936564375	0.9948913266	1	0.9857269064	0.9653785333	1
SRR27343346	0.4941384251	0.1660653098	0.7724625899	0.9922895364	0	0.8022627524	0.4467251396	0.185359412	0.3254350237	1	1	1	0.4346196177	0.436201668	0.1332906741	1	0.5168088527	0.4699046554	0.6267986256	0.4611051778	1	0.4096472343	0.5745495271	0.4428720021	0.5312533229	0.4561266735	0.5245654154	0.6445420053	0.8727581017	1
SRR27343475	0.6310799243	0.7951131576	0.5295206653	1	0.8022627524	0	0.7418045845	0.7887565406	0.7012876684	1	1	1	0.7361663411	0.6632454893	0.8161313924	1	0.7184373635	0.7275687443	0.7107247673	0.6829891326	1	0.7542312661	0.6648387259	0.6494467408	0.6510795632	0.6556035392	0.7100369624	0.6965208123	0.7619794616	1
SRR27343490	0.4701858599	0.475472861	0.7826262052	0.9973878799	0.4467251396	0.7418045845	0	0.4818506852	0.4743675336	1	1	1	0.3422687586	0.439624251	0.504504822	1	0.4550731292	0.06580795912	0.448762432	0.4813831075	1	0.3047595909	0.4180229183	0.4441895816	0.5664347888	0.455753618	0.1597783398	0.5389503194	0.8862786371	1
SRR27343494	0.5375434677	0.0995513208	0.7635219526	0.9898725837	0.185359412	0.7887565406	0.4818506852	0	0.3786461225	1	1	1	0.4552491149	0.4644115297	0.1650882344	1	0.5326491577	0.5037540812	0.632880417	0.4573001499	1	0.4657484302	0.5974553345	0.455130641	0.5534192874	0.4679972476	0.5477560015	0.6645993889	0.8923845504	1
SRR27343495	0.3104580902	0.3731699829	0.6088769026	0.9946755642	0.3254350237	0.7012876684	0.4743675336	0.3786461225	0	1	1	1	0.4868701837	0.2857560072	0.3756599237	1	0.5668541228	0.4935264485	0.6410661097	0.3256154425	1	0.4839051197	0.565053949	0.2812544345	0.281654986	0.2936278354	0.5454862526	0.6350894499	0.8145993401	1
SRR27343518	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0
SRR27343520	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0
SRR27343522	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0
SRR27343523	0.4871550981	0.4492867984	0.7501107731	0.9920634386	0.4346196177	0.7361663411	0.3422687586	0.4552491149	0.4868701837	1	1	1	0	0.5041148417	0.4838487411	1	0.359863074	0.369953706	0.3162402258	0.5362258872	1	0.2382551508	0.2724763201	0.5067396312	0.5712216898	0.5133691315	0.3737877623	0.4762018991	0.8892686293	1
SRR27343532	0.2915557098	0.4655718999	0.6698279576	0.995436606	0.436201668	0.6632454893	0.439624251	0.4644115297	0.2857560072	1	1	1	0.5041148417	0	0.4623362593	1	0.5267648578	0.4481354356	0.5803885684	0.1481261599	1	0.5069362529	0.4995621394	0.08812190492	0.37200188	0.1028344857	0.4986745072	0.5722748173	0.8326803631	1
SRR27343566	0.5383271877	0.1440885813	0.778005767	0.9947397875	0.1332906741	0.8161313924	0.504504822	0.1650882344	0.3756599237	1	1	1	0.4838487411	0.4623362593	0	1	0.5627151167	0.5252482007	0.6520062429	0.4554833682	1	0.4651348355	0.6162136976	0.4631794361	0.5627345186	0.4706233345	0.5680455565	0.6835566502	0.8839447379	1
SRR27343601	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0
SRR27343719	0.5016577162	0.5315088711	0.7192252274	0.9927629497	0.5168088527	0.7184373635	0.4550731292	0.5326491577	0.5668541228	1	1	1	0.359863074	0.5267648578	0.5627151167	1	0	0.4537353689	0.4387922015	0.5816057451	1	0.3934141271	0.4456547745	0.5334250841	0.5841284841	0.5345107247	0.4690798703	0.2912099345	0.8272411964	1
SRR27343725	0.4820806718	0.4973849522	0.7733403273	1	0.4699046554	0.7275687443	0.06580795912	0.5037540812	0.4935264485	1	1	1	0.369953706	0.4481354356	0.5252482007	1	0.4537353689	0	0.4499488358	0.5090051533	1	0.309854335	0.4195194513	0.4532441993	0.567888545	0.4811225633	0.1549036049	0.5328056159	0.8709366957	1
