order	run	pathogen_group	average_linkage_cluster_k5
1	SRR27343742	Mycobacteria	4
2	SRR27344041	Haemophilus	4
3	SRR27343518	Mycobacteria	4
4	SRR27343520	Mycobacteria	4
5	SRR27343522	Mycobacteria	4
6	SRR27343601	Haemophilus	4
7	SRR27343296	Staphylococcus	3
8	SRR27344040	Pseudomonas	5
9	SRR27343276	Pseudomonas	2
10	SRR27343475	Candida	2
11	SRR27343719	Haemophilus	1
12	SRR27344035	Haemophilus	1
13	SRR27343993	Staphylococcus	1
14	SRR27343490	Staphylococcus	1
15	SRR27343725	Staphylococcus	1
16	SRR27343734	Streptococcus	1
17	SRR27343839	Streptococcus	1
18	SRR27343523	Streptococcus	1
19	SRR27343835	Streptococcus	1
20	SRR27343272	Enterobacterales	1
21	SRR27343494	Enterobacterales	1
22	SRR27343346	Enterobacterales	1
23	SRR27343566	Enterobacterales	1
24	SRR27343495	Pseudomonas	1
25	SRR27343867	Pseudomonas	1
26	SRR27343266	Stenotrophomonas	1
27	SRR27343738	Acinetobacter	1
28	SRR27343868	Acinetobacter	1
29	SRR27343532	Acinetobacter	1
30	SRR27343853	Acinetobacter	1
