pathogen_group	pathway	spearman_rho	permutation_p	BH_q_within_group	matched_species_features	species_features
Acinetobacter	HSERMETANA-PWY: L-methionine biosynthesis III	0.25084970578575444	0.175	0.3465346534653465	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	SO4ASSIM-PWY: assimilatory sulfate reduction I	-0.1404646295785159	0.505	0.5941176470588235	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	-0.17536173081225645	0.365	0.49333333333333335	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-6703: preQ0 biosynthesis	0.03700928046728095	0.845	0.8848167539267016	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	LIPASYN-PWY: phospholipases	0.4588624182319053	0.01	0.04878048780487805	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.017639937418984376	0.94	0.9494949494949495	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.017639937418984376	0.905	0.923469387755102	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY66-389: phytol degradation	0.5764549830203508	0.005	0.034482758620689655	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	VALSYN-PWY: L-valine biosynthesis	0.18859933047674834	0.37	0.49333333333333335	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	-0.3062455586740899	0.23	0.40350877192982454	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7663: gondoate biosynthesis (anaerobic)	0.36697987454004755	0.055	0.1506849315068493	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.35888388598069487	0.035	0.10606060606060608	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.38682510517207913	0.035	0.10606060606060608	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	-0.29772328124993147	0.06	0.16216216216216217	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.15177065245329466	0.43	0.5408805031446541	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-5989: stearate biosynthesis II (bacteria and plants)	0.37849814507044105	0.04	0.11940298507462686	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7118: chitin deacetylation	0.3571430405371775	0.07	0.17721518987341775	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	-0.20186345769492642	0.335	0.475177304964539	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7664: oleate biosynthesis IV (anaerobic)	0.3470459857067028	0.07	0.17721518987341775	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY0-862: (5Z)-dodecenoate biosynthesis I	0.2694576927242916	0.18	0.35294117647058826	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-1042: glycolysis IV	-0.23107469248293583	0.23	0.40350877192982454	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7851: coenzyme A biosynthesis II (eukaryotic)	-0.21171045563126428	0.315	0.4632352941176471	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.3577683127625227	0.055	0.1506849315068493	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.4100719884417994	0.015	0.0625	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-6608: guanosine nucleotides degradation III	0.3590064200698017	0.035	0.10606060606060608	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-6606: guanosine nucleotides degradation II	0.39459757378361826	0.03	0.1	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.09550784765367513	0.605	0.6759776536312849	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-6609: adenine and adenosine salvage III	-0.21171045563126428	0.29	0.4461538461538461	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY1ZNC-1: assimilatory sulfate reduction IV	-0.10775981339864509	0.605	0.6759776536312849	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.03078342020175705	0.9	0.9230769230769231	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	GLUTORN-PWY: L-ornithine biosynthesis I	0.5269674841251104	0.01	0.04878048780487805	3	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
