feature	kruskal_wallis_H	permutation_p	BH_q
HSERMETANA-PWY: L-methionine biosynthesis III	12.406451612903226	0.02	0.027972027972027972
SO4ASSIM-PWY: assimilatory sulfate reduction I	13.988709677419351	0.005	0.008849557522123894
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	15.737903225806448	0.005	0.008849557522123894
PWY-6703: preQ0 biosynthesis	16.599193548387092	0.01	0.016129032258064516
LIPASYN-PWY: phospholipases	19.322580645161295	0.005	0.008849557522123894
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	13.32096774193549	0.025	0.032679738562091505
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	13.32096774193549	0.045	0.05325443786982249
PWY66-389: phytol degradation	19.64677419354838	0.005	0.008849557522123894
VALSYN-PWY: L-valine biosynthesis	15.809677419354841	0.02	0.027972027972027972
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	15.654032258064518	0.005	0.008849557522123894
PWY-7663: gondoate biosynthesis (anaerobic)	19.05967741935484	0.005	0.008849557522123894
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	18.456451612903223	0.005	0.008849557522123894
FASYN-ELONG-PWY: fatty acid elongation -- saturated	19.167741935483875	0.005	0.008849557522123894
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	14.274193548387103	0.015	0.022900763358778626
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	11.08387096774193	0.095	0.10270270270270271
PWY-5989: stearate biosynthesis II (bacteria and plants)	20.354838709677423	0.005	0.008849557522123894
PWY-7118: chitin deacetylation	20.57741935483871	0.005	0.008849557522123894
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	6.983870967741936	0.26	0.26262626262626265
PWY-7664: oleate biosynthesis IV (anaerobic)	20.093548387096774	0.005	0.008849557522123894
PWY0-862: (5Z)-dodecenoate biosynthesis I	16.748387096774195	0.005	0.008849557522123894
PWY-1042: glycolysis IV	13.196774193548393	0.025	0.032679738562091505
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	7.1258064516129025	0.24	0.2436548223350254
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	20.132258064516122	0.005	0.008849557522123894
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	16.799193548387095	0.005	0.008849557522123894
PWY-6608: guanosine nucleotides degradation III	17.00887096774194	0.005	0.008849557522123894
PWY-6606: guanosine nucleotides degradation II	17.299193548387095	0.005	0.008849557522123894
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	11.990322580645156	0.115	0.12299465240641712
PWY-6609: adenine and adenosine salvage III	19.093548387096774	0.005	0.008849557522123894
PWY1ZNC-1: assimilatory sulfate reduction IV	16.75806451612904	0.005	0.008849557522123894
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	14.25	0.025	0.032679738562091505
GLUTORN-PWY: L-ornithine biosynthesis I	17.829032258064515	0.005	0.008849557522123894
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	13.6758064516129	0.04	0.04819277108433735
LACTOSECAT-PWY: lactose and galactose degradation I	13.893548387096772	0.005	0.008849557522123894
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	13.9258064516129	0.02	0.027972027972027972
PWY0-1296: purine ribonucleosides degradation	18.538709677419348	0.005	0.008849557522123894
PWY-7221: guanosine ribonucleotides de novo biosynthesis	18.10645161290323	0.005	0.008849557522123894
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	17.50887096774194	0.005	0.008849557522123894
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	11.880645161290317	0.07	0.07909604519774012
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	11.332258064516125	0.09	0.09836065573770492
PWY-5973: cis-vaccenate biosynthesis	22.35645161290323	0.005	0.008849557522123894
PWY-7199: pyrimidine deoxyribonucleosides salvage	17.624193548387098	0.005	0.008849557522123894
PWY-7858: (5Z)-dodecenoate biosynthesis II	11.877419354838707	0.005	0.008849557522123894
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	18.285483870967738	0.01	0.016129032258064516
PWY-7111: pyruvate fermentation to isobutanol (engineered)	10.380645161290317	0.175	0.18041237113402062
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	14.22338709677419	0.025	0.032679738562091505
ARO-PWY: chorismate biosynthesis I	16.064516129032256	0.005	0.008849557522123894
PWY-5103: L-isoleucine biosynthesis III	11.206451612903223	0.145	0.1518324607329843
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	13.418548387096777	0.03	0.038461538461538464
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	10.880645161290317	0.08	0.08888888888888889
PWY-5695: inosine 5'-phosphate degradation	11.00322580645161	0.075	0.08379888268156424
PANTO-PWY: phosphopantothenate biosynthesis I	15.204032258064515	0.005	0.008849557522123894
PWY-7238: sucrose biosynthesis II	17.15161290322581	0.005	0.008849557522123894
PWY-5659: GDP-mannose biosynthesis	17.629032258064512	0.005	0.008849557522123894
PWY-6902: chitin degradation II (Vibrio)	10.208064516129028	0.005	0.008849557522123894
PWY-6317: D-galactose degradation I (Leloir pathway)	16.912903225806446	0.005	0.008849557522123894
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	15.59516129032258	0.005	0.008849557522123894
PWY-7208: superpathway of pyrimidine nucleobases salvage	11.406451612903226	0.075	0.08379888268156424
PWY-3841: folate transformations II (plants)	17.882258064516122	0.005	0.008849557522123894
PWY-7356: thiamine diphosphate salvage IV (yeast)	14.869354838709683	0.005	0.008849557522123894
PWY-6124: inosine-5'-phosphate biosynthesis II	13.785483870967738	0.035	0.04402515723270441
PWY-5941: glycogen degradation II	17.94354838709677	0.005	0.008849557522123894
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	13.001612903225805	0.04	0.04819277108433735
PENTOSE-P-PWY: pentose phosphate pathway	10.53306451612903	0.055	0.06285714285714286
PWY0-1319: CDP-diacylglycerol biosynthesis II	15.664516129032265	0.02	0.027972027972027972
FAO-PWY: fatty acid &beta;-oxidation I (generic)	16.93790322580645	0.005	0.008849557522123894
PWY-5667: CDP-diacylglycerol biosynthesis I	13.782258064516128	0.02	0.027972027972027972
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	17.777419354838713	0.005	0.008849557522123894
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	17.99677419354839	0.005	0.008849557522123894
PWY-5100: pyruvate fermentation to acetate and lactate II	17.777419354838713	0.005	0.008849557522123894
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	14.62822580645161	0.01	0.016129032258064516
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	14.62822580645161	0.025	0.032679738562091505
TRNA-CHARGING-PWY: tRNA charging	16.706451612903223	0.005	0.008849557522123894
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	10.15806451612903	0.13	0.13756613756613756
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	14.84838709677419	0.005	0.008849557522123894
TRPSYN-PWY: L-tryptophan biosynthesis	14.884677419354844	0.005	0.008849557522123894
PWY0-1337: oleate &beta;-oxidation	12.659677419354836	0.005	0.008849557522123894
PWY-7094: fatty acid salvage	9.711290322580652	0.01	0.016129032258064516
PWY0-1477: ethanolamine utilization	18.84838709677419	0.005	0.008849557522123894
FERMENTATION-PWY: mixed acid fermentation	17.216129032258067	0.005	0.008849557522123894
PWY-5686: UMP biosynthesis I	16.969354838709677	0.01	0.016129032258064516
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	17.730645161290326	0.005	0.008849557522123894
CALVIN-PWY: Calvin-Benson-Bassham cycle	7.609677419354838	0.36	0.36180904522613067
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	18.325806451612905	0.005	0.008849557522123894
PWY-6527: stachyose degradation	13.054838709677426	0.005	0.008849557522123894
PWY-5913: partial TCA cycle (obligate autotrophs)	17.15483870967742	0.005	0.008849557522123894
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	17.91612903225807	0.005	0.008849557522123894
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	15.238709677419351	0.005	0.008849557522123894
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	17.24193548387096	0.005	0.008849557522123894
PWY-6151: S-adenosyl-L-methionine salvage I	17.869354838709683	0.005	0.008849557522123894
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	11.492741935483878	0.095	0.10270270270270271
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	14.556451612903231	0.005	0.008849557522123894
P221-PWY: octane oxidation	16.61612903225806	0.005	0.008849557522123894
GLYOXYLATE-BYPASS: glyoxylate cycle	20.10322580645162	0.005	0.008849557522123894
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	14.645161290322577	0.025	0.032679738562091505
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	12.816935483870964	0.02	0.027972027972027972
PPGPPMET-PWY: ppGpp metabolism	11.532258064516128	0.02	0.027972027972027972
FUCCAT-PWY: fucose degradation	9.441935483870964	0.015	0.022900763358778626
PWY-6936: seleno-amino acid biosynthesis (plants)	14.616129032258058	0.02	0.027972027972027972
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	14.645161290322577	0.035	0.04402515723270441
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	17.751612903225805	0.005	0.008849557522123894
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	14.905645161290323	0.015	0.022900763358778626
PWY-2941: L-lysine biosynthesis II	18.39677419354838	0.005	0.008849557522123894
HISTSYN-PWY: L-histidine biosynthesis	9.590322580645164	0.145	0.1518324607329843
THRESYN-PWY: superpathway of L-threonine biosynthesis	16.467741935483872	0.005	0.008849557522123894
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	15.34193548387097	0.015	0.022900763358778626
PWY-3001: superpathway of L-isoleucine biosynthesis I	10.343548387096774	0.085	0.09392265193370165
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	15.164516129032265	0.005	0.008849557522123894
PWY-6629: superpathway of L-tryptophan biosynthesis	19.532258064516128	0.005	0.008849557522123894
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	10.316129032258061	0.09	0.09836065573770492
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	15.802419354838705	0.005	0.008849557522123894
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	10.321774193548393	0.1	0.10752688172043011
HISDEG-PWY: L-histidine degradation I	13.836290322580652	0.015	0.022900763358778626
PWY-7977: L-methionine biosynthesis IV	11.812903225806451	0.045	0.05325443786982249
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	11.47016129032258	0.05	0.05813953488372093
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	14.65161290322581	0.005	0.008849557522123894
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	18.26774193548387	0.005	0.008849557522123894
PWY-7790: UMP biosynthesis II	18.831451612903223	0.005	0.008849557522123894
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	15.674193548387095	0.005	0.008849557522123894
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	8.932258064516134	0.055	0.06285714285714286
PWY-702: L-methionine biosynthesis II	12.725806451612897	0.02	0.027972027972027972
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	19.695161290322574	0.005	0.008849557522123894
PWY-5981: CDP-diacylglycerol biosynthesis III	15.09516129032258	0.005	0.008849557522123894
PWY-5097: L-lysine biosynthesis VI	9.579838709677418	0.175	0.18041237113402062
PWY-6123: inosine-5'-phosphate biosynthesis I	18.96370967741936	0.005	0.008849557522123894
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	9.59516129032258	0.01	0.016129032258064516
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	15.303225806451607	0.005	0.008849557522123894
PWY-6700: queuosine biosynthesis I (de novo)	12.792741935483875	0.04	0.04819277108433735
NONMEVIPP-PWY: methylerythritol phosphate pathway I	12.989516129032253	0.03	0.038461538461538464
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	15.802419354838705	0.005	0.008849557522123894
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	12.059677419354841	0.05	0.05813953488372093
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	9.774193548387103	0.005	0.008849557522123894
GLUCONEO-PWY: gluconeogenesis I	9.745161290322585	0.065	0.07386363636363637
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	15.373387096774195	0.005	0.008849557522123894
PWY0-1061: superpathway of L-alanine biosynthesis	10.190322580645159	0.01	0.016129032258064516
PWY-7791: UMP biosynthesis III	12.806451612903231	0.02	0.027972027972027972
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	16.40161290322581	0.005	0.008849557522123894
DAPLYSINESYN-PWY: L-lysine biosynthesis I	14.196774193548393	0.01	0.016129032258064516
PWY-6897: thiamine diphosphate salvage II	16.956451612903223	0.005	0.008849557522123894
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	13.538709677419348	0.01	0.016129032258064516
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	9.441935483870964	0.02	0.027972027972027972
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	10.545161290322582	0.005	0.008849557522123894
CITRULBIO-PWY: L-citrulline biosynthesis	9.711290322580652	0.005	0.008849557522123894
PWY-6628: superpathway of L-phenylalanine biosynthesis	6.798387096774192	0.205	0.20918367346938777
PWY-7269: mitochondrial NADPH production (yeast)	13.937096774193549	0.005	0.008849557522123894
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	10.087096774193554	0.04	0.04819277108433735
PWY-7234: inosine-5'-phosphate biosynthesis III	20.248387096774195	0.005	0.008849557522123894
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	11.116129032258058	0.005	0.008849557522123894
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	12.393548387096772	0.005	0.008849557522123894
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	11.958064516129028	0.005	0.008849557522123894
PWY-621: sucrose degradation III (sucrose invertase)	12.99677419354839	0.005	0.008849557522123894
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	9.40806451612903	0.035	0.04402515723270441
PWY-6823: molybdopterin biosynthesis	9.680645161290329	0.13	0.13756613756613756
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	13.054838709677426	0.005	0.008849557522123894
PWY-5918: superpathway of heme b biosynthesis from glutamate	15.606451612903228	0.005	0.008849557522123894
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	15.144354838709674	0.005	0.008849557522123894
PWY-8073: lipid IVA biosynthesis (P. putida)	15.144354838709674	0.01	0.016129032258064516
TCA: TCA cycle I (prokaryotic)	17.445161290322574	0.005	0.008849557522123894
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	17.445161290322574	0.005	0.008849557522123894
AST-PWY: L-arginine degradation II (AST pathway)	16.864516129032253	0.005	0.008849557522123894
PWY-5484: glycolysis II (from fructose 6-phosphate)	10.474193548387092	0.04	0.04819277108433735
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	9.912096774193543	0.045	0.05325443786982249
PWY-6630: superpathway of L-tyrosine biosynthesis	7.58387096774193	0.17	0.17708333333333334
P161-PWY: acetylene degradation (anaerobic)	13.83387096774193	0.005	0.008849557522123894
KETOGLUCONMET-PWY: ketogluconate metabolism	11.11854838709678	0.04	0.04819277108433735
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	8.051612903225802	0.195	0.2
