run	pathogen_group	PCoA1	PCoA2
SRR27343266	Stenotrophomonas	-0.23210464030692038	0.07414738526254547
SRR27343272	Enterobacterales	-0.22149179675642347	-0.19883111422751867
SRR27343276	Pseudomonas	-0.07236799558001276	0.43645384161822703
SRR27343296	Staphylococcus	0.22456585372642063	0.3436631930950667
SRR27343346	Enterobacterales	-0.2302673864002116	-0.1910065651901857
SRR27343475	Candida	-0.06636629280275734	0.3795647273610663
SRR27343490	Staphylococcus	-0.23978679620247856	-0.15077422235736138
SRR27343494	Enterobacterales	-0.22045035801769475	-0.1860550242810065
SRR27343495	Pseudomonas	-0.23952644718502186	-0.016483324358838588
SRR27343518	Mycobacteria	0.7207301996512026	-0.0768041494375116
SRR27343520	Mycobacteria	0.7207301996512028	-0.07680414943751164
SRR27343522	Mycobacteria	0.7207301996512026	-0.0768041494375116
SRR27343523	Streptococcus	-0.23690874628086542	-0.13233276300162256
SRR27343532	Acinetobacter	-0.24523148125918265	-0.009652115791005401
SRR27343566	Enterobacterales	-0.21473890511403418	-0.19327509619553632
SRR27343601	Haemophilus	0.7207301996512024	-0.07680414943751158
SRR27343719	Haemophilus	-0.20949216694053097	-0.0269119299173147
SRR27343725	Staphylococcus	-0.23448611804628836	-0.1278482251719394
SRR27343734	Streptococcus	-0.18723429458316787	0.0015718895664047481
SRR27343738	Acinetobacter	-0.22835935170094449	-0.025097334876754113
SRR27343742	Mycobacteria	0.7207301996512028	-0.07680414943751164
SRR27343835	Streptococcus	-0.23780527182633676	-0.13780789333097254
SRR27343839	Streptococcus	-0.213703905699324	-0.010264230714357293
SRR27343853	Acinetobacter	-0.2454072094490761	-0.013668471745127354
SRR27343867	Pseudomonas	-0.20191482065526667	0.1516729398742098
SRR27343868	Acinetobacter	-0.2402772987017889	-0.004239943267278236
SRR27343993	Staphylococcus	-0.2210599539338516	-0.08066259578257075
SRR27344035	Haemophilus	-0.17081918152595363	0.07869523127115731
SRR27344040	Pseudomonas	0.06085336733449948	0.4999665387857813
SRR27344041	Haemophilus	0.7207301996512026	-0.0768041494375116
