batch	job_id	run	status	total_reads	classified_reads	unclassified_reads	classified_pct	kraken_species_count	bracken_species_count	top_species	top_species_fraction	error
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343287	done	161236	3953	157283	2.4517	43	13	Arabidopsis thaliana	0.37426	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343328	done	119816	1398	118418	1.1668	29	3	Homo sapiens	0.61887	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343528	done	153344	3522	149822	2.2968	31	4	Toxoplasma gondii	0.44269	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343727	done	141040	3154	137886	2.2362	18	4	Homo sapiens	0.39514	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343780	done	112815	1551	111264	1.3748	31	5	Homo sapiens	0.47984	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343819	done	159401	2293	157108	1.4385	31	3	Homo sapiens	0.52987	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343859	done	152864	3622	149242	2.3694	18	4	Pseudomonas aeruginosa	0.55608	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27343937	done	142230	2769	139461	1.9468	19	6	Pseudomonas aeruginosa	0.47016	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27344010	done	162595	2368	160227	1.4564	21	6	Toxoplasma gondii	0.55993	
20260723T022506Z-prjna1056765-travel-batch-001	20260723T022506Z-prjna1056765-travel-batch-001	SRR27344039	done	114054	2652	111402	2.3252	28	6	Pseudomonas aeruginosa	0.78654	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343292	done	151278	1905	149373	1.2593	28	4	Toxoplasma gondii	0.51063	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343320	done	142422	1985	140437	1.3937	13	3	Homo sapiens	0.53455	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343357	done	167679	3013	164666	1.7969	31	7	Toxoplasma gondii	0.512	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343483	done	155546	1735	153811	1.1154	15	3	Homo sapiens	0.60118	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343762	done	152787	1769	151018	1.1578	41	5	Arabidopsis thaliana	0.39502	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343786	done	164091	1880	162211	1.1457	16	2	Homo sapiens	0.54511	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343811	done	150061	3078	146983	2.0512	37	5	Toxoplasma gondii	0.42284	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343869	done	137865	1595	136270	1.1569	12	3	Homo sapiens	0.66946	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27343923	done	147240	2673	144567	1.8154	16	5	Toxoplasma gondii	0.60313	
20260723T022506Z-prjna1056765-travel-batch-002	20260723T022506Z-prjna1056765-travel-batch-002	SRR27344043	done	153364	1912	151452	1.2467	15	3	Homo sapiens	0.5683	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343285	done	204833	5549	199284	2.709	53	4	Arabidopsis thaliana	0.6233	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343295	done	190032	2538	187494	1.3356	19	5	Toxoplasma gondii	0.38856	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343697	done	205115	2207	202908	1.076	22	3	Homo sapiens	0.44954	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343701	done	194850	5041	189809	2.5871	70	9	Arabidopsis thaliana	0.53949	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343702	done	214016	4131	209885	1.9302	87	14	Toxoplasma gondii	0.40895	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343703	done	176698	3810	172888	2.1562	46	10	Toxoplasma gondii	0.32707	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343759	done	198837	3734	195103	1.8779	65	6	Arabidopsis thaliana	0.36671	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343767	done	157678	2931	154747	1.8589	26	3	Homo sapiens	0.45598	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27343773	done	177936	2579	175357	1.4494	116	11	Homo sapiens	0.48705	
20260723T022506Z-prjna1056765-travel-batch-003	20260723T022506Z-prjna1056765-travel-batch-003	SRR27344048	done	197379	4235	193144	2.1456	19	5	Homo sapiens	0.37007	
