batch	job_id	run	status	total_reads	classified_reads	unclassified_reads	classified_pct	kraken_species_count	bracken_species_count	top_species	top_species_fraction	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	second_stage_priority	second_stage_reason	error
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343287	done	161236	3953	157283	2.4517	43	13	Arabidopsis thaliana	0.37426	Streptococcus sanguinis	0.02857	111.0	Streptococcus sanguinis;Veillonella parvula;Rothia mucilaginosa;Prevotella melaninogenica;Haemophilus parainfluenzae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343292	done	151278	1905	149373	1.2593	28	4	Toxoplasma gondii	0.51063	Acinetobacter nosocomialis	0.03542	65.0	Acinetobacter nosocomialis;Stenotrophomonas maltophilia	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343320	done	142422	1985	140437	1.3937	13	3	Homo sapiens	0.53455							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343328	done	119816	1398	118418	1.1668	29	3	Homo sapiens	0.61887							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343357	done	167679	3013	164666	1.7969	31	7	Toxoplasma gondii	0.512	Burkholderia cenocepacia	0.0588	174.0	Burkholderia cenocepacia;Stenotrophomonas maltophilia	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343483	done	155546	1735	153811	1.1154	15	3	Homo sapiens	0.60118							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343528	done	153344	3522	149822	2.2968	31	4	Toxoplasma gondii	0.44269							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343727	done	141040	3154	137886	2.2362	18	4	Homo sapiens	0.39514	Klebsiella pneumoniae	0.20652	646.0	Klebsiella pneumoniae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343762	done	152787	1769	151018	1.1578	41	5	Arabidopsis thaliana	0.39502	Rothia mucilaginosa	0.02124	35.0	Rothia mucilaginosa;Prevotella melaninogenica	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343767	done	157678	2931	154747	1.8589	26	3	Homo sapiens	0.45598							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343773	done	177936	2579	175357	1.4494	116	11	Homo sapiens	0.48705	Prevotella melaninogenica	0.06964	156.0	Prevotella melaninogenica;Streptococcus oralis;Rothia mucilaginosa;Prevotella nigrescens;Prevotella veroralis	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343780	done	112815	1551	111264	1.3748	31	5	Homo sapiens	0.47984	Klebsiella pneumoniae	0.26815	399.0	Klebsiella pneumoniae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343786	done	164091	1880	162211	1.1457	16	2	Homo sapiens	0.54511							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343811	done	150061	3078	146983	2.0512	37	5	Toxoplasma gondii	0.42284	Prevotella melaninogenica	0.01122	33.0	Prevotella melaninogenica;Prevotella jejuni	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343819	done	159401	2293	157108	1.4385	31	3	Homo sapiens	0.52987							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343859	done	152864	3622	149242	2.3694	18	4	Pseudomonas aeruginosa	0.55608	Pseudomonas aeruginosa	0.55608	1998.0	Pseudomonas aeruginosa	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343869	done	137865	1595	136270	1.1569	12	3	Homo sapiens	0.66946							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343923	done	147240	2673	144567	1.8154	16	5	Toxoplasma gondii	0.60313							
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27343937	done	142230	2769	139461	1.9468	19	6	Pseudomonas aeruginosa	0.47016	Pseudomonas aeruginosa	0.47016	1292.0	Pseudomonas aeruginosa;Mycobacteroides abscessus	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-001	20260724T170118Z-prjna1056765-production-descriptive-batch-001	SRR27344039	done	114054	2652	111402	2.3252	28	6	Pseudomonas aeruginosa	0.78654	Pseudomonas aeruginosa	0.78654	2045.0	Pseudomonas aeruginosa	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343271	done	221572	5076	216496	2.2909	82	17	Homo sapiens	0.25812	Rothia mucilaginosa	0.20218	983.0	Rothia mucilaginosa;Streptococcus sp. LPB0220;Haemophilus parainfluenzae;Streptococcus parasanguinis;Streptococcus sp. HSISM1	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343279	done	174604	3112	171492	1.7823	22	3	Arabidopsis thaliana	0.51831							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343282	done	176525	3147	173378	1.7828	45	4	Homo sapiens	0.35129							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343285	done	204833	5549	199284	2.709	53	4	Arabidopsis thaliana	0.6233	Prevotella melaninogenica	0.00737	40.0	Prevotella melaninogenica	2	moderate_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343295	done	190032	2538	187494	1.3356	19	5	Toxoplasma gondii	0.38856	Staphylococcus aureus	0.00914	23.0	Staphylococcus aureus	2	moderate_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343309	done	207371	3540	203831	1.7071	28	5	Homo sapiens	0.43991	Acinetobacter nosocomialis	0.01274	44.0	Acinetobacter nosocomialis	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343318	done	191023	2693	188330	1.4098	16	3	Homo sapiens	0.46326							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343423	done	211573	2637	208936	1.2464	42	10	Homo sapiens	0.42924	Prevotella intermedia	0.0175	45.0	Prevotella intermedia	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343473	done	182861	2165	180696	1.184	22	5	Homo sapiens	0.50375	Prevotella intermedia	0.0403	86.0	Prevotella intermedia;Prevotella melaninogenica	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343482	done	199145	4253	194892	2.1356	82	18	Homo sapiens	0.32023	Prevotella melaninogenica	0.03932	160.0	Prevotella melaninogenica;Streptococcus mitis;Haemophilus parainfluenzae;Prevotella histicola;Streptococcus sp. LPB0220	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343487	done	189259	3584	185675	1.8937	37	3	Arabidopsis thaliana	0.42746							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343507	done	178503	1991	176512	1.1154	9	3	Toxoplasma gondii	0.59541							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343511	done	217951	3546	214405	1.627	93	6	Homo sapiens	0.4005	Prevotella nigrescens	0.02347	75.0	Prevotella nigrescens;Prevotella melaninogenica	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343529	done	195103	4019	191084	2.0599	16	3	Arabidopsis thaliana	0.41209							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343588	done	178480	3151	175329	1.7655	21	3	Toxoplasma gondii	0.53436							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343697	done	205115	2207	202908	1.076	22	3	Homo sapiens	0.44954							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343701	done	194850	5041	189809	2.5871	70	9	Arabidopsis thaliana	0.53949	Streptococcus pseudopneumoniae	0.02913	142.0	Streptococcus pseudopneumoniae;Prevotella melaninogenica;Prevotella intermedia;Prevotella jejuni;Prevotella sp. oral taxon 299	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27343702	done	214016	4131	209885	1.9302	87	14	Toxoplasma gondii	0.40895	Prevotella jejuni	0.03086	120.0	Prevotella jejuni;Streptococcus mitis;Veillonella parvula;Streptococcus sp. oral taxon 061;Streptococcus sp. Marseille-Q6470	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27344010	done	162595	2368	160227	1.4564	21	6	Toxoplasma gondii	0.55993							
20260724T170118Z-prjna1056765-production-descriptive-batch-002	20260724T170118Z-prjna1056765-production-descriptive-batch-002	SRR27344043	done	153364	1912	151452	1.2467	15	3	Homo sapiens	0.5683							
