run	pathogen_group	observed_species	shannon	simpson
SRR27343266	Stenotrophomonas	10	0.411637671767195	0.16233237830099956
SRR27343272	Enterobacterales	16	0.32244214644895147	0.1303356653744807
SRR27343276	Pseudomonas	5	0.3819090010823475	0.15794337729602548
SRR27343296	Staphylococcus	8	1.3178306767662245	0.6705068248962718
SRR27343346	Enterobacterales	71	2.0002347980337736	0.7176139524764324
SRR27343475	Candida	5	0.6864163620407568	0.3578370954149488
SRR27343490	Staphylococcus	79	0.35993381253802953	0.09711110506807064
SRR27343494	Enterobacterales	15	1.2200091338096126	0.5527148638408395
SRR27343495	Pseudomonas	124	0.49850123829997733	0.1632093433598092
SRR27343518	Mycobacteria	10	1.5319619928206245	0.7562443270187501
SRR27343520	Mycobacteria	17	1.7724780867894794	0.7642654623838764
SRR27343522	Mycobacteria	6	1.4262965073949867	0.7487219841872331
SRR27343523	Streptococcus	6	1.1925362425176007	0.5845870371315287
SRR27343532	Acinetobacter	5	0.5145433918771434	0.24175652237376144
SRR27343566	Enterobacterales	11	0.39899362659367116	0.152262329402728
SRR27343601	Haemophilus	4	1.133179619490302	0.6584368503198377
SRR27343719	Haemophilus	6	1.1107994082799726	0.6057440108011104
SRR27343725	Staphylococcus	5	0.34200542561021946	0.14839707440000005
SRR27343734	Streptococcus	22	2.1211282895569434	0.8448752404811263
SRR27343738	Acinetobacter	8	1.080568654371293	0.5026255765555323
SRR27343742	Mycobacteria	5	1.293746366468041	0.6932480713593414
SRR27343835	Streptococcus	102	3.3630545918449513	0.933523004504446
SRR27343839	Streptococcus	32	2.1892819993842307	0.8163420719154577
SRR27343853	Acinetobacter	5	0.7253873444863952	0.38442468528932827
SRR27343867	Pseudomonas	10	0.5033966509824287	0.22223754216225455
SRR27343868	Acinetobacter	6	0.6655109883589336	0.3202743973973088
SRR27343993	Staphylococcus	74	2.276986613269239	0.7467589388178935
SRR27344035	Haemophilus	5	0.9130482975054995	0.47819291867680813
SRR27344040	Pseudomonas	6	0.485348003149017	0.22328410747771033
SRR27344041	Haemophilus	5	1.183499834441138	0.6709085462906534
