run	pathogen_group	status	raw_reads	filtered_reads	raw_q30_rate	filtered_q30_rate	filtered_gc_content	host_alignment_rate_pct	bowtie2_input_reads	amr_status	amr_records
SRR27343490	Staphylococcus	done	4985677	4985466	0.95972	0.959937	0.354283	1.22	4985466	done_short_read_subset	0
SRR27343272	Enterobacterales	done	1966006	1965954	0.922882	0.922994	0.543017	0.9	1965954	done_short_read_subset	0
SRR27343566	Enterobacterales	done	1844926	1844577	0.923236	0.923559	0.502003	4.59	1844577	done_short_read_subset	0
SRR27343725	Staphylococcus	done	714512	714267	0.838386	0.838359	0.361213	8.83	714267	done_short_read_subset	0
SRR27343495	Pseudomonas	done	5878104	5877759	0.943446	0.943544	0.615056	0.83	5877759	done_short_read_subset	0
SRR27343276	Pseudomonas	done	329376	329259	0.868783	0.868751	0.543528	9.82	329259	done_short_read_subset	0
SRR27343266	Stenotrophomonas	done	1185032	1184661	0.910136	0.909728	0.557486	6.39	1184661	done_short_read_subset	0
SRR27344040	Pseudomonas	done	268773	268649	0.888533	0.888047	0.516993	15.42	268649	done_short_read_subset	0
SRR27343867	Pseudomonas	done	450392	450208	0.842402	0.841396	0.506018	13.63	450208	done_short_read_subset	0
SRR27343532	Acinetobacter	done	1081041	1080435	0.880176	0.879249	0.40177	18.45	1080435	done_short_read_subset	0
SRR27343868	Acinetobacter	done	455408	455238	0.843044	0.842588	0.402627	12.11	455238	done_short_read_subset	0
SRR27343475	Candida	done	755148	755062	0.934409	0.93476	0.379937	5.01	755062	done_short_read_subset	0
SRR27343853	Acinetobacter	done	904111	903949	0.940683	0.941442	0.380368	18.48	903949	done_short_read_subset	0
SRR27343738	Acinetobacter	done	656518	656391	0.933153	0.933402	0.440058	14.72	656391	done_short_read_subset	0
SRR27344035	Haemophilus	done	335884	335676	0.78003	0.778004	0.400846	16.62	335676	done_short_read_subset	0
SRR27343494	Enterobacterales	done	998992	998685	0.904529	0.904928	0.447571	6.61	998685	done_short_read_subset	0
SRR27343523	Streptococcus	done	516671	516495	0.873598	0.873611	0.394232	11.34	516495	done_short_read_subset	0
SRR27343719	Haemophilus	done	403293	403055	0.840496	0.839671	0.401388	18.48	403055	done_short_read_subset	0
SRR27343346	Enterobacterales	done	2545835	2545598	0.921964	0.922127	0.479813	3.01	2545598	done_short_read_subset	0
SRR27343993	Staphylococcus	done	664745	664610	0.898608	0.898716	0.411405	8.06	664610	done_short_read_subset	0
SRR27343296	Staphylococcus	done	368961	368772	0.852018	0.84892	0.403298	20.26	368772	done_short_read_subset	0
SRR27343601	Haemophilus	done	357014	356710	0.762897	0.759214	0.408473	20.49	356710	done_short_read_subset	0
SRR27344041	Haemophilus	done	335357	335184	0.762919	0.759539	0.40974	15.04	335184	done_short_read_subset	0
SRR27343839	Streptococcus	done	469700	469632	0.925485	0.925704	0.431692	7.86	469632	done_short_read_subset	0
SRR27343734	Streptococcus	done	508725	508414	0.873242	0.872024	0.401739	16.41	508414	done_short_read_subset	0
SRR27343742	Mycobacteria	done	263953	263806	0.88695	0.884692	0.437988	32.37	263806	done_short_read_subset	0
SRR27343518	Mycobacteria	done	631832	631532	0.855432	0.853655	0.435729	15.21	631532	done_short_read_subset	0
SRR27343522	Mycobacteria	done	276255	276078	0.894695	0.893312	0.417096	21.47	276078	done_short_read_subset	0
SRR27343520	Mycobacteria	done	299746	299546	0.899298	0.89763	0.393388	22.43	299546	done_short_read_subset	0
SRR27343835	Streptococcus	done	1486054	1485901	0.910247	0.91044	0.429033	4.97	1485901	done_short_read_subset	0
