contrast	taxon	prevalence	mean_group	mean_other	mean_delta_group_minus_other	median_group	median_other	p_value	q_value
Pseudomonas_vs_other	Pseudomonas aeruginosa	4	0.89613	0.0	0.89613	0.895685	0.0	0.0015115225782467157	0.2602841879740844
Acinetobacter_vs_other	Acinetobacter baumannii	4	0.78294	0.0	0.78294	0.78979	0.0	0.0015115225782467157	0.2602841879740844
Haemophilus_vs_other	Haemophilus influenzae	7	0.5217575	0.006629615384615385	0.5151278846153846	0.48924999999999996	0.0	0.0015115225782467157	0.2602841879740844
Streptococcus_vs_other	Streptococcus pneumoniae	9	0.25882	0.0010576923076923077	0.2577623076923077	0.187905	0.0	0.0015115225782467157	0.2602841879740844
Mycobacteria_vs_other	Mycobacterium tuberculosis	4	0.2217075	0.0	0.2217075	0.230595	0.0	0.0015115225782467157	0.2602841879740844
Mycobacteria_vs_other	Homo sapiens	30	0.3298	0.08041615384615385	0.24938384615384612	0.31773	0.060885	0.0022850299882630765	0.32790180331575147
Mycobacteria_vs_other	Toxoplasma gondii	30	0.27159500000000003	0.072245	0.19935000000000003	0.25815	0.035265000000000005	0.007266206057368496	0.7820254269242843
Enterobacterales_vs_other	Homo sapiens	30	0.0115725	0.12937423076923077	-0.11780173076923077	0.01319	0.079955	0.007266206057368496	0.7820254269242843
Enterobacterales_vs_other	Toxoplasma gondii	30	0.0079	0.11281346153846153	-0.10491346153846152	0.00672	0.046005000000000004	0.008706155452434139	0.8328888716161993
Staphylococcus_vs_other	Staphylococcus aureus	3	0.58392	0.0	0.58392	0.692835	0.0	0.017343359162423688	0.8414068159271376
Enterobacterales_vs_other	Klebsiella pneumoniae	4	0.393025	0.003608846153846154	0.38941615384615386	0.32055	0.0	0.022147231652192012	0.8414068159271376
Enterobacterales_vs_other	Escherichia coli	3	0.3544875	0.0	0.3544875	0.24911	0.0	0.017343359162423688	0.8414068159271376
Haemophilus_vs_other	Toxoplasma gondii	30	0.2417225	0.07684076923076923	0.1648817307692308	0.255765	0.035265000000000005	0.010395951741402065	0.8414068159271376
Streptococcus_vs_other	Streptococcus mitis	7	0.15502500000000002	0.0011807692307692307	0.1538442307692308	0.13178	0.0	0.02398753446442692	0.8414068159271376
Acinetobacter_vs_other	Pseudomonas aeruginosa	4	0.0	0.13786615384615383	-0.13786615384615383	0.0	0.0	0.6254994799810465	0.8414068159271376
Enterobacterales_vs_other	Pseudomonas aeruginosa	4	0.0	0.13786615384615383	-0.13786615384615383	0.0	0.0	0.6254994799810465	0.8414068159271376
Haemophilus_vs_other	Pseudomonas aeruginosa	4	0.0	0.13786615384615383	-0.13786615384615383	0.0	0.0	0.6254994799810465	0.8414068159271376
Mycobacteria_vs_other	Pseudomonas aeruginosa	4	0.0	0.13786615384615383	-0.13786615384615383	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Pseudomonas aeruginosa	4	0.0	0.13786615384615383	-0.13786615384615383	0.0	0.0	0.6254994799810465	0.8414068159271376
Streptococcus_vs_other	Pseudomonas aeruginosa	4	0.0	0.13786615384615383	-0.13786615384615383	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Staphylococcus haemolyticus	3	0.1210575	2.6923076923076923e-05	0.12103057692307692	0.0	0.0	0.541802935032798	0.8414068159271376
Enterobacterales_vs_other	Acinetobacter baumannii	4	0.0	0.12045230769230769	-0.12045230769230769	0.0	0.0	0.6254994799810465	0.8414068159271376
Haemophilus_vs_other	Acinetobacter baumannii	4	0.0	0.12045230769230769	-0.12045230769230769	0.0	0.0	0.6254994799810465	0.8414068159271376
Mycobacteria_vs_other	Acinetobacter baumannii	4	0.0	0.12045230769230769	-0.12045230769230769	0.0	0.0	0.6254994799810465	0.8414068159271376
Pseudomonas_vs_other	Acinetobacter baumannii	4	0.0	0.12045230769230769	-0.12045230769230769	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Acinetobacter baumannii	4	0.0	0.12045230769230769	-0.12045230769230769	0.0	0.0	0.6254994799810465	0.8414068159271376
Streptococcus_vs_other	Acinetobacter baumannii	4	0.0	0.12045230769230769	-0.12045230769230769	0.0	0.0	0.6254994799810465	0.8414068159271376
Haemophilus_vs_other	Homo sapiens	30	0.207045	0.09930153846153847	0.10774346153846154	0.19247	0.060885	0.038051255608397616	0.8414068159271376
Acinetobacter_vs_other	Staphylococcus aureus	3	0.0	0.08983384615384615	-0.08983384615384615	0.0	0.0	0.7143252846662898	0.8414068159271376
Enterobacterales_vs_other	Staphylococcus aureus	3	0.0	0.08983384615384615	-0.08983384615384615	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Staphylococcus aureus	3	0.0	0.08983384615384615	-0.08983384615384615	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Staphylococcus aureus	3	0.0	0.08983384615384615	-0.08983384615384615	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Staphylococcus aureus	3	0.0	0.08983384615384615	-0.08983384615384615	0.0	0.0	0.7143252846662898	0.8414068159271376
Streptococcus_vs_other	Staphylococcus aureus	3	0.0	0.08983384615384615	-0.08983384615384615	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Arabidopsis thaliana	29	0.124995	0.03522769230769231	0.08976730769230769	0.12398999999999999	0.00963	0.014672814540318324	0.8414068159271376
Acinetobacter_vs_other	Haemophilus influenzae	7	0.0	0.08689999999999999	-0.08689999999999999	0.0	0.0	0.3930360510185342	0.8414068159271376
Enterobacterales_vs_other	Haemophilus influenzae	7	0.0	0.08689999999999999	-0.08689999999999999	0.0	0.0	0.3930360510185342	0.8414068159271376
Mycobacteria_vs_other	Haemophilus influenzae	7	0.0	0.08689999999999999	-0.08689999999999999	0.0	0.0	0.3930360510185342	0.8414068159271376
Staphylococcus_vs_other	Haemophilus influenzae	7	0.0	0.08689999999999999	-0.08689999999999999	0.0	0.0	0.3930360510185342	0.8414068159271376
Pseudomonas_vs_other	Toxoplasma gondii	30	0.024820000000000002	0.11021038461538463	-0.08539038461538462	0.02554	0.044109999999999996	0.17953260630452128	0.8414068159271376
Pseudomonas_vs_other	Homo sapiens	30	0.045657500000000004	0.12413038461538463	-0.07847288461538462	0.052465000000000005	0.07381	0.2996654484343022	0.8414068159271376
Haemophilus_vs_other	Klebsiella pneumoniae	4	0.0	0.06407423076923077	-0.06407423076923077	0.0	0.0	0.6254994799810465	0.8414068159271376
Mycobacteria_vs_other	Klebsiella pneumoniae	4	0.0	0.06407423076923077	-0.06407423076923077	0.0	0.0	0.6254994799810465	0.8414068159271376
Pseudomonas_vs_other	Klebsiella pneumoniae	4	0.0	0.06407423076923077	-0.06407423076923077	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Klebsiella pneumoniae	4	0.0	0.06407423076923077	-0.06407423076923077	0.0	0.0	0.6254994799810465	0.8414068159271376
Streptococcus_vs_other	Klebsiella pneumoniae	4	0.0	0.06407423076923077	-0.06407423076923077	0.0	0.0	0.6254994799810465	0.8414068159271376
Acinetobacter_vs_other	Escherichia coli	3	0.0	0.05453653846153846	-0.05453653846153846	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Escherichia coli	3	0.0	0.05453653846153846	-0.05453653846153846	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Escherichia coli	3	0.0	0.05453653846153846	-0.05453653846153846	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Escherichia coli	3	0.0	0.05453653846153846	-0.05453653846153846	0.0	0.0	0.7143252846662898	0.8414068159271376
Staphylococcus_vs_other	Escherichia coli	3	0.0	0.05453653846153846	-0.05453653846153846	0.0	0.0	0.7143252846662898	0.8414068159271376
Streptococcus_vs_other	Escherichia coli	3	0.0	0.05453653846153846	-0.05453653846153846	0.0	0.0	0.7143252846662898	0.8414068159271376
Enterobacterales_vs_other	Arabidopsis thaliana	29	0.0027775	0.05403038461538461	-0.05125288461538461	0.00113	0.01955	0.020430973446714962	0.8414068159271376
Streptococcus_vs_other	Rothia mucilaginosa	10	0.0529	0.0025053846153846155	0.050394615384615385	0.033345	0.0	0.040973533040768784	0.8414068159271376
Streptococcus_vs_other	Homo sapiens	30	0.07219500000000001	0.1200476923076923	-0.04785269230769229	0.060885	0.070015	0.7603323075218762	0.8414068159271376
Staphylococcus_vs_other	Homo sapiens	30	0.074405	0.1197076923076923	-0.04530269230769231	0.042069999999999996	0.070015	0.3289940006118681	0.8414068159271376
Haemophilus_vs_other	Streptococcus pneumoniae	9	0.0	0.04087615384615385	-0.04087615384615385	0.0	0.0	0.2721346393759747	0.8414068159271376
Mycobacteria_vs_other	Streptococcus pneumoniae	9	0.0	0.04087615384615385	-0.04087615384615385	0.0	0.0	0.2721346393759747	0.8414068159271376
Enterobacterales_vs_other	Streptococcus pneumoniae	9	4.5e-05	0.04086923076923077	-0.040824230769230765	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Streptococcus pneumoniae	9	0.0002975	0.040830384615384616	-0.040532884615384616	0.0	0.0	0.7603323075218762	0.8414068159271376
Staphylococcus_vs_other	Streptococcus pneumoniae	9	0.0015674999999999999	0.040635000000000004	-0.039067500000000005	3.5e-05	0.0	0.6693340144640527	0.8414068159271376
Pseudomonas_vs_other	Arabidopsis thaliana	29	0.014205	0.052272307692307694	-0.03806730769230769	0.00245	0.01418	0.12720368763109935	0.8414068159271376
Streptococcus_vs_other	Haemophilus influenzae	7	0.0430425	0.08027807692307692	-0.03723557692307693	0.000845	0.0	0.4277105102974641	0.8414068159271376
Acinetobacter_vs_other	Klebsiella pneumoniae	4	0.0234575	0.060465384615384615	-0.037007884615384616	0.0	0.0	0.6916935994652547	0.8414068159271376
Haemophilus_vs_other	Stenotrophomonas maltophilia	3	0.0	0.035611538461538465	-0.035611538461538465	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Stenotrophomonas maltophilia	3	0.0	0.035611538461538465	-0.035611538461538465	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Stenotrophomonas maltophilia	3	0.0	0.035611538461538465	-0.035611538461538465	0.0	0.0	0.7143252846662898	0.8414068159271376
Staphylococcus_vs_other	Stenotrophomonas maltophilia	3	0.0	0.035611538461538465	-0.035611538461538465	0.0	0.0	0.7143252846662898	0.8414068159271376
Streptococcus_vs_other	Stenotrophomonas maltophilia	3	0.0	0.035611538461538465	-0.035611538461538465	0.0	0.0	0.7143252846662898	0.8414068159271376
Acinetobacter_vs_other	Stenotrophomonas maltophilia	3	0.0012425	0.03542038461538462	-0.03417788461538462	0.0	0.0	0.6254994799810465	0.8414068159271376
Acinetobacter_vs_other	Mycobacterium tuberculosis	4	0.0	0.034108846153846156	-0.034108846153846156	0.0	0.0	0.6254994799810465	0.8414068159271376
Enterobacterales_vs_other	Mycobacterium tuberculosis	4	0.0	0.034108846153846156	-0.034108846153846156	0.0	0.0	0.6254994799810465	0.8414068159271376
Haemophilus_vs_other	Mycobacterium tuberculosis	4	0.0	0.034108846153846156	-0.034108846153846156	0.0	0.0	0.6254994799810465	0.8414068159271376
Pseudomonas_vs_other	Mycobacterium tuberculosis	4	0.0	0.034108846153846156	-0.034108846153846156	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Mycobacterium tuberculosis	4	0.0	0.034108846153846156	-0.034108846153846156	0.0	0.0	0.6254994799810465	0.8414068159271376
Streptococcus_vs_other	Mycobacterium tuberculosis	4	0.0	0.034108846153846156	-0.034108846153846156	0.0	0.0	0.6254994799810465	0.8414068159271376
Enterobacterales_vs_other	Stenotrophomonas maltophilia	3	0.00177	0.035339230769230776	-0.033569230769230775	0.0	0.0	0.5829505577618919	0.8414068159271376
Acinetobacter_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Enterobacterales_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Staphylococcus_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Streptococcus_vs_other	Candida albicans	3	0.00055	0.03040576923076923	-0.02985576923076923	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Toxoplasma gondii	30	0.07347000000000001	0.10272576923076923	-0.029255769230769224	0.039445	0.04066	0.6693340144640527	0.8414068159271376
Mycobacteria_vs_other	Candida albicans	3	0.0018075	0.03021230769230769	-0.02840480769230769	0.0	0.0	0.5829505577618919	0.8414068159271376
Streptococcus_vs_other	Streptococcus oralis	9	0.0275675	0.0010615384615384614	0.02650596153846154	0.02631	0.0	0.028069050496436487	0.8414068159271376
Streptococcus_vs_other	Streptococcus gwangjuense	5	0.0254925	5.8076923076923076e-05	0.025434423076923077	0.014010000000000002	0.0	0.020430973446714962	0.8414068159271376
Acinetobacter_vs_other	Streptococcus mitis	7	0.0	0.02503076923076923	-0.02503076923076923	0.0	0.0	0.3930360510185342	0.8414068159271376
Enterobacterales_vs_other	Streptococcus mitis	7	0.0	0.02503076923076923	-0.02503076923076923	0.0	0.0	0.3930360510185342	0.8414068159271376
Haemophilus_vs_other	Streptococcus mitis	7	0.0	0.02503076923076923	-0.02503076923076923	0.0	0.0	0.3930360510185342	0.8414068159271376
Haemophilus_vs_other	Arabidopsis thaliana	29	0.026912500000000002	0.05031730769230769	-0.023404807692307687	0.026375000000000003	0.00963	0.46410347443092714	0.8414068159271376
Streptococcus_vs_other	Prevotella denticola	3	0.0234075	4.3461538461538456e-05	0.023364038461538464	0.0	0.0	0.541802935032798	0.8414068159271376
Staphylococcus_vs_other	Streptococcus mitis	7	0.003994999999999999	0.024416153846153848	-0.02042115384615385	0.00019	0.0	0.4277105102974641	0.8414068159271376
Streptococcus_vs_other	Arabidopsis thaliana	29	0.063665	0.04466307692307692	0.019001923076923076	0.04099	0.012035	0.3930360510185342	0.8414068159271376
