run	pathogen_group	Abiotrophia defectiva	Acinetobacter baumannii	Acinetobacter johnsonii	Acinetobacter lwoffii	Actinomyces oris	Actinomyces pacaensis	Actinomyces sp. oral taxon 414	Aggregatibacter aphrophilus	Aggregatibacter segnis	Aggregatibacter sp. 2125159857	Aggregatibacter sp. Marseille-P9115	Aggregatibacter sp. oral taxon 513	Alcyoneusvirus K641	Alcyoneusvirus RaK2	Arabidopsis thaliana	Atopobium sp. oral taxon 416	Bacteroides heparinolyticus	Bergeyella cardium	Bifidobacterium dentium	Bradyrhizobium sp. BTAi1	Camelina sativa	Campylobacter concisus	Campylobacter rectus	Campylobacter showae	Candida albicans	Candida dubliniensis	Candidatus Minimicrobia vallesae	Candidatus Nanosynbacter sp. HMT-352	Capnocytophaga endodontalis	Capnocytophaga gingivalis	Capnocytophaga leadbetteri	Capnocytophaga ochracea	Capnocytophaga sp. FDAARGOS_737	Capnocytophaga sp. oral taxon 878	Capnocytophaga sputigena	Capsicum annuum	Citrobacter sp. CRE-46	Corynebacterium incognita	Corynebacterium jeikeium	Corynebacterium macginleyi	Corynebacterium matruchotii	Corynebacterium poyangense	Corynebacterium propinquum	Corynebacterium pseudodiphtheriticum	Corynebacterium resistens	Corynebacterium singulare	Corynebacterium tuberculostearicum	Cutibacterium acnes	Deinococcus wulumuqiensis	Desulfovibrio desulfuricans	Dialister pneumosintes	Dolosigranulum pigrum	Eikenella corrodens	Eikenella exigua	Enterococcus faecium	Escherichia albertii	Escherichia coli	Escherichia fergusonii	Escherichia marmotae	Filifactor alocis	Fusobacterium hwasookii	Fusobacterium nucleatum	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium sp. oral taxon 203	Gemella haemolysans	Gemella morbillorum	Gemella sanguinis	Granulicatella adiacens	Granulicatella elegans	Haemophilus haemolyticus	Haemophilus influenzae	Haemophilus parahaemolyticus	Haemophilus parainfluenzae	Haemophilus sp. oral taxon 036	Homo sapiens	Human alphaherpesvirus 1	Human alphaherpesvirus 3	Human betaherpesvirus 5	Human gammaherpesvirus 4	Kingella denitrificans	Kingella oralis	Kingella potus	Klebsiella aerogenes	Klebsiella africana	Klebsiella pneumoniae	Klebsiella quasipneumoniae	Klebsiella quasivariicola	Klebsiella variicola	Klebsiella virus Miro	Klebsiella virus PMBT1	Kosakonia pseudosacchari	Lachnoanaerobaculum umeaense	Lactuca sativa	Lancefieldella parvula	Lautropia mirabilis	Leptotrichia buccalis	Leptotrichia hofstadii	Leptotrichia shahii	Leptotrichia sp. oral taxon 212	Leptotrichia sp. oral taxon 221	Leptotrichia sp. oral taxon 498	Leptotrichia trevisanii	Leptotrichia wadei	Ligilactobacillus salivarius	Metamycoplasma orale	Metamycoplasma salivarium	Mogibacterium diversum	Moraxella catarrhalis	Moraxella osloensis	Morococcus cerebrosus	Mycobacterium tuberculosis	Neisseria animalis	Neisseria bacilliformis	Neisseria brasiliensis	Neisseria chenwenguii	Neisseria cinerea	Neisseria elongata	Neisseria flavescens	Neisseria gonorrhoeae	Neisseria lactamica	Neisseria macacae	Neisseria meningitidis	Neisseria mucosa	Neisseria sicca	Neisseria sp. KEM232	Neisseria sp. oral taxon 014	Neisseria subflava	Neisseria weixii	Olsenella uli	Paraburkholderia fungorum	Parascardovia denticolens	Parvimonas micra	Phietavirus pv187	Porphyromonas endodontalis	Porphyromonas gingivalis	Porphyromonas sp. oral taxon 275	Prevotella dentalis	Prevotella denticola	Prevotella enoeca	Prevotella fusca	Prevotella histicola	Prevotella intermedia	Prevotella jejuni	Prevotella melaninogenica	Prevotella multiformis	Prevotella nigrescens	Prevotella oris	Prevotella scopos	Prevotella sp. oral taxon 299	Prevotella sp. oral taxon 475	Prevotella veroralis	Pseudomonas aeruginosa	Pseudomonas fluorescens	Pseudomonas putida	Pseudomonas sp. FDAARGOS_761	Pseudomonas sp. T8	Pseudomonas syringae	Pseudotevenvirus RB43	Ralstonia insidiosa	Ralstonia pickettii	Rothia aeria	Rothia dentocariosa	Rothia mucilaginosa	Salmonella bongori	Salmonella enterica	Schaalia odontolytica	Selenomonas sp. oral taxon 136	Selenomonas sputigena	Serratia marcescens	Serratia phage KpZh_1	Shigella dysenteriae	Shigella flexneri	Simonsiella muelleri	Slopekvirus eap3	Slopekvirus kp15	Slopekvirus kp27	Slopekvirus matisse	Slopekvirus pht4A	Sphingobium sp. YG1	Sphingomonas melonis	Staphylococcus argenteus	Staphylococcus aureus	Staphylococcus capitis	Staphylococcus epidermidis	Staphylococcus haemolyticus	Staphylococcus hominis	Staphylococcus roterodami	Staphylococcus schweitzeri	Staphylococcus simiae	Staphylococcus simulans	Stenotrophomonas maltophilia	Stenotrophomonas sp. PAMC25021	Stenotrophomonas sp. SAU14A_NAIMI4_8	Stenotrophomonas sp. ZAC14D2_NAIMI4_7	Stenotrophomonas sp. pho	Streptococcus anginosus	Streptococcus australis	Streptococcus constellatus	Streptococcus cristatus	Streptococcus gordonii	Streptococcus gwangjuense	Streptococcus ilei	Streptococcus infantis	Streptococcus intermedius	Streptococcus koreensis	Streptococcus lactarius	Streptococcus milleri	Streptococcus mitis	Streptococcus mutans	Streptococcus oralis	Streptococcus parasanguinis	Streptococcus pneumoniae	Streptococcus pseudopneumoniae	Streptococcus rubneri	Streptococcus salivarius	Streptococcus sanguinis	Streptococcus sp. 116-D4	Streptococcus sp. 1643	Streptococcus sp. A12	Streptococcus sp. FDAARGOS_192	Streptococcus sp. HSISM1	Streptococcus sp. LPB0220	Streptococcus sp. Marseille-Q3533	Streptococcus sp. Marseille-Q6470	Streptococcus sp. NPS 308	Streptococcus sp. oral taxon 061	Streptococcus sp. oral taxon 064	Streptococcus sp. oral taxon 431	Streptococcus suis	Streptococcus thermophilus	Streptococcus toyakuensis	Streptococcus vestibularis	Stutzerimonas stutzeri	Tannerella forsythia	Tannerella serpentiformis	Toxoplasma gondii	Treponema denticola	Treponema medium	Treponema socranskii	Treponema sp. OMZ 305	Treponema sp. OMZ 857	Treponema vincentii	Ureaplasma parvum	Veillonella atypica	Veillonella dispar	Veillonella nakazawae	Veillonella parvula	Veillonella rogosae	Veillonella sp. S12025-13	Vigna angularis	Xanthomonas campestris	Zobellella denitrificans
SRR27343266	Stenotrophomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01825	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91385	0.04251	0.00138	0.00042	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR27343272	Enterobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.00274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05325	0.0002	0.931	0.00173	0.00019	0.00245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00301	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0
SRR27343276	Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91614	0.0	0.02511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR27343296	Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21217	0.00876	0.0	0.0	0.00239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR27343346	Enterobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.00853	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.00055	0.00251	0.0	0.0	0.0	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.00152	0.0	0.00192	0.00011	9e-05	8e-05	0.0	9e-05	0.0	0.0	0.15951	0.00013	0.00018	6e-05	0.0	0.0	0.0	0.0	0.00104	0.00015	0.0	0.00043	0.49724	0.0029	0.0	0.0	0.00108	0.00027	0.00077	0.02314	0.00015	0.0003	0.0	0.0	0.00014	0.0	0.0	0.0	0.0	0.0099	0.0	0.01028	5e-05	0.0	0.00033	0.0	0.00019	0.0001	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.04035	0.0	0.0	0.0	0.00081	0.0	9e-05	0.0004	0.00012	6e-05	0.00053	0.00065	0.01652	0.00067	0.00138	0.00103	0.00522	0.02408	0.028	0.03455	7e-05	0.02327	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00313	0.05882	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.0	0.0	0.0	0.0	0.0	0.00708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.00994	0.0	0.00803	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR27343475	Candida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78332	0.00317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR27343490	Staphylococcus	0.0	0.0	0.00063	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	7e-05	0.0	0.00085	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	2e-05	6e-05	0.0	0.00012	0.0	0.0	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.00022	0.0	3e-05	0.0	0.00131	5e-05	0.0	0.0	0.0	0.0	0.00354	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0	0.00036	0.0	0.0	0.0	7e-05	0.0	0.00031	9e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.0001	8e-05	0.00204	0.00047	0.0	0.0	0.00022	0.0	0.0	0.00016	0.0	0.0	0.00029	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.00098	5e-05	0.00072	0.0058	0.0	0.00016	0.0	8e-05	0.00012	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00602	0.0	0.0	9e-05	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	8e-05	0.00081	0.95001	7e-05	0.00019	0.0	0.0001	0.00041	8e-05	2e-05	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149	0.0	0.0	0.0	0.0	0.00038	0.0	0.00033	0.00052	7e-05	0.0	0.0	0.00488	0.0	5e-05	0.00013	7e-05	0.0	0.0002	0.00016	0.00019	0.00032	0.0	0.00053	0.0	0.00065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.00044	0.00016	7e-05	6e-05	0.00016	2e-05	0.0	0.0
SRR27343494	Enterobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1778	0.10122	0.00122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6359	0.00374	0.0	0.0	0.00313	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00372	0.00536	0.00466	0.00423	0.01551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR27343495	Pseudomonas	0.0	0.0	0.0	0.0	0.00011	2e-05	5e-05	5e-05	0.00012	0.00017	0.00027	0.00014	0.0	0.0	0.05192	8e-05	3e-05	3e-05	2e-05	0.0	4e-05	0.00074	0.0	0.0	0.0	0.0	0.0	0.00021	5e-05	0.00042	0.00038	9e-05	0.00038	3e-05	0.0001	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0001	0.00111	0.0	0.0003	0.0	0.00028	0.00011	0.00022	0.0002	0.00011	0.00043	0.0002	0.0	0.00081	0.00022	0.00154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-05	0.00012	5e-05	0.0	0.00016	0.0	0.0	0.00014	0.0	0.0	5e-05	0.0	0.0	9e-05	0.00011	0.00024	6e-05	8e-05	5e-05	0.00054	0.00067	0.00091	0.0	0.0	0.00057	0.0	2e-05	0.0	4e-05	6e-05	0.0	0.00078	2e-05	0.0	0.0	0.00029	4e-05	0.0	0.0	0.00053	0.00113	0.00118	4e-05	0.00036	0.00014	3e-05	0.00024	3e-05	0.00025	0.91319	7e-05	0.0	0.00251	0.00028	8e-05	0.0	8e-05	5e-05	3e-05	0.00021	0.00143	0.0	0.0	0.00023	5e-05	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011	9e-05	0.0	0.00017	0.00011	0.00012	0.0	0.00049	0.0	0.0	0.0	0.0	0.00119	0.0	0.00092	0.00039	0.00119	0.00065	0.0	0.00028	3e-05	8e-05	0.0	0.0	0.0	0.00023	0.00019	7e-05	9e-05	0.0	0.00019	0.0	0.00019	0.0	0.0	0.00015	0.0	0.00042	0.0001	4e-05	0.00142	0.00051	0.0001	2e-05	0.0002	0.00012	0.00029	0.0	0.00027	0.00042	8e-05	0.00019	5e-05	8e-05	0.0	0.0	2e-05
SRR27343518	Mycobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00375	0.0021	0.03761	0.0	0.0	0.0021	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
