run	pathogen_group	Pseudomonas aeruginosa	Homo sapiens	Acinetobacter baumannii	Toxoplasma gondii	Staphylococcus aureus	Haemophilus influenzae	Klebsiella pneumoniae	Escherichia coli	Arabidopsis thaliana	Streptococcus pneumoniae	Stenotrophomonas maltophilia	Mycobacterium tuberculosis	Candida albicans	Streptococcus mitis	Staphylococcus haemolyticus	Rothia mucilaginosa	Streptococcus intermedius	Alcyoneusvirus K641	Corynebacterium resistens	Streptococcus oralis	Other
SRR27343266	Stenotrophomonas	0.0	0.01825	0.0	0.01695	0.0	0.0	0.0	0.0	0.00298	0.0	0.91385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04796999999999996
SRR27343272	Enterobacterales	0.0	0.00274	0.0	0.00221	0.0	0.0	0.931	0.00098	0.00104	0.00018	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.00301	0.058599999999999985
SRR27343276	Pseudomonas	0.91614	0.04166	0.0	0.01421	0.0	0.0	0.0	0.0	0.00278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025209999999999955
SRR27343296	Staphylococcus	0.0	0.21217	0.0	0.21376	0.0	0.0	0.0	0.0	0.01306	0.0	0.0	0.0	0.0	0.0	0.48423	0.0	0.0	0.0	0.0	0.0	0.07677999999999996
SRR27343346	Enterobacterales	0.0	0.01028	0.0	0.00803	0.0	0.0	0.0	0.49724	0.00853	0.0	0.00708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15951	0.00103	0.3082999999999999
SRR27343475	Candida	0.0	0.02456	0.0	0.02355	0.0	0.0	0.0	0.0	0.16535	0.0	0.0	0.0	0.78332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032200000000000006
SRR27343490	Staphylococcus	0.0	0.00131	0.0	0.00123	0.95001	0.0	0.0	0.0	0.0068	7e-05	0.0	0.0	0.0	0.00038	0.0	0.00602	0.0	0.0	0.0	0.00033	0.033849999999999825
SRR27343494	Enterobacterales	0.0	0.0161	0.0	0.01595	0.0	0.0	0.6359	0.0	0.00122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1778	0.0	0.0	0.15303
SRR27343495	Pseudomonas	0.91319	0.00154	0.0	0.00142	0.0	0.0002	0.0	0.0	0.05192	0.00119	0.0	0.0	0.0	0.00119	0.0	0.00143	0.0	0.0	0.0	0.00092	0.027000000000000024
SRR27343518	Mycobacteria	0.0	0.34138	0.0	0.21145	0.0	0.0	0.0	0.0	0.1629	0.0	0.0	0.23288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05139000000000005
SRR27343520	Mycobacteria	0.0	0.25176	0.0	0.35863	0.0	0.0	0.0	0.0	0.06353	0.0	0.0	0.19039	0.0	0.01353	0.0	0.0349	0.0	0.0	0.0	0.01667	0.07059000000000004
SRR27343522	Mycobacteria	0.0	0.29408	0.0	0.27715	0.0	0.0	0.0	0.0	0.18847	0.0	0.0	0.22831	0.00723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047599999999999865
SRR27343523	Streptococcus	0.0	0.0625	0.0	0.09383	0.0	0.17048	0.0	0.0	0.00421	0.60816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060819999999999985
SRR27343532	Acinetobacter	0.0	0.08375	0.86579	0.03833	0.0	0.0	0.0	0.0	0.01101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001120000000000121
SRR27343566	Enterobacterales	0.0	0.01717	0.0	0.00541	0.0	0.0	0.0052	0.91973	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05216999999999994
SRR27343601	Haemophilus	0.0	0.23577	0.0	0.32283	0.0	0.42587	0.0	0.0	0.0153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002300000000000635
SRR27343719	Haemophilus	0.0	0.14917	0.0	0.25465	0.0	0.55263	0.0	0.0	0.0396	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.0012700000000001044
SRR27343725	Staphylococcus	0.0	0.03039	0.0	0.04523	0.92121	0.0	0.0	0.0	0.00219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009799999999999809
SRR27343734	Streptococcus	0.0	0.135	0.0	0.11306	0.0	0.0	0.0	0.0	0.16847	0.23335	0.0	0.0	0.0	0.19531	0.0	0.00769	0.0	0.0	0.0	0.02605	0.12107000000000001
SRR27343738	Acinetobacter	0.0	0.06387	0.68639	0.02971	0.0	0.0	0.09383	0.0	0.11056	0.0	0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010670000000000068
SRR27343742	Mycobacteria	0.0	0.43198	0.0	0.23915	0.0	0.0	0.0	0.0	0.08508	0.0	0.0	0.23525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008539999999999992
SRR27343835	Streptococcus	0.0	0.03201	0.0	0.01693	0.0	0.00169	0.0	0.0	0.07125	0.05131	0.0	0.0	0.0	0.06825	0.0	0.059	0.18266	0.0	0.0	0.02657	0.49033000000000004
SRR27343839	Streptococcus	0.0	0.05927	0.0	0.0287	0.0	0.0	0.0	0.0	0.01073	0.14246	0.0	0.0	0.0022	0.35654	0.00046	0.14491	0.0	0.0	0.0	0.05765	0.19707999999999992
SRR27343853	Acinetobacter	0.0	0.17293	0.76376	0.04299	0.0	0.0	0.0	0.0	0.00038	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.999999999996898e-05
SRR27343867	Pseudomonas	0.87818	0.06327	0.0	0.04678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00135	0.0	0.0	0.0	0.0	0.010419999999999985
SRR27343868	Acinetobacter	0.0	0.08396	0.81582	0.08267	0.0	0.0	0.0	0.0	0.00229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01525999999999994
SRR27343993	Staphylococcus	0.0	0.05375	0.0	0.03366	0.46446	0.0	0.0	0.0	0.17106	0.0062	0.0	0.0	0.0	0.0156	0.0	0.01803	0.0	0.0	0.0	0.00564	0.23160000000000014
SRR27344035	Haemophilus	0.0	0.14074	0.0	0.13253	0.0	0.69519	0.0	0.0	0.02895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002589999999999981
SRR27344040	Pseudomonas	0.87701	0.07616	0.0	0.03687	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.0	0.0	0.0	0.0	0.007110000000000061
SRR27344041	Haemophilus	0.0	0.3025	0.0	0.25688	0.0	0.41334	0.0	0.0	0.0238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034799999999999276
