source_id	citation	year	method_or_topic	what_it_supports	what_it_does_not_support	manuscript_location	public_link
M01	Aitchison J. The Statistical Analysis of Compositional Data. JRSS B 44:139-160.	1982	compositional data / log-ratio geometry	proportions live in a constrained simplex and should be analyzed with ratio-aware transformations	a particular microbiome zero model or clinical causal inference	Introduction; Methods—CLR/Aitchison	https://doi.org/10.1111/j.2517-6161.1982.tb01195.x
M02	Gloor GB et al. Microbiome Datasets Are Compositional: And This Is Not Optional. Front Microbiol 8:2224.	2017	microbiome compositionality	why sequencing abundance tables require compositional interpretation	that CLR resolves sampling zeros, contamination, biomass, or confounding	Introduction; Methods; Discussion	https://doi.org/10.3389/fmicb.2017.02224
M03	Palarea-Albaladejo J, Martín-Fernández JA. zCompositions—R package for multivariate imputation of left-censored data under a compositional approach. Chemom Intell Lab Syst 143:85-96.	2015	zCompositions / zero replacement	package and compositional imputation framework used by the pinned CZM interface	that all microbiome zeros are rounded/sampling zeros or that CZM is uniquely correct	Methods—CZM; Limitations	https://doi.org/10.1016/j.chemolab.2015.02.019
M04	Martín-Fernández JA, Barceló-Vidal C, Pawlowsky-Glahn V. Dealing with zeros and missing values in compositional data sets using nonparametric imputation. Math Geol 35:253-278.	2003	multiplicative zero replacement	foundational justification for preserving compositional structure during zero replacement	biological classification of every observed zero	Methods—zero handling	https://doi.org/10.1023/A:1023866030544
M05	Anderson MJ. A new method for non-parametric multivariate analysis of variance. Austral Ecol 26:32-46.	2001	PERMANOVA	distance-based partitioning and permutation inference for multivariate responses	location-only interpretation when group dispersion differs	Methods—PERMANOVA; Results	https://doi.org/10.1111/j.1442-9993.2001.01070.pp.x
M06	Anderson MJ. Distance-Based Tests for Homogeneity of Multivariate Dispersions. Biometrics 62:245-253.	2006	PERMDISP	distance-to-centroid/median assessment of multivariate dispersion and the need to qualify location results	proof that a nonsignificant dispersion test establishes equal distributions	Methods—PERMDISP; Interpretation	https://doi.org/10.1111/j.1541-0420.2005.00440.x
M07	Lin H, Peddada SD. Multigroup analysis of compositions of microbiomes with covariate adjustments and repeated measures. Nat Methods 21:83-91.	2024	ANCOM-BC2	multigroup DA, global/pairwise testing, covariate and repeated-measure framework	that the present data have adequate covariates/controls or that DA should be primary	Methods—exploratory DA; Discussion	https://doi.org/10.1038/s41592-023-02092-7
M08	Fernandes AD et al. Unifying the analysis of high-throughput sequencing datasets by compositional data analysis. Microbiome 2:15.	2014	ALDEx / Monte Carlo CLR	compositional Monte Carlo framework used as a sensitivity for differential abundance	method agreement, causal effects, or immunity to feature filtering	Methods—DA sensitivity	https://doi.org/10.1186/2049-2618-2-15
M09	Nearing JT et al. Microbiome differential abundance methods produce different results across 38 datasets. Nat Commun 13:342.	2022	DA method sensitivity	empirical reason to disclose method dependence and avoid significance shopping	which method is universally correct or that disagreement invalidates all results	Discussion; reviewer risk	https://doi.org/10.1038/s41467-022-28034-z
P01	Sulaiman I et al. Functional lower airways genomic profiling of the microbiome to capture active microbial metabolism. Eur Respir J 58:2003434.	2021	lower-airway WGS/metatranscriptomics	direct sequencing modalities provide information not equivalent to 16S-inferred function and lower-airway analysis needs modality clarity	direct support for the current clinical contrasts or classifier-defined taxa	Introduction; Discussion	https://doi.org/10.1183/13993003.03434-2020
P02	Han D et al. Metagenomic fingerprints in bronchoalveolar lavage differentiate pulmonary diseases. npj Digit Med.	2025	anchor BALF shotgun cohort	provenance and published clinical structure of PRJNA1056765	identity of the current estimand/pipeline or a new diagnostic claim	Cohort provenance	https://doi.org/10.1038/s41746-025-01977-5
P03	Tang H et al. Bronchoalveolar lavage fluid metagenomic datasets. Sci Data.	2025	anchor data descriptor	data-resource provenance and scope	causal, diagnostic or cross-cohort conclusions	Cohort provenance; Data availability	https://doi.org/10.1038/s41597-025-06171-6
P04	Zhang H et al. Metagenomic and metatranscriptomic profiling of bronchoalveolar lavage fluid identifies microbial and host biomarkers of drug-resistant tuberculosis. Front Cell Infect Microbiol 15.	2026	external BALF shotgun/TB cohort	130-subject source design and 49/81 resistance-status contrast	anchor-diagnosis replication or equivalence of analytical pipelines	Cohort provenance	https://doi.org/10.3389/fcimb.2025.1726935
P05	Salter SJ et al. Reagent and laboratory contamination can critically impact sequence-based microbiome analyses. BMC Biol 12:87.	2014	low-biomass contamination	need for negative controls and conservative interpretation of sparse low-biomass taxa	identification of contamination in the current cohort without controls	Limitations; reviewer risk	https://doi.org/10.1186/s12915-014-0087-z
