archive	member_path	bytes	kind	executed
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/LEfSe_2024-07-30_170213.png	409516	.png	false
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/alpha_diversity.py	4397	.py	false
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/beta_diversity.py	5593	.py	false
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/社区获得性肺炎.xlsx	23516	.xlsx	false
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/社区获得性肺炎20240727.xlsx	16466	.xlsx	false
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/重症肺炎.xlsx	11914	.xlsx	false
Data_Sheet_1.zip	Code Commit/Microecological Indicator Calculation/重症肺炎20240726.xlsx	12641	.xlsx	false
Data_Sheet_1.zip	Code Commit/Venn Diagram/data.xlsx	12162	.xlsx	false
Data_Sheet_1.zip	Code Commit/Venn Diagram/veen_A.R	2108	.r	false
Data_Sheet_1.zip	Code Commit/Venn Diagram/veen_B.R	2219	.r	false
Data_Sheet_1.zip	Code Commit/Venn Diagram/veen_C.R	2226	.r	false
Data_Sheet_1.zip	Code Commit/Venn Diagram/veen_D.R	2226	.r	false
Data_Sheet_1.zip	Code Commit/coinfection_corelation/1-100患者病原检测.xlsx	71929	.xlsx	false
Data_Sheet_1.zip	Code Commit/coinfection_corelation/ratio_heatmap.py	6880	.py	false
Data_Sheet_1.zip	Code Commit/count_heatmap/1-100患者病原检测.xlsx	71592	.xlsx	false
Data_Sheet_1.zip	Code Commit/count_heatmap/count_heatmap_top.py	8277	.py	false
Data_Sheet_1.zip	Code Commit/frequency_bar/1-100患者病原检测.xlsx	71592	.xlsx	false
Data_Sheet_1.zip	Code Commit/frequency_bar/frequency_bar.py	5751	.py	false
Data_Sheet_3.zip	ANCOMBC/ancombc_results_En_filter0.csv	1783	.csv	false
Data_Sheet_3.zip	ANCOMBC/ANCOMBC_significant_heatmap.pdf	4679	.pdf	false
Data_Sheet_3.zip	ANCOMBC/ANCOMBC_W_value_plot.pdf	4679	.pdf	false
Data_Sheet_3.zip	ANCOMBC/r.ANCOMBC2.r	2963	.r	false
Data_Sheet_4.zip	corr/index of Chao1.svg	42713	.svg	false
Data_Sheet_4.zip	corr/index of Richness.svg	43693	.svg	false
Data_Sheet_4.zip	corr/index of Shannon.svg	40347	.svg	false
Data_Sheet_4.zip	corr/index of Simpson.svg	42039	.svg	false
Data_Sheet_4.zip	corr/inflammatory_markers.pdf	22911	.pdf	false
Data_Sheet_4.zip	corr/Mantel_Corr_CRP.pdf	1176223	.pdf	false
Data_Sheet_4.zip	corr/Mantel_PCT_Corr.pdf	1101521	.pdf	false
Data_Sheet_4.zip	corr/PCA.svg	102936	.svg	false
Data_Sheet_4.zip	corr/PCoA.svg	105508	.svg	false
Data_Sheet_4.zip	corr/r.corr.R	5927	.r	false
Data_Sheet_4.zip	corr/shannon_corr_CRP.plot.pdf	18999	.pdf	false
Data_Sheet_4.zip	corr/shannon_corr_CRP_cut3.plot.pdf	16285	.pdf	false
Data_Sheet_4.zip	corr/shannon_corr_CRP_cut4.plot.pdf	16089	.pdf	false
Data_Sheet_4.zip	corr/shannon_corr_CRP_cut5.plot.pdf	15908	.pdf	false
Data_Sheet_4.zip	corr/shannon_corr_PCT.plot.pdf	18376	.pdf	false
Data_Sheet_4.zip	corr/shannon_corr_PCT_cut0.05.plot.pdf	13650	.pdf	false
Data_Sheet_4.zip	corr/╬ó╔·╬∩╚║┬Σ╢α╤∙╨╘ - ╤╫╓ó╥≥╫╙╧α╣╪╨╘ ╜ß╣√╦╡├≈.md	10092	.md	false
