source	table_or_sheet	data_row_count	has_patient_like_identifier_column	has_CAP_SP_label_column	stable_deidentified_repository_bridge_id	identifier_assessment	patient_level_assessment
Table_1.xlsx	CAP	181	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Table_1.xlsx	SP	22	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Table_2.xlsx	CAP-204cases	204	true	true	false	sequential_ordinal_NO_only	PATIENT_LEVEL_CLINICAL_TABLE
Table_2.xlsx	SP-25cases	25	true	true	false	sequential_ordinal_NO_only	PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/Microecological Indicator Calculation/社区获得性肺炎.xlsx	社区获得性肺炎	181	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/Microecological Indicator Calculation/社区获得性肺炎20240727.xlsx	病原菌	181	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/Microecological Indicator Calculation/重症肺炎.xlsx	重症肺炎	22	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/Microecological Indicator Calculation/重症肺炎20240726.xlsx	致病菌	22	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/Venn Diagram/data.xlsx	Sheet1	65	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/coinfection_corelation/1-100患者病原检测.xlsx	1	280	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/count_heatmap/1-100患者病原检测.xlsx	1	280	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_1.zip:Code Commit/frequency_bar/1-100患者病原检测.xlsx	1	280	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_2.csv	CSV	69	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_3.zip:ANCOMBC/ancombc_results_En_filter0.csv	CSV	16	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
Data_Sheet_5.docx	DOCX table 1	2	false	false	false	no_repository_bridge_identifier	NOT_A_DETERMINISTIC_PATIENT_LEVEL_CLINICAL_TABLE
