run_accession	read_length_nt	read_count	fraction
CRR2423961	15	4	0.000105412955
CRR2423961	16	7	0.000184472672
CRR2423961	17	1	0.000026353239
CRR2423961	18	4	0.000105412955
CRR2423961	19	1	0.000026353239
CRR2423961	20	3	0.000079059716
CRR2423961	21	11	0.000289885627
CRR2423961	22	3	0.000079059716
CRR2423961	23	6	0.000158119433
CRR2423961	24	2	0.000052706478
CRR2423961	25	9	0.000237179149
CRR2423961	26	13	0.000342592105
CRR2423961	27	5	0.000131766194
CRR2423961	28	9	0.000237179149
CRR2423961	29	9	0.000237179149
CRR2423961	30	3	0.000079059716
CRR2423961	31	2	0.000052706478
CRR2423961	32	2	0.000052706478
CRR2423961	33	2	0.000052706478
CRR2423961	34	3	0.000079059716
CRR2423961	35	5	0.000131766194
CRR2423961	36	9	0.000237179149
CRR2423961	37	8	0.000210825911
CRR2423961	38	10	0.000263532388
CRR2423961	39	8	0.000210825911
CRR2423961	40	16	0.000421651821
CRR2423961	41	3	0.000079059716
CRR2423961	50	37788	0.995836188268
CRR2424000	15	19	0.000338765467
CRR2424000	16	34	0.000606211889
CRR2424000	17	17	0.000303105944
CRR2424000	18	16	0.000285276183
CRR2424000	19	20	0.000356595229
CRR2424000	20	22	0.000392254752
CRR2424000	21	42	0.000748849980
CRR2424000	22	20	0.000356595229
CRR2424000	23	20	0.000356595229
CRR2424000	24	44	0.000784509503
CRR2424000	25	53	0.000944977356
CRR2424000	26	87	0.001551189245
CRR2424000	27	46	0.000820169026
CRR2424000	28	45	0.000802339265
CRR2424000	29	59	0.001051955925
CRR2424000	30	31	0.000552722605
CRR2424000	31	12	0.000213957137
CRR2424000	32	12	0.000213957137
CRR2424000	33	9	0.000160467853
CRR2424000	34	14	0.000249616660
CRR2424000	35	4	0.000071319046
CRR2424000	36	17	0.000303105944
CRR2424000	37	17	0.000303105944
CRR2424000	38	15	0.000267446422
CRR2424000	39	34	0.000606211889
CRR2424000	40	34	0.000606211889
CRR2424000	41	7	0.000124808330
CRR2424000	50	55336	0.986627678922
CRR2423957	50	72456	1.000000000000
CRR2423986	15	7	0.000110211922
CRR2423986	16	13	0.000204679283
CRR2423986	17	8	0.000125956482
CRR2423986	18	6	0.000094467362
CRR2423986	19	4	0.000062978241
CRR2423986	20	7	0.000110211922
CRR2423986	21	18	0.000283402085
CRR2423986	22	8	0.000125956482
CRR2423986	23	11	0.000173190163
CRR2423986	24	11	0.000173190163
CRR2423986	25	21	0.000330635765
CRR2423986	26	16	0.000251912964
CRR2423986	27	13	0.000204679283
CRR2423986	28	9	0.000141701042
CRR2423986	29	19	0.000299146645
CRR2423986	30	5	0.000078722801
CRR2423986	31	11	0.000173190163
CRR2423986	32	7	0.000110211922
CRR2423986	33	8	0.000125956482
CRR2423986	34	4	0.000062978241
CRR2423986	35	9	0.000141701042
CRR2423986	36	10	0.000157445603
CRR2423986	37	23	0.000362124886
CRR2423986	38	34	0.000535315049
CRR2423986	39	20	0.000314891205
CRR2423986	40	34	0.000535315049
CRR2423986	41	6	0.000094467362
CRR2423986	50	63172	0.994615360393
CRR2423912	15	26	0.001484272421
CRR2423912	16	19	0.001084660615
CRR2423912	17	14	0.000799223611
CRR2423912	18	24	0.001370097619
CRR2423912	19	23	0.001313010219
CRR2423912	20	42	0.002397670834
CRR2423912	21	31	0.001769709425
CRR2423912	22	50	0.002854370041
CRR2423912	23	35	0.001998059028
CRR2423912	24	60	0.003425244049
CRR2423912	25	42	0.002397670834
CRR2423912	26	51	0.002911457441
CRR2423912	27	62	0.003539418850
CRR2423912	28	52	0.002968544842
CRR2423912	29	63	0.003596506251
CRR2423912	30	8	0.000456699206
CRR2423912	31	9	0.000513786607
CRR2423912	32	14	0.000799223611
CRR2423912	33	8	0.000456699206
CRR2423912	34	8	0.000456699206
CRR2423912	35	3	0.000171262202
CRR2423912	36	11	0.000627961409
CRR2423912	37	6	0.000342524405
CRR2423912	38	4	0.000228349603
CRR2423912	39	5	0.000285437004
CRR2423912	40	5	0.000285437004
CRR2423912	41	4	0.000228349603
CRR2423912	44	2	0.000114174802
CRR2423912	45	4	0.000228349603
CRR2423912	46	4	0.000228349603
CRR2423912	47	5	0.000285437004
CRR2423912	48	5	0.000285437004
CRR2423912	49	2	0.000114174802
CRR2423912	50	9	0.000513786607
CRR2423912	51	4	0.000228349603
CRR2423912	52	1	0.000057087401
CRR2423912	53	1	0.000057087401
CRR2423912	54	2	0.000114174802
CRR2423912	55	5	0.000285437004
CRR2423912	56	7	0.000399611806
CRR2423912	57	5	0.000285437004
CRR2423912	58	1	0.000057087401
CRR2423912	59	1	0.000057087401
CRR2423912	60	8	0.000456699206
CRR2423912	61	5	0.000285437004
CRR2423912	62	2	0.000114174802
CRR2423912	63	8	0.000456699206
CRR2423912	64	10	0.000570874008
CRR2423912	65	9	0.000513786607
CRR2423912	66	7	0.000399611806
CRR2423912	75	16731	0.955129302963
CRR2423921	15	5	0.000218808805
CRR2423921	16	9	0.000393855849
CRR2423921	17	12	0.000525141132
CRR2423921	18	16	0.000700188176
CRR2423921	19	12	0.000525141132
CRR2423921	20	19	0.000831473458
CRR2423921	21	19	0.000831473458
CRR2423921	22	22	0.000962758741
CRR2423921	23	34	0.001487899873
CRR2423921	24	21	0.000918996980
CRR2423921	25	18	0.000787711698
CRR2423921	26	27	0.001181567546
CRR2423921	27	34	0.001487899873
CRR2423921	28	30	0.001312852829
CRR2423921	29	38	0.001662946917
CRR2423921	30	9	0.000393855849
CRR2423921	31	9	0.000393855849
CRR2423921	32	3	0.000131285283
CRR2423921	33	6	0.000262570566
CRR2423921	34	6	0.000262570566
CRR2423921	36	3	0.000131285283
CRR2423921	37	1	0.000043761761
CRR2423921	38	1	0.000043761761
CRR2423921	39	2	0.000087523522
CRR2423921	40	1	0.000043761761
CRR2423921	45	3	0.000131285283
CRR2423921	46	3	0.000131285283
CRR2423921	47	4	0.000175047044
CRR2423921	48	2	0.000087523522
CRR2423921	49	4	0.000175047044
CRR2423921	51	2	0.000087523522
CRR2423921	52	2	0.000087523522
CRR2423921	53	6	0.000262570566
CRR2423921	54	1	0.000043761761
CRR2423921	55	3	0.000131285283
CRR2423921	56	1	0.000043761761
CRR2423921	57	1	0.000043761761
CRR2423921	58	2	0.000087523522
CRR2423921	59	2	0.000087523522
CRR2423921	60	1	0.000043761761
CRR2423921	61	2	0.000087523522
CRR2423921	62	4	0.000175047044
CRR2423921	63	6	0.000262570566
CRR2423921	64	3	0.000131285283
CRR2423921	65	18	0.000787711698
CRR2423921	66	6	0.000262570566
CRR2423921	75	22418	0.981051157499
CRR2423991	15	18	0.000553012381
CRR2423991	16	46	0.001413253863
CRR2423991	17	34	0.001044578943
CRR2423991	18	42	0.001290362223
CRR2423991	19	117	0.003594580479
CRR2423991	20	108	0.003318074288
CRR2423991	21	198	0.006083136195
CRR2423991	22	152	0.004669882331
CRR2423991	23	163	0.005007834342
CRR2423991	24	208	0.006390365295
CRR2423991	25	314	0.009646993763
CRR2423991	26	847	0.026022304833
CRR2423991	27	2388	0.073366309257
CRR2423991	28	3086	0.094810900488
CRR2423991	29	3629	0.111493440659
CRR2423991	30	688	0.021137362131
CRR2423991	31	696	0.021383145412
CRR2423991	32	757	0.023257242926
CRR2423991	33	760	0.023349411656
CRR2423991	34	958	0.029432547851
CRR2423991	35	461	0.014163261544
CRR2423991	36	435	0.013364465882
CRR2423991	37	406	0.012473501490
CRR2423991	38	297	0.009124704292
CRR2423991	39	362	0.011121693447
CRR2423991	40	148	0.004546990691
CRR2423991	41	179	0.005499400903
CRR2423991	42	164	0.005038557252
CRR2423991	43	140	0.004301207410
CRR2423991	44	185	0.005683738364
CRR2423991	45	129	0.003963255400
CRR2423991	46	128	0.003932532489
CRR2423991	47	114	0.003502411748
CRR2423991	48	105	0.003225905558
CRR2423991	49	141	0.004331930320
CRR2423991	50	93	0.002857230637
CRR2423991	51	105	0.003225905558
CRR2423991	52	72	0.002212049525
CRR2423991	53	96	0.002949399367
CRR2423991	54	79	0.002427109896
CRR2423991	55	76	0.002334941166
CRR2423991	56	90	0.002765061907
CRR2423991	57	80	0.002457832806
CRR2423991	58	78	0.002396386986
CRR2423991	59	66	0.002027712065
CRR2423991	60	58	0.001781928784
CRR2423991	61	55	0.001689760054
CRR2423991	62	67	0.002058434975
CRR2423991	63	74	0.002273495345
CRR2423991	64	58	0.001781928784
CRR2423991	65	60	0.001843374604
CRR2423991	66	55	0.001689760054
CRR2423991	67	72	0.002212049525
CRR2423991	68	48	0.001474699684
CRR2423991	69	44	0.001351808043
CRR2423991	70	34	0.001044578943
CRR2423991	75	12486	0.383606255184
CRR2424010	15	32	0.000839410314
CRR2424010	16	49	0.001285347044
CRR2424010	17	89	0.002334609937
CRR2424010	18	159	0.004170819999
CRR2424010	19	405	0.010623786790
CRR2424010	20	279	0.007318608677
CRR2424010	21	471	0.012355070563
CRR2424010	22	368	0.009653218614
CRR2424010	23	486	0.012748544148
CRR2424010	24	488	0.012801007292
CRR2424010	25	612	0.016053722260
CRR2424010	26	1259	0.033025549551
CRR2424010	27	3675	0.096401028278
CRR2424010	28	4499	0.118015843870
CRR2424010	29	5810	0.152405435182
CRR2424010	30	699	0.018335869052
CRR2424010	31	853	0.022375531189
CRR2424010	32	999	0.026205340748
CRR2424010	33	948	0.024867530560
CRR2424010	34	1143	0.029982687162
CRR2424010	35	540	0.014165049053
CRR2424010	36	609	0.015975027543
CRR2424010	37	523	0.013719112324
CRR2424010	38	429	0.011253344525
CRR2424010	39	467	0.012250144274
CRR2424010	40	231	0.006059493206
CRR2424010	41	233	0.006111956351
CRR2424010	42	193	0.005062693458
CRR2424010	43	221	0.005797177483
CRR2424010	44	249	0.006531661508
CRR2424010	45	150	0.003934735848
CRR2424010	46	168	0.004406904150
CRR2424010	47	142	0.003724883270
CRR2424010	48	127	0.003331409685
CRR2424010	49	159	0.004170819999
CRR2424010	50	103	0.002701851949
CRR2424010	51	127	0.003331409685
CRR2424010	52	99	0.002596925660
CRR2424010	53	113	0.002964167672
CRR2424010	54	123	0.003226483395
CRR2424010	55	101	0.002649388804
CRR2424010	56	90	0.002360841509
CRR2424010	57	88	0.002308378364
CRR2424010	58	82	0.002150988930
CRR2424010	59	78	0.002046062641
CRR2424010	60	59	0.001547662767
CRR2424010	61	69	0.001809978490
CRR2424010	62	51	0.001337810188
CRR2424010	63	68	0.001783746918
CRR2424010	64	58	0.001521431195
CRR2424010	65	48	0.001259115471
CRR2424010	66	64	0.001678820629
CRR2424010	67	58	0.001521431195
CRR2424010	68	44	0.001154189182
CRR2424010	69	52	0.001364041761
CRR2424010	70	49	0.001285347044
CRR2424010	75	8734	0.229106552647
