run_accession	experiment_accession	ena_biosample	secondary_sample	ngdc_biosample	submitted_sample_name	subject_id	published_group	group_evidence	specimen	site	platform	layout	read_length	compressed_bytes	md5	fastq_ftp	host_depletion_provenance	pilot_biological_eligibility
DRR770615	DRX749593	SAMD01673359	DRS538170	SAMC5008464	BALF_002	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	1979337	f909f4e5554131c8be77a3bc51d915e9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770615/DRR770615.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770616	DRX749594	SAMD01673360	DRS538171	SAMC5008465	BALF_003	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	43830418	dea3473df75339b4511ed827a9e0e576	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770616/DRR770616.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770617	DRX749595	SAMD01673361	DRS538172	SAMC5008466	BALF_004	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	13890903	21fbd421576955b5f32affd6196cbbe9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770617/DRR770617.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770619	DRX749597	SAMD01673363	DRS538174	SAMC5008468	BALF_006	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	75287541	70e03fcc110fde02a20cca7190223bdf	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770619/DRR770619.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770620	DRX749598	SAMD01673364	DRS538175	SAMC5008469	BALF_007	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	99396385	292178808609471ecf6c20994aa7df57	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770620/DRR770620.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770622	DRX749600	SAMD01673366	DRS538177	SAMC5008471	BALF_009	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	82902482	1ba88cdce7ec0a5e018c5c1c0258a434	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770622/DRR770622.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770627	DRX749605	SAMD01673371	DRS538182	SAMC5008476	BALF_014	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	25160939	a8915fb85f1f759d77daabc83ee73d6c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770627/DRR770627.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770630	DRX749608	SAMD01673374	DRS538185	SAMC5008479	BALF_017	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	51498928	71ec4faab7a7c5140923a20c7c61b5c0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770630/DRR770630.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770631	DRX749609	SAMD01673375	DRS538186	SAMC5008480	BALF_018	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	79755994	1a2880cb81e7c5d2e94f7776e86edd50	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770631/DRR770631.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770634	DRX749612	SAMD01673378	DRS538189	SAMC5008483	BALF_021	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	51294219	884f119b77ebe629e441ae7135d8da80	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770634/DRR770634.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770639	DRX749617	SAMD01673383	DRS538194	SAMC5008488	BALF_026	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	10398829	d27bbe943165da09093967b86e647536	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770639/DRR770639.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770642	DRX749620	SAMD01673386	DRS538197	SAMC5008491	BALF_029	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	66323010	e2cdfba0212de992c3030b64773889b6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770642/DRR770642.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770644	DRX749622	SAMD01673388	DRS538199	SAMC5008493	BALF_031	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	99338534	3b6d516a94da61a586c1f7f064ea8933	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770644/DRR770644.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770646	DRX749624	SAMD01673390	DRS538201	SAMC5008495	BALF_033	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	62849592	b6774d2414435148aad9524eafb37127	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770646/DRR770646.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770647	DRX749625	SAMD01673391	DRS538202	SAMC5008496	BALF_034	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	196378310	fed0a3cbcbf4a85a63697a7d88fe240d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770647/DRR770647.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770651	DRX749629	SAMD01673395	DRS538206	SAMC5008500	BALF_038	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	58948776	577b89546aff6e04accf8454bdc1cd39	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770651/DRR770651.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770656	DRX749634	SAMD01673400	DRS538211	SAMC5008505	BALF_043	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	116027192	514f76f4e02c5447ceb4f77d2b417e43	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770656/DRR770656.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770658	DRX749636	SAMD01673402	DRS538213	SAMC5008507	BALF_045	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	21914088	3b6eadb704695ffe49f0c4e992215eab	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770658/DRR770658.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770662	DRX749640	SAMD01673406	DRS538217	SAMC5008511	BALF_049	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	14380853	bc730a8c7c311dca1c1a0096b5da3222	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770662/DRR770662.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770668	DRX749646	SAMD01673412	DRS538223	SAMC5008517	BALF_055	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	12360044	938ed2c9cde7f90d299f096599c1096a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770668/DRR770668.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770669	DRX749647	SAMD01673413	DRS538224	SAMC5008518	BALF_056	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	28024162	899e1e0e8659249e73a2e157b9191153	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770669/DRR770669.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770672	DRX749650	SAMD01673416	DRS538227	SAMC5008521	BALF_059	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	15559072	6e3ea0bff5458b8911a175a5df94c3d7	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770672/DRR770672.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770673	DRX749651	SAMD01673417	DRS538228	SAMC5008522	BALF_060	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	12913256	800c1f9d3a5b8c5d835e1b7be0524c5b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770673/DRR770673.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770676	DRX749654	SAMD01673420	DRS538231	SAMC5008525	BALF_063	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	26208016	18a26967cedd97fd7f150f04f05711ab	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770676/DRR770676.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
