run_accession	ngdc_biosample	submitted_sample_name	subject_id	group_raw	mapping_status	biological_grouping_eligible
DRR770615	SAMC5008464	BALF_002	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770616	SAMC5008465	BALF_003	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770617	SAMC5008466	BALF_004	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770619	SAMC5008468	BALF_006	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770620	SAMC5008469	BALF_007	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770622	SAMC5008471	BALF_009	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770627	SAMC5008476	BALF_014	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770630	SAMC5008479	BALF_017	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770631	SAMC5008480	BALF_018	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770634	SAMC5008483	BALF_021	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770639	SAMC5008488	BALF_026	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770642	SAMC5008491	BALF_029	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770644	SAMC5008493	BALF_031	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770646	SAMC5008495	BALF_033	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770647	SAMC5008496	BALF_034	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770651	SAMC5008500	BALF_038	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
