run_accession	experiment_accession	biosample	subject_id	sample_name	library_name	hiv_group	group_evidence	platform	layout	read_length	compressed_bytes	md5	fastq_ftp	center_repository	host_depletion_status	repository_filename_signal	analysis_eligibility
SRR24784952	SRX20557553	SAMN35536406	UNRESOLVED	2234042054488_C1D.unhost.fq.gz	L156	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	669734081	84b848de526f7ac2f1e5abd4535c8807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/052/SRR24784952/SRR24784952.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784951	SRX20557554	SAMN35536407	UNRESOLVED	2234042071768_C1D.unhost.fq.gz	L157	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	16788037	2d104ff8b0f201ff4e23f95672a97dc3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/051/SRR24784951/SRR24784951.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784950	SRX20557555	SAMN35536408	UNRESOLVED	2234042071775_C1D.unhost.fq.gz	L158	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	8513805	262b4aa284df1cddb41e590ea3b6452e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/050/SRR24784950/SRR24784950.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784949	SRX20557556	SAMN35536409	UNRESOLVED	2234042150142_C1D.unhost.fq.gz	L159	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	1237489990	848f80498b25be033c77202a7e42f223	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/049/SRR24784949/SRR24784949.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784948	SRX20557557	SAMN35536410	UNRESOLVED	2234042150296_C1D.unhost.fq.gz	L160	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	51933382	b3adb01785a36fb13353dc78580bbd44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/048/SRR24784948/SRR24784948.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784946	SRX20557559	SAMN35536411	UNRESOLVED	2234042151583_C1D.unhost.fq.gz	L161	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	18193157	42b2b430594bec2ea2f8967432f38719	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/046/SRR24784946/SRR24784946.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784945	SRX20557560	SAMN35536412	UNRESOLVED	2234042151590_C1D.unhost.fq.gz	L162	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	42691467	5099bb51fbfb8bbff70e2acfbd251043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/045/SRR24784945/SRR24784945.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784944	SRX20557561	SAMN35536413	UNRESOLVED	2234042151606_C1D.unhost.fq.gz	L163	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	69287892	39be5c7fe97e5ed6d25ef152ff2a89da	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/044/SRR24784944/SRR24784944.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784943	SRX20557562	SAMN35536414	UNRESOLVED	2234042151613_C1D.unhost.fq.gz	L164	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	10364085	938ba7e497be819695d0666f78824311	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/043/SRR24784943/SRR24784943.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784942	SRX20557563	SAMN35536415	UNRESOLVED	2234042151620_C1D.unhost.fq.gz	L165	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	771738973	62f0393e1fc250862d80da5522ff7cfa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/042/SRR24784942/SRR24784942.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
