run_accession	biosample	subject_id	hiv_group	repeat_status	mapping_status	analysis_eligible
SRR24784952	SAMN35536406	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784951	SAMN35536407	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784950	SAMN35536408	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784949	SAMN35536409	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784948	SAMN35536410	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784946	SAMN35536411	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784945	SAMN35536412	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784944	SAMN35536413	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784943	SAMN35536414	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784942	SAMN35536415	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784941	SAMN35536416	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784940	SAMN35536417	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784657	SAMN35536418	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784656	SAMN35536419	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784655	SAMN35536420	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784653	SAMN35536421	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784652	SAMN35536422	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784651	SAMN35536423	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784650	SAMN35536424	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784649	SAMN35536425	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784648	SAMN35536426	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784647	SAMN35536427	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784646	SAMN35536428	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784645	SAMN35536429	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784644	SAMN35536430	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785360	SAMN35536431	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785359	SAMN35536432	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785358	SAMN35536433	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785357	SAMN35536434	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785356	SAMN35536435	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785355	SAMN35536436	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785354	SAMN35536437	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
