study_id	bioproject	sra_study	paper_title	first_author	year	journal	doi	pmid	country	institution_or_center	multicenter_status	specimen_type	lower_airway_confirmed	sequencing_type	platform	paired_end	approx_read_length	raw_fastq_available	n_total_public	n_bal_or_balf	n_unique_patients	diagnosis_groups	group_counts	healthy_controls_present	negative_controls_present	negative_control_count	sample_metadata_available	patient_metadata_available	sample_to_patient_mapping	training_test_split_present	longitudinal_repeats	baseline_selection_possible	antibiotic_or_treatment_metadata	smoking_metadata	age_metadata	sex_metadata	major_clinical_covariates	estimated_data_size	existing_processed_matrix_available	existing_taxonomy_table_available	existing_code_available	same_dataset_as_other_candidate	study_site_confounded_with_diagnosis	major_batch_risk	primary_exclusion_reason	scientific_fit_score	metadata_score	technical_compatibility_score	independence_score	qc_interpretability_score	publication_value_score	confounding_risk_score	compute_cost_score	overall_priority	validation_class	evidence_status	notes
Zhang_DR_TB_2026	PRJCA046985	CRA034880	Metagenomic and metatranscriptomic profiling of bronchoalveolar lavage fluid identifies microbial and host biomarkers of drug-resistant tuberculosis	Zhang	2026	Frontiers in Cellular and Infection Microbiology	10.3389/fcimb.2025.1726935	41693862	China	Xuzhou Hospital, Beijing Ditan Hospital Affiliated to Capital Medical University	single-center	BALF	YES	shotgun DNA plus host RNA	Illumina (model pending repository verification)	UNRESOLVED	UNRESOLVED	YES; GSA public accession	130	130	130	drug-resistant TB|drug-susceptible TB	49|81	NO	YES; PBS/sterile-water controls described	UNRESOLVED	YES; 130 BioSamples	PARTIAL; article/supplement	one BALF per enrolled patient; run mapping pending	NO for community analysis	NO reported	YES	treatment/drug-resistance context reported; per-patient completeness pending	UNRESOLVED	YES	YES	drug susceptibility confirmation; clinical/laboratory variables	PENDING GSA file-list verification; article reports median 16.7M clean reads/sample	supplementary results; reusable matrix not yet verified	PENDING_VERIFICATION	NO linked code identified	NO	not evident; both groups enrolled at same center	paired DNA/RNA and laboratory batch metadata incomplete	none; repository layout/size must be verified before pilot	5	4	4	5	4	5	2	3	A	partial replication	PARTIALLY VERIFIED	Strongest phenotype-defined BALF cohort. Compare DR-TB versus DS-TB only; it does not replicate four-disease labels. DOI/year discrepancy reflects 2026 publication in volume 15 (2025).
Luo_CAP_SP_2025	PRJCA039020; PRJDB36521	CRA024916; DRP014624	Microbial and clinical disparities in pneumonia: insights from metagenomic next-generation sequencing in patients with community-acquired and severe pneumonia	Luo	2025	Frontiers in Microbiology	10.3389/fmicb.2025.1538109	UNRESOLVED	China	Nanfang Hospital, Southern Medical University; Dian Diagnostics processing	single clinical center; centralized commercial laboratory	BALF	YES	shotgun DNA	Illumina NextSeq 550	UNRESOLVED	~40 bp inferred from example 1.8M spots/73.8M bases; verify per-run	YES; GSA/INSDC cross-registration	233	229	229	community-acquired pneumonia|severe pneumonia	204|25	NO	not reported in main methods	0	YES; 233 BioSamples	YES in paper/supplement; repository linkage to verify	apparently one BALF per patient; four extra public BioSamples require resolution	NO	NO	YES	initial treatment reported	UNRESOLVED	YES	YES	PSI, qSOFA, comorbidities, labs, ventilation	~17-35 GB provisional from public run example; exact manifest pending	species count/relative abundance tables reported in supplement	YES; supplementary tables reported	NO linked repository identified	NO; dual registration is one dataset	NO by study; strong severity/covariate imbalance	commercial processing; batch fields incomplete	none; severe group small and estimand is severity, not broad diagnosis	4	4	5	5	2	4	4	2	B	partial replication	VERIFIED_WITH_MANIFEST_GAP	Use CAP versus severe-pneumonia estimand with explicit imbalance. Never count PRJCA039020 and PRJDB36521 twice.
Tan_HIV_PI_2023	PRJNA977832	SRP440548	Microbiomes Detected by Bronchoalveolar Lavage Fluid Metagenomic Next-Generation Sequencing among HIV-Infected and Uninfected Patients with Pulmonary Infection	Tan	2023	Microbiology Spectrum	10.1128/spectrum.00005-23	37436163	China	First Hospital of Changsha (paper); Zhongnan Hospital/Wuhan University appears in SRA submitter fields	single-center according to paper; repository institution discrepancy unresolved	BALF	YES	shotgun DNA	Illumina NovaSeq 6000	NO; SRA layout SINGLE	40 bp average	YES; host-depleted/unhost reads	718	718	718 public; paper analyzed 756	pulmonary infection with HIV|pulmonary infection without HIV	paper 476|280; public-run group mapping pending	NO	not recoverable in public run manifest; methods need supplement verification	UNRESOLVED	YES but sparse SRA fields	paper cohort variables; public individual mapping incomplete	one BALF per patient claimed; 38-paper/public gap unresolved	NO	NO reported	YES	recent antibiotics and immunosuppression summarized	UNRESOLVED	paper summary; run-level pending	paper summary; run-level pending	HIV status, CD4, viral load, recent antibiotics, immunosuppression	917.36 GB public compressed files (718-run RunInfo snapshot)	paper supplementary pathogen tables	PARTIAL; diagnostic taxa rather than complete community matrix	NO linked code identified	NO	NO within paper; institution provenance discrepancy must be resolved	short host-depleted reads; public/paper count mismatch; unknown run batches	none; defer full run until metadata reconciliation and storage approval	4	3	4	5	2	4	3	5	B	partial replication	PARTIALLY VERIFIED	Large independent BALF cohort but estimand is HIV status within pulmonary infection. Public run count 718 versus paper n=756 is material and must be reconciled before production.
Zhang_CAP_platform_2022	PRJCA027972	OMIX006862	Clinical value of metagenomic next-generation sequencing by Illumina and Nanopore for the detection of pathogens in bronchoalveolar lavage fluid in suspected community-acquired pneumonia patients	Zhang	2022	Frontiers in Cellular and Infection Microbiology	10.3389/fcimb.2022.1021320	36237436	China	Nanjing First Hospital	single-center	BALF	YES	shotgun DNA on paired platforms	Illumina and Oxford Nanopore	Illumina layout pending; Nanopore single-molecule	platform-specific; pending file manifest	YES; OMIX open archive	138 files/records; paired modalities	66	66	suspected CAP with adjudicated infection status/platform pairs	53 with established/excluded diagnosis subset; exact formal contrast pending supplement	NO	not reported	0	YES in OMIX/paper	YES in supplementary clinical table	paired-platform mapping should be recoverable	NO	NO; paired technical measurements	YES	clinical treatment data reported	UNRESOLVED	YES	YES	clinical adjudication, conventional microbiology, outcomes	2.9 GB OMIX release archive	supplementary diagnostic tables	PARTIAL	NO linked code identified	NO	not evident	platform is deliberately paired; Illumina-only primary subset required	none; valid methodological pilot, but clinical grouping must be prespecified	3	4	3	5	2	3	3	1	C	methodological replication	PARTIALLY VERIFIED	Best low-cost smoke test. Analyze Illumina DNA once per patient; Nanopore is a technical comparator, not an extra subject.
Zhou_lung_cancer_segments_2023	PRJNA991321	SRP447350	Alterations of lower respiratory tract microbiome and short-chain fatty acids in different segments in lung cancer: a multiomics analysis	Zhou	2023	Frontiers in Cellular and Infection Microbiology	UNRESOLVED	UNRESOLVED	China	First Affiliated Hospital of Air Force Medical University	single-center	BALF paired tumor-bearing and ipsilateral normal segments	YES	shotgun DNA	Illumina HiSeq X	YES	300 bp aggregate paired RunInfo field	YES	56	56	28	within-patient lung segment; all lung cancer	28|28 paired samples	NO	NO	0	YES	PARTIAL	YES; paired segments	NO	paired anatomical samples	not applicable; paired design	UNRESOLVED	YES/partial	YES	YES	tumor location, stage, smoking	147.21 GB compressed public RunInfo total	paper supplement	PARTIAL	NO linked code identified	NO	not applicable; no diagnosis contrast	paired anatomical site and low-biomass handling	no between-diagnosis estimand and only 28 patients	2	4	5	5	2	2	2	3	C	methodological replication	VERIFIED	Useful only for representation/cluster methods under a paired design; not a primary diagnosis replication.
Zhao_pediatric_pneumonia_2025	PRJCA028177	CRA017789	Diagnostic value of metagenomic next-generation sequencing using bronchoalveolar lavage fluid samples for pathogen detection in children with severe or refractory pneumonia	Zhao	2025	Microbiology Spectrum	10.1128/spectrum.01087-24	39902982	China	Children's Hospital of Fudan University; Jinshan Hospital; Dinfectome laboratory	single clinical cohort	BALF	YES	DNA and RNA mNGS	Illumina (model pending)	UNRESOLVED	UNRESOLVED	YES; GSA	253 BioSamples/records for paired DNA/RNA	127	127	all severe or refractory pediatric pneumonia; pathogen categories are observed outcomes	no prespecified comparator groups	NO	not reported	0	YES	YES; Table S1	paired DNA/RNA mapping likely recoverable	NO	NO	YES	antibiotic adjustment available	not applicable pediatric	YES	YES	underlying disease, pathogen adjudication, treatment	PENDING GSA file list	supplementary pathogen data	PARTIAL	NO	NO	not applicable; no valid primary grouping	paired DNA/RNA; laboratory processing	no prespecified clinically meaningful between-group diagnosis estimand	2	4	4	5	2	2	4	3	C	context-only	VERIFIED	Do not derive groups from detected pathogens; that would be circular because mNGS features contribute to the labels.
Wen_SARD_2023	PRJNA979827	SRP441083	Validation of mNGS of BALF for diagnosis of suspected pulmonary infections in patients with systemic autoimmune rheumatic diseases receiving immunosuppressant therapy	Wen	2023	Frontiers in Medicine	10.3389/fmed.2023.1161661	UNRESOLVED	China	single hospital cohort	single-center	BALF	YES	shotgun DNA	BGISEQ-500	NO	UNRESOLVED	YES but incomplete	22	22	paper 40; public 22	infectious|noninfectious pulmonary disease in SARD	37|3 in paper	NO	UNRESOLVED	UNRESOLVED	sparse	paper only	incomplete public subset	NO	NO	YES	immunosuppressant/antimicrobial context	UNRESOLVED	YES summary	YES summary	SARD type, immunosuppression	43.01 GB for 22 public runs	NO reusable matrix verified	PARTIAL	NO	NO	small noninfectious group	BGISEQ and incomplete public subset	tiny, extremely imbalanced comparator and incomplete public release	2	2	3	5	2	1	5	2	D	context-only	VERIFIED	Exclude from quantitative shortlist.
Langelier_ARF_2018	PRJNA450137	SRP139967	Integrating host response and unbiased microbe detection for lower respiratory tract infection diagnosis in critically ill adults	Langelier	2018	Proceedings of the National Academy of Sciences USA	10.1073/pnas.1809700115	30482864	USA	University of California, San Francisco	single-center	tracheal aspirate	lower respiratory but not protected BAL/BALF	92 DNA shotgun plus 92 RNA metatranscriptomes	Illumina HiSeq 4000	YES	UNRESOLVED	YES	184	0	92	LRTI categories and no-LRTI	26 confirmed clinical+microbial|34 clinical only|18 no-LRTI|14 unknown	NO	YES in study workflow	UNRESOLVED	YES	YES supplement	YES DNA/RNA pairs	model cross-validation; not relevant here	NO primary	YES	YES	UNRESOLVED	YES	YES	clinical adjudication and host response	2.00 GB public RunInfo total	YES supplementary	PARTIAL	YES linked methods/code resources	NO	NO	DNA/RNA modality; specimen incompatibility	tracheal aspirate, not BAL/BALF or protected brush	2	5	5	5	4	2	2	1	D	context-only	VERIFIED	Scientifically valuable comparator but excluded from primary shortlist under prespecified specimen rule.
Sulaiman_critical_illness_2024	PRJEB64676	ERP151868	Deep longitudinal lower respiratory tract microbiome profiling reveals genome-resolved functional and evolutionary dynamics in critical illness	Sulaiman	2024	Nature Communications	10.1038/s41467-024-52713-8	UNRESOLVED	China	three geographically distant hospitals	multicenter explicitly reported	predominantly endotracheal aspirate	lower respiratory but not protected BAL/BALF	shotgun DNA with low-biomass enrichment	Illumina NovaSeq 6000	YES	UNRESOLVED	YES; human-depleted	~462 experiments	0	157	critical illness trajectories/hospital contexts	longitudinal, study-specific	NO	YES/technical controls described	UNRESOLVED	YES	YES supplement	YES	NO	YES; 453 samples	possible but discards core longitudinal design	YES	UNRESOLVED	YES	YES	hospital, ventilation, antibiotics, critical illness	large; exact ENA file-list sum pending	YES supplementary	YES/processed profiles	YES linked resources	NO	hospital ecology and trajectory are central; likely strong	CMEM enrichment and hospital-specific pathogens	endotracheal aspirate and longitudinal enriched workflow are not comparable to BALF anchor	2	5	3	5	4	3	4	5	D	context-only	VERIFIED	Do not use its multicenter status to label the combined project multicenter.
Mick_pediatric_LRTI_2023	PRJNA875913	SRP414303	Leveraging the pulmonary immune response to improve diagnosis of lower respiratory tract infections in critically ill children	Mick	2023	Thorax	UNRESOLVED	UNRESOLVED	USA	eight pediatric intensive care units	multicenter	tracheal aspirate	lower respiratory but not BAL/BALF	RNA metatranscriptomics/host response	Illumina NovaSeq	YES	UNRESOLVED	YES	293	0	261	LRTI adjudication	study groups available	NO	YES; 32 water controls public	32	YES	YES controlled/supplementary	YES	modeling splits	limited	YES	YES	not applicable pediatric	YES	YES	clinical adjudication, PICU site, host response	3.81 GB public RunInfo total	YES	RNA-derived	YES	NO	site must be modeled	RNA modality and tracheal aspirate	wrong specimen and RNA-only for primary DNA question	1	5	1	5	5	2	3	1	D	context-only	VERIFIED	Useful methodological literature, not a quantitative BALF DNA replication cohort.
