diagnosis	species	context	group_detected	group_total	group_detect_rate	rest_detected	rest_total	rest_detect_rate	detect_rate_delta	group_median_fraction	rest_median_fraction	median_fraction_delta	fisher_p	bh_fdr	priority_score
Bacterial infection	Pseudomonas aeruginosa	wetlab_priority_pathogen	23	114	0.20175	7	286	0.02448	0.17728	0.00000000	0.00000000	0.00000000	1.62397e-08	2.48792e-05	3.77280
Bacterial infection	Haemophilus influenzae	wetlab_priority_pathogen	18	114	0.15789	17	286	0.05944	0.09845	0.00000000	0.00000000	0.00000000	0.00288732	0.260199	2.98450
Bacterial infection	Candida albicans	wetlab_priority_pathogen	1	114	0.00877	19	286	0.06643	-0.05766	0.00000000	0.00000000	0.00000000	0.0192549	0.983283	1.42340
Bacterial infection	Stenotrophomonas maltophilia	wetlab_priority_pathogen	9	114	0.07895	10	286	0.03497	0.04398	0.00000000	0.00000000	0.00000000	0.0712919	1	2.43980
Bacterial infection	Staphylococcus aureus	wetlab_priority_pathogen	7	114	0.06140	5	286	0.01748	0.04392	0.00000000	0.00000000	0.00000000	0.0440635	1	2.43920
Bacterial infection	Streptococcus pneumoniae	wetlab_priority_pathogen	20	114	0.17544	40	286	0.13986	0.03558	0.00000000	0.00000000	0.00000000	0.357327	1	2.35580
Bacterial infection	Klebsiella pneumoniae	wetlab_priority_pathogen	5	114	0.04386	7	286	0.02448	0.01938	0.00000000	0.00000000	0.00000000	0.334729	1	2.19380
Bacterial infection	Acinetobacter baumannii	wetlab_priority_pathogen	4	114	0.03509	9	286	0.03147	0.00362	0.00000000	0.00000000	0.00000000	1	1	2.03620
Bacterial infection	Cryptococcus neoformans	wetlab_priority_pathogen	0	114	0.00000	8	286	0.02797	-0.02797	0.00000000	0.00000000	0.00000000	0.111774	1	1.72030
Bacterial infection	Mycobacterium tuberculosis	wetlab_priority_pathogen	0	114	0.00000	9	286	0.03147	-0.03147	0.00000000	0.00000000	0.00000000	0.0654721	1	1.68530
Bacterial infection	Aspergillus fumigatus	wetlab_priority_pathogen	0	114	0.00000	11	286	0.03846	-0.03846	0.00000000	0.00000000	0.00000000	0.0385193	1	1.61540
Bacterial infection	Porphyromonas gingivalis	other_taxon	27	114	0.23684	22	286	0.07692	0.15992	0.00000000	0.00000000	0.00000000	3.17089e-05	0.0121445	1.59920
Bacterial infection	Campylobacter rectus	other_taxon	25	114	0.21930	19	286	0.06643	0.15286	0.00000000	0.00000000	0.00000000	3.01941e-05	0.0121445	1.52860
Bacterial infection	Porphyromonas endodontalis	other_taxon	29	114	0.25439	27	286	0.09441	0.15998	0.00000000	0.00000000	0.00000000	8.96234e-05	0.0274606	1.59980
Bacterial infection	Parvimonas micra	other_taxon	27	114	0.23684	26	286	0.09091	0.14593	0.00000000	0.00000000	0.00000000	0.000247232	0.047345	1.45930
Bacterial infection	Fusobacterium nucleatum	oral_respiratory_commensal_context	27	114	0.23684	27	286	0.09441	0.14244	0.00000000	0.00000000	0.00000000	0.000318358	0.0541916	1.42440
Bacterial infection	Pyramidobacter piscolens	other_taxon	6	114	0.05263	0	286	0.00000	0.05263	0.00000000	0.00000000	0.00000000	0.000486793	0.0745768	0.52630
Bacterial infection	Tannerella forsythia	other_taxon	21	114	0.18421	18	286	0.06294	0.12127	0.00000000	0.00000000	0.00000000	0.000563537	0.0784854	1.21270
Bacterial infection	Filifactor alocis	other_taxon	14	114	0.12281	10	286	0.03497	0.08784	0.00000000	0.00000000	0.00000000	0.00179507	0.183336	0.87840
Bacterial infection	Treponema denticola	other_taxon	19	114	0.16667	18	286	0.06294	0.10373	0.00000000	0.00000000	0.00000000	0.00205724	0.196981	1.03730
Bacterial infection	Treponema vincentii	other_taxon	13	114	0.11404	10	286	0.03497	0.07907	0.00000000	0.00000000	0.00000000	0.00380976	0.324253	0.79070
Bacterial infection	Bacteroides zoogleoformans	other_taxon	9	114	0.07895	5	286	0.01748	0.06146	0.00000000	0.00000000	0.00000000	0.00494987	0.329704	0.61460
Bacterial infection	Fusobacterium periodonticum	other_taxon	9	114	0.07895	5	286	0.01748	0.06146	0.00000000	0.00000000	0.00000000	0.00494987	0.329704	0.61460
Bacterial infection	Bacteroides heparinolyticus	other_taxon	14	114	0.12281	12	286	0.04196	0.08085	0.00000000	0.00000000	0.00000000	0.00581848	0.371413	0.80850
Bacterial infection	Prevotella intermedia	oral_respiratory_commensal_context	27	114	0.23684	42	286	0.14685	0.08999	0.00000000	0.00000000	0.00000000	0.0397183	1	0.89990
Bacterial infection	Prevotella nigrescens	other_taxon	23	114	0.20175	37	286	0.12937	0.07238	0.00000000	0.00000000	0.00000000	0.0870474	1	0.72380
Bacterial infection	Campylobacter showae	other_taxon	12	114	0.10526	14	286	0.04895	0.05631	0.00000000	0.00000000	0.00000000	0.0452686	1	0.56310
Bacterial infection	Treponema medium	other_taxon	9	114	0.07895	8	286	0.02797	0.05098	0.00000000	0.00000000	0.00000000	0.0293332	1	0.50980
Bacterial infection	Prevotella denticola	other_taxon	14	114	0.12281	21	286	0.07343	0.04938	0.00000000	0.00000000	0.00000000	0.120387	1	0.49380
Bacterial infection	Prevotella veroralis	other_taxon	17	114	0.14912	29	286	0.10140	0.04772	0.00000000	0.00000000	0.00000000	0.223334	1	0.47720
Bacterial infection	Streptococcus sp. oral taxon 061	other_taxon	13	114	0.11404	19	286	0.06643	0.04760	0.00000000	0.00000000	0.00000000	0.151094	1	0.47600
Bacterial infection	Streptococcus anginosus	other_taxon	9	114	0.07895	9	286	0.03147	0.04748	0.00000000	0.00000000	0.00000000	0.0578354	1	0.47480
Bacterial infection	Streptococcus oralis	oral_respiratory_commensal_context	22	114	0.19298	43	286	0.15035	0.04263	0.00000000	0.00000000	0.00000000	0.29697	1	0.42630
Bacterial infection	Haemophilus haemolyticus	other_taxon	10	114	0.08772	13	286	0.04545	0.04226	0.00000000	0.00000000	0.00000000	0.150474	1	0.42260
Bacterial infection	Mogibacterium pumilum	other_taxon	8	114	0.07018	8	286	0.02797	0.04220	0.00000000	0.00000000	0.00000000	0.0847689	1	0.42200
Bacterial infection	Leptotrichia sp. oral taxon 212	other_taxon	9	114	0.07895	11	286	0.03846	0.04049	0.00000000	0.00000000	0.00000000	0.124702	1	0.40490
Bacterial infection	Porphyromonas sp. oral taxon 275	other_taxon	9	114	0.07895	11	286	0.03846	0.04049	0.00000000	0.00000000	0.00000000	0.124702	1	0.40490
Bacterial infection	Treponema socranskii	other_taxon	7	114	0.06140	6	286	0.02098	0.04042	0.00000000	0.00000000	0.00000000	0.0572115	1	0.40420
Bacterial infection	Fusobacterium pseudoperiodonticum	other_taxon	16	114	0.14035	29	286	0.10140	0.03895	0.00000000	0.00000000	0.00000000	0.293667	1	0.38950
Bacterial infection	Prevotella enoeca	other_taxon	8	114	0.07018	9	286	0.03147	0.03871	0.00000000	0.00000000	0.00000000	0.100118	1	0.38710
Bacterial infection	Dialister pneumosintes	other_taxon	6	114	0.05263	4	286	0.01399	0.03865	0.00000000	0.00000000	0.00000000	0.0353156	1	0.38650
Bacterial infection	Streptococcus constellatus	other_taxon	6	114	0.05263	4	286	0.01399	0.03865	0.00000000	0.00000000	0.00000000	0.0353156	1	0.38650
Bacterial infection	Campylobacter concisus	other_taxon	17	114	0.14912	33	286	0.11538	0.03374	0.00000000	0.00000000	0.00000000	0.402559	1	0.33740
Bacterial infection	Rothia aeria	other_taxon	13	114	0.11404	23	286	0.08042	0.03362	0.00000000	0.00000000	0.00000000	0.33315	1	0.33620
Bacterial infection	Streptococcus sp. Marseille-Q3533	other_taxon	13	114	0.11404	23	286	0.08042	0.03362	0.00000000	0.00000000	0.00000000	0.33315	1	0.33620
Bacterial infection	Neisseria subflava	other_taxon	11	114	0.09649	18	286	0.06294	0.03355	0.00000000	0.00000000	0.00000000	0.285227	1	0.33550
Bacterial infection	Neisseria flavescens	other_taxon	9	114	0.07895	13	286	0.04545	0.03349	0.00000000	0.00000000	0.00000000	0.223633	1	0.33490
Bacterial infection	Capnocytophaga gingivalis	other_taxon	14	114	0.12281	26	286	0.09091	0.03190	0.00000000	0.00000000	0.00000000	0.357879	1	0.31900
Bacterial infection	Capnocytophaga leadbetteri	other_taxon	12	114	0.10526	21	286	0.07343	0.03184	0.00000000	0.00000000	0.00000000	0.316353	1	0.31840
Bacterial infection	Capnocytophaga sp. FDAARGOS_737	other_taxon	12	114	0.10526	21	286	0.07343	0.03184	0.00000000	0.00000000	0.00000000	0.316353	1	0.31840
Bacterial infection	Prevotella scopos	other_taxon	10	114	0.08772	16	286	0.05594	0.03178	0.00000000	0.00000000	0.00000000	0.263899	1	0.31780
Bacterial infection	Streptococcus ilei	other_taxon	10	114	0.08772	16	286	0.05594	0.03178	0.00000000	0.00000000	0.00000000	0.263899	1	0.31780
