rank	diagnosis	species	context	group_detected	group_total	group_detect_rate	rest_detected	rest_total	rest_detect_rate	detect_rate_delta	group_median_fraction	rest_median_fraction	median_fraction_delta	fisher_p	bh_fdr	priority_score
1	Bacterial infection	Pseudomonas aeruginosa	wetlab_priority_pathogen	23	114	0.20175	7	286	0.02448	0.17728	0.00000000	0.00000000	0.00000000	1.62397e-08	2.48792e-05	3.77280
2	Bacterial infection	Haemophilus influenzae	wetlab_priority_pathogen	18	114	0.15789	17	286	0.05944	0.09845	0.00000000	0.00000000	0.00000000	0.00288732	0.260199	2.98450
3	Bacterial infection	Stenotrophomonas maltophilia	wetlab_priority_pathogen	9	114	0.07895	10	286	0.03497	0.04398	0.00000000	0.00000000	0.00000000	0.0712919	1	2.43980
4	Bacterial infection	Staphylococcus aureus	wetlab_priority_pathogen	7	114	0.06140	5	286	0.01748	0.04392	0.00000000	0.00000000	0.00000000	0.0440635	1	2.43920
5	Bacterial infection	Streptococcus pneumoniae	wetlab_priority_pathogen	20	114	0.17544	40	286	0.13986	0.03558	0.00000000	0.00000000	0.00000000	0.357327	1	2.35580
6	Bacterial infection	Klebsiella pneumoniae	wetlab_priority_pathogen	5	114	0.04386	7	286	0.02448	0.01938	0.00000000	0.00000000	0.00000000	0.334729	1	2.19380
7	Bacterial infection	Acinetobacter baumannii	wetlab_priority_pathogen	4	114	0.03509	9	286	0.03147	0.00362	0.00000000	0.00000000	0.00000000	1	1	2.03620
8	Bacterial infection	Porphyromonas gingivalis	other_taxon	27	114	0.23684	22	286	0.07692	0.15992	0.00000000	0.00000000	0.00000000	3.17089e-05	0.0121445	1.59920
9	Bacterial infection	Campylobacter rectus	other_taxon	25	114	0.21930	19	286	0.06643	0.15286	0.00000000	0.00000000	0.00000000	3.01941e-05	0.0121445	1.52860
10	Bacterial infection	Porphyromonas endodontalis	other_taxon	29	114	0.25439	27	286	0.09441	0.15998	0.00000000	0.00000000	0.00000000	8.96234e-05	0.0274606	1.59980
11	Bacterial infection	Parvimonas micra	other_taxon	27	114	0.23684	26	286	0.09091	0.14593	0.00000000	0.00000000	0.00000000	0.000247232	0.047345	1.45930
12	Bacterial infection	Fusobacterium nucleatum	oral_respiratory_commensal_context	27	114	0.23684	27	286	0.09441	0.14244	0.00000000	0.00000000	0.00000000	0.000318358	0.0541916	1.42440
13	Bacterial infection	Pyramidobacter piscolens	other_taxon	6	114	0.05263	0	286	0.00000	0.05263	0.00000000	0.00000000	0.00000000	0.000486793	0.0745768	0.52630
14	Bacterial infection	Tannerella forsythia	other_taxon	21	114	0.18421	18	286	0.06294	0.12127	0.00000000	0.00000000	0.00000000	0.000563537	0.0784854	1.21270
15	Bacterial infection	Filifactor alocis	other_taxon	14	114	0.12281	10	286	0.03497	0.08784	0.00000000	0.00000000	0.00000000	0.00179507	0.183336	0.87840
16	Bacterial infection	Treponema denticola	other_taxon	19	114	0.16667	18	286	0.06294	0.10373	0.00000000	0.00000000	0.00000000	0.00205724	0.196981	1.03730
17	Bacterial infection	Treponema vincentii	other_taxon	13	114	0.11404	10	286	0.03497	0.07907	0.00000000	0.00000000	0.00000000	0.00380976	0.324253	0.79070
18	Bacterial infection	Bacteroides zoogleoformans	other_taxon	9	114	0.07895	5	286	0.01748	0.06146	0.00000000	0.00000000	0.00000000	0.00494987	0.329704	0.61460
19	Bacterial infection	Fusobacterium periodonticum	other_taxon	9	114	0.07895	5	286	0.01748	0.06146	0.00000000	0.00000000	0.00000000	0.00494987	0.329704	0.61460
20	Bacterial infection	Bacteroides heparinolyticus	other_taxon	14	114	0.12281	12	286	0.04196	0.08085	0.00000000	0.00000000	0.00000000	0.00581848	0.371413	0.80850
1	Fungal infection	Aspergillus fumigatus	wetlab_priority_pathogen	8	78	0.10256	3	322	0.00932	0.09325	0.00000000	0.00000000	0.00000000	0.00015207	0.0332815	2.93250
