run_accession	experiment_accession	biosample	sra_sample	sample_alias	submitted_sample_name	library_name	group_phenotype_fields	platform	layout	read_length_nt	spots	bases	sra_size_mib	compressed_bytes_ena_fastq	download_url	fastq_md5	host_depletion_status	source
SRR24784644	SRX20557860	SAMN35536430	SRS17863906	2234042380112_C1T.unhost.fq.gz	2234042380112_C1T.unhost.fq.gz	L180	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	26564740	1062589600	479	554495924	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/044/SRR24784644/SRR24784644.fastq.gz	e2e85714eb682fdfab63bdd34e2d188c	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784645	SRX20557859	SAMN35536429	SRS17863907	2234042380105_C1T.unhost.fq.gz	2234042380105_C1T.unhost.fq.gz	L179	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	721385	28855400	13	17805851	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/045/SRR24784645/SRR24784645.fastq.gz	d972dacfc8d3fe290dc711ac667d2cda	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784646	SRX20557858	SAMN35536428	SRS17863902	2234042380099_C1T.unhost.fq.gz	2234042380099_C1T.unhost.fq.gz	L178	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1033518	41340720	18	25284759	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/046/SRR24784646/SRR24784646.fastq.gz	430b90e6d840ade78235804df281c07c	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784647	SRX20557857	SAMN35536427	SRS17863900	2234042380075_C1T.unhost.fq.gz	2234042380075_C1T.unhost.fq.gz	L177	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1633797	65351880	29	39163339	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/047/SRR24784647/SRR24784647.fastq.gz	2019ccbdc97594d98692864a8f8e677b	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784648	SRX20557856	SAMN35536426	SRS17863903	2234042380068_C1T.unhost.fq.gz	2234042380068_C1T.unhost.fq.gz	L176	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1146897	45875880	20	28067744	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/048/SRR24784648/SRR24784648.fastq.gz	033928cd41f0230eb8cad114893b5487	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784649	SRX20557855	SAMN35536425	SRS17863897	2234042380013_C1T.unhost.fq.gz	2234042380013_C1T.unhost.fq.gz	L175	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	2711792	108471680	47	64677982	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/049/SRR24784649/SRR24784649.fastq.gz	a5158c0fd0843b2a5bf56c5bec0825f4	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784650	SRX20557854	SAMN35536424	SRS17863901	2234042152870_C1D.unhost.fq.gz	2234042152870_C1D.unhost.fq.gz	L174	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	719710	28788400	13	17772396	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/050/SRR24784650/SRR24784650.fastq.gz	b9af525c9e88447e8062b0312880117a	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784651	SRX20557853	SAMN35536423	SRS17863895	2234042152788_C1D.unhost.fq.gz	2234042152788_C1D.unhost.fq.gz	L173	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	1581669	63266760	27	38411663	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/051/SRR24784651/SRR24784651.fastq.gz	2f1ff1cdc6ec20ee5f0dfff0d1255e61	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784652	SRX20557852	SAMN35536422	SRS17863899	2234042152771_C1D.unhost.fq.gz	2234042152771_C1D.unhost.fq.gz	L172	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	6818110	272724400	116	163275202	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/052/SRR24784652/SRR24784652.fastq.gz	2aaedc55d3094d7ed66e5b4b9df89394	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784653	SRX20557851	SAMN35536421	SRS17863894	2234042152559_C1T.unhost.fq.gz	2234042152559_C1T.unhost.fq.gz	L171	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	4196724	167868960	72	95644001	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/053/SRR24784653/SRR24784653.fastq.gz	0eba4958835a8922932f8518afb2a1f2	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784654	SRX20557850	SAMN35536268	SRS17863898	V300094685_L01_27.fq.gz	V300094685_L01_27.fq.gz	L18	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	65889429	3294471450	2787	1513292400	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/054/SRR24784654/SRR24784654.fastq.gz	644b75ea57544a149d458a61340be58f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24784655	SRX20557849	SAMN35536420	SRS17863896	2234042152535_C1T.unhost.fq.gz	2234042152535_C1T.unhost.fq.gz	L170	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	40	5405635	216225400	94	126680103	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/055/SRR24784655/SRR24784655.fastq.gz	3a7b6fcd91e5503a540d1d8f44690e27	SUPPORTED_COMPUTATIONALLY_HOST_DEPLETED	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
