Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	exclude_reasons
SRR27343450	SAMN39105953	SRS19982553	20210227MCX003	20210227MCX003 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	6335078	315524982	49	131.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343366	SAMN39106201	SRS19982633	20210309MCX007	20210309MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2239077	111953850	50	47.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343926	SAMN39106123	SRS19982484	20210309MCX010	20210309MCX010 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1291975	64598750	50	28.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343953	SAMN39106041	SRS19982800	20210312MCX003	20210312MCX003 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	819572	40086965	48	18.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343449	SAMN39105954	SRS19982514	20210313MCX003	20210313MCX003 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	6070144	303507200	50	125.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343985	SAMN39105983	SRS19982770	20210316MCX006	20210316MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	6682357	333399293	49	135.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343448	SAMN39105955	SRS19982525	20210318MCX014	20210318MCX014 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	3045802	151883909	49	66.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343360	SAMN39106293	SRS19982639	20210319MCX011	20210319MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	444068	21866138	49	9.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343925	SAMN39106124	SRS19982485	20210323MCX004	20210323MCX004 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2051333	102566650	50	43.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343902	SAMN39106202	SRS19982848	20210323MCX007	20210323MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2583770	129188500	50	54.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343359	SAMN39106294	SRS19982640	20210325MCX003	20210325MCX003 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1284693	63411110	49	27.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343358	SAMN39106295	SRS19982641	20210326MCX005	20210326MCX005 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	195887	9226841	47	4.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343356	SAMN39106296	SRS19982642	20210329MCX004	20210329MCX004 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2920200	143750966	49	64.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343901	SAMN39106203	SRS19982849	20210330MCX002	20210330MCX002 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1500280	75014000	50	32.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343355	SAMN39106297	SRS19982643	20210330MCX004	20210330MCX004 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1335079	66753950	50	29.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343354	SAMN39106298	SRS19982644	20210330MCX005	20210330MCX005 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	4213619	210680950	50	88.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343225	SAMN39106064	SRS19982754	20210330MCX006	20210330MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	792622	39631100	50	18.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343230	SAMN39106059	SRS19982752	20210401MCX008	20210401MCX008 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	423505	21175250	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343964	SAMN39106031	SRS19982790	20210402MCX009	20210402MCX009 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	8812387	440619350	50	179.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343654	SAMN39106089	SRS19982820	20210409MCX016	20210409MCX016 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	715772	35408921	49	15.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343353	SAMN39106299	SRS19982645	20210410MCX001	20210410MCX001 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1141211	57060550	50	24.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343204	SAMN39106082	SRS19982775	20210410MCX005	20210410MCX005 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2378333	118916650	50	49.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343924	SAMN39106125	SRS19982486	20210410MCX006	20210410MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	277069	13853450	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343960	SAMN39106035	SRS19982794	20210412MCX007	20210412MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	3691792	183556327	49	74.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343208	SAMN39106078	SRS19982772	20210413MCX011	20210413MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1199762	59988100	50	26.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343392	SAMN39106177	SRS19982607	20210414MCX013	20210414MCX013 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	532097	26604850	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343900	SAMN39106204	SRS19982691	20210415MCX002	20210415MCX002 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1546435	77321750	50	33.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343653	SAMN39106090	SRS19982821	20210419MCX006	20210419MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	13308445	664040563	49	285.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343425	SAMN39106004	SRS19982574	20210419MCX007	20210419MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	706170	35308500	50	16.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343210	SAMN39106076	SRS19982769	20210420MCX005	20210420MCX005 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	5305295	265264750	50	117.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343981	SAMN39105986	SRS19982905	20210420MCX006	20210420MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2433174	121148520	49	55.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343254	SAMN39105922	SRS19982733	20210421MCX013	20210421MCX013 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1615030	79931397	49	35.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343594	SAMN39106172	SRS19982690	20210422MCX007	20210422MCX007 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	559471	27973550	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343248	SAMN39105927	SRS19982564	20210427MCX009	20210427MCX009 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	755177	37758850	50	17.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343421	SAMN39106007	SRS19982578	20210427MCX011	20210427MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	3309594	165479700	50	73.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343606	SAMN39106162	SRS19982680	20210428MCX011	20210428MCX011 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2280575	114028750	50	49.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343207	SAMN39106079	SRS19982774	20210428MCX012	20210428MCX012 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2128217	106410850	50	45.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR27343440	SAMN39105962	SRS19982560	20210429MCX006	20210429MCX006 RNA	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	1019808	50231696	49	22.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
