Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	representative_rule
SRR27343870	SAMN39105922	SRS19982733	20210421MCX013	20210421MCX013 DNA	WGS	METAGENOMIC	SINGLE	577574	28878700	50	13.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343869	SAMN39105923	SRS19982734	20211004MCX022	20211004MCX022 DNA	WGS	METAGENOMIC	SINGLE	137865	6893250	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343524	SAMN39105924	SRS19982481	20211004MCX024	20211004MCX024 DNA	WGS	METAGENOMIC	SINGLE	767510	38375500	50	15.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343281	SAMN39105925	SRS19982709	20211215MCX012	20211215MCX012 DNA	WGS	METAGENOMIC	SINGLE	302634	15131700	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27344012	SAMN39105926	SRS19982735	20220112MCX014	20220112MCX014 DNA	WGS	METAGENOMIC	SINGLE	336532	16826600	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343436	SAMN39105927	SRS19982564	20210427MCX009	20210427MCX009 DNA	WGS	METAGENOMIC	SINGLE	348125	17406250	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343223	SAMN39105928	SRS19982736	20210727MCX015	20210727MCX015 DNA	WGS	METAGENOMIC	SINGLE	343961	17198050	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343602	SAMN39105929	SRS19982737	20210903MCX010	20210903MCX010 DNA	WGS	METAGENOMIC	SINGLE	337360	16868000	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343555	SAMN39105930	SRS19982738	20211028MCX025	20211028MCX025 DNA	WGS	METAGENOMIC	SINGLE	1109285	55464250	50	24.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27344046	SAMN39105931	SRS19982739	20210821MCX014	20210821MCX014 DNA	WGS	METAGENOMIC	SINGLE	439809	21990450	50	10.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343868	SAMN39105932	SRS19982740	20211204MCX005	20211204MCX005 DNA	WGS	METAGENOMIC	SINGLE	455408	22770400	50	10.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343857	SAMN39105933	SRS19982741	20210609MCX005	20210609MCX005 DNA	WGS	METAGENOMIC	SINGLE	252277	12613850	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343846	SAMN39105934	SRS19982743	20210703MCX010	20210703MCX010 DNA	WGS	METAGENOMIC	SINGLE	290139	14506950	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343835	SAMN39105935	SRS19982742	20210705MCX013	20210705MCX013 DNA	WGS	METAGENOMIC	SINGLE	1486054	74302700	50	32.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343824	SAMN39105936	SRS19982744	20210726MCX012	20210726MCX012 DNA	WGS	METAGENOMIC	SINGLE	592248	29612400	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343813	SAMN39105937	SRS19982745	20210804MCX006	20210804MCX006 DNA	WGS	METAGENOMIC	SINGLE	209168	10458400	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343802	SAMN39105938	SRS19982747	20210820MCX015	20210820MCX015 DNA	WGS	METAGENOMIC	SINGLE	1302199	65109950	50	30.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343791	SAMN39105939	SRS19982746	20210915MCX009	20210915MCX009 DNA	WGS	METAGENOMIC	SINGLE	298092	14904600	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343780	SAMN39105940	SRS19982748	20211012MCX016	20211012MCX016 DNA	WGS	METAGENOMIC	SINGLE	112815	5640750	50	2.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343769	SAMN39105941	SRS19982749	20211022MCX013	20211022MCX013 DNA	WGS	METAGENOMIC	SINGLE	234925	11746250	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343523	SAMN39105942	SRS19982482	20211101MCX015	20211101MCX015 DNA	WGS	METAGENOMIC	SINGLE	516671	25833550	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343512	SAMN39105943	SRS19982493	20211117MCX015	20211117MCX015 DNA	WGS	METAGENOMIC	SINGLE	342267	17113350	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343501	SAMN39105944	SRS19982504	20211125MCX009	20211125MCX009 DNA	WGS	METAGENOMIC	SINGLE	255718	12785900	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343326	SAMN39105945	SRS19982544	20211218MCX005	20211218MCX005 DNA	WGS	METAGENOMIC	SINGLE	271219	13560950	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343315	SAMN39105946	SRS19982546	20211224MCX012	20211224MCX012 DNA	WGS	METAGENOMIC	SINGLE	215819	10790950	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343304	SAMN39105947	SRS19982547	20211229MCX017	20211229MCX017 DNA	WGS	METAGENOMIC	SINGLE	410283	20514150	50	10.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343755	SAMN39105948	SRS19982548	20211230MCX012	20211230MCX012 DNA	WGS	METAGENOMIC	SINGLE	367461	18373050	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343744	SAMN39105949	SRS19982549	20220111MCX017	20220111MCX017 DNA	WGS	METAGENOMIC	SINGLE	410543	20527150	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343733	SAMN39105950	SRS19982550	20220112MCX018	20220112MCX018 DNA	WGS	METAGENOMIC	SINGLE	446993	22349650	50	10.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343292	SAMN39105951	SRS19982551	220610MCX00019	220610MCX00019 DNA	WGS	METAGENOMIC	SINGLE	151278	7563900	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343280	SAMN39105952	SRS19982552	220406MCX00012	220406MCX00012 DNA	WGS	METAGENOMIC	SINGLE	775049	38752450	50	19.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343269	SAMN39105953	SRS19982553	20210227MCX003	20210227MCX003 DNA	WGS	METAGENOMIC	SINGLE	658519	32925950	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343490	SAMN39105954	SRS19982514	20210313MCX003	20210313MCX003 DNA	WGS	METAGENOMIC	SINGLE	4985677	249283850	50	97.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343479	SAMN39105955	SRS19982525	20210318MCX014	20210318MCX014 DNA	WGS	METAGENOMIC	SINGLE	682328	34116400	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343468	SAMN39105956	SRS19982536	20210622MCX005	20210622MCX005 DNA	WGS	METAGENOMIC	SINGLE	373043	18652150	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343727	SAMN39105957	SRS19982555	20210813MCX011	20210813MCX011 DNA	WGS	METAGENOMIC	SINGLE	141040	7052000	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343716	SAMN39105958	SRS19982556	20210906MCX013	20210906MCX013 DNA	WGS	METAGENOMIC	SINGLE	304786	15239300	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343705	SAMN39105959	SRS19982558	20210507MCX013	20210507MCX013 DNA	WGS	METAGENOMIC	SINGLE	404729	20236450	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27344034	SAMN39105960	SRS19982557	20220319MCX015	20220319MCX015 DNA	WGS	METAGENOMIC	SINGLE	386423	19321150	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27344023	SAMN39105961	SRS19982559	220623MCX00022	220623MCX00022 DNA	WGS	METAGENOMIC	SINGLE	466754	23337700	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27344011	SAMN39105962	SRS19982560	20210429MCX006	20210429MCX006 DNA	WGS	METAGENOMIC	SINGLE	782198	39109900	50	17.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27344000	SAMN39105963	SRS19982561	20210429MCX007	20210429MCX007 DNA	WGS	METAGENOMIC	SINGLE	2351136	117556800	50	51.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343686	SAMN39105964	SRS19982562	20210517MCX008	20210517MCX008 DNA	WGS	METAGENOMIC	SINGLE	355452	17772600	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343675	SAMN39105965	SRS19982563	20210607MCX008	20210607MCX008 DNA	WGS	METAGENOMIC	SINGLE	1497526	74876300	50	32.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343664	SAMN39105966	SRS19982566	20210618MCX006	20210618MCX006 DNA	WGS	METAGENOMIC	SINGLE	343023	17151150	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
